STP21CD,0-18,18+,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,All Ages
E54000007,699716,2465861,280353,240031,252141,239018,211901,200976,209982,196578,163239,132903,130463,91493,116783,5631438
E54000008,526872,2169301,221521,181090,191694,182339,164090,169350,189345,194544,167683,140710,137982,97177,131776,4865474
E54000009,324053,1281488,149149,119041,117907,107121,95378,97639,111859,107518,92494,77498,76543,56259,73082,2887029
E54000010,236334,958422,90623,74664,82291,78149,71623,75880,87142,84212,73274,63730,65482,49809,61543,2153178
E54000011,103088,424465,39446,30540,33003,31519,29754,33270,38734,39110,33997,30632,31224,23643,29593,952018
E54000012,211923,864538,81522,68511,71162,68657,65175,70507,80177,78570,66781,57529,58452,43333,54162,1940999
E54000013,150795,658906,63364,48441,51007,48463,45632,49630,57461,59798,53045,47555,50501,37448,46561,1468607
E54000014,219537,894363,117598,81227,84622,77386,68876,67642,74262,72500,60786,51286,51301,37550,49327,2008263
E54000015,244743,948292,115806,83410,84752,83012,76689,75689,80720,76621,66766,57051,55662,39786,52328,2141327
E54000016,345676,1149200,124603,105008,115275,109981,99737,96132,101179,91816,76146,62957,57940,45040,63386,2644076
E54000017,314826,1018013,129887,99769,104602,100228,90857,82717,83701,76542,63654,51218,47633,35741,51464,2350852
E54000018,208071,827929,103003,73122,77980,73797,66818,65283,69671,66152,55424,46447,46344,36267,47621,1863929
E54000019,156699,671249,57234,47164,52264,50354,48724,52117,60610,61287,53675,49259,51185,38166,49210,1499197
E54000020,175291,644671,61265,54036,61308,59785,55885,55593,59108,55583,45300,38234,38618,27012,32944,1464633
E54000021,208852,835874,92438,79732,85598,80116,72632,68223,68527,64637,54125,46209,46018,33268,44351,1880600
E54000022,196356,896271,84821,67429,70011,66188,61855,66344,75181,77256,69775,64699,70470,52619,69623,1988898
E54000023,198984,838462,79457,63219,67963,64533,62775,64842,72129,72241,63757,57480,62808,46289,60969,1875908
E54000024,246170,827037,82837,72747,84179,84707,79693,72342,72402,67305,55431,45093,42279,29425,38597,1900244
E54000025,348278,1268398,120112,102172,115091,118672,117807,113267,115407,110175,89519,71189,69657,50840,74490,2885074
E54000026,268865,994866,91718,78326,87282,86781,82465,83836,90469,86229,72191,61027,65418,46746,62378,2258597
E54000027,500937,2132833,233057,240238,267346,253688,222629,187168,169904,148805,117649,89784,74804,52780,74981,4766603
E54000028,331210,1393530,161948,168656,181107,159294,137477,117268,108446,95690,74876,56607,48768,34401,48992,3118270
E54000029,513952,1856852,214919,239176,269281,236786,190096,151707,135983,116257,91986,67012,54018,36444,53187,4227656
E54000030,402195,1669965,175133,201868,215984,190439,164885,141539,136745,123702,93972,67220,58539,40946,58993,3742125
E54000031,360841,1415687,136140,153843,166085,160817,150487,130412,118804,105118,80876,61724,56595,39091,55695,3192215
E54000032,420732,1540418,153645,120653,133235,129870,124176,125339,136465,133791,113154,97265,102528,74038,96259,3501568
E54000034,181051,640564,64708,52143,60900,63516,62157,58823,57797,52889,42858,34211,32639,24099,33824,1462179
E54000036,109033,492513,44185,32904,35504,34049,33792,36832,42688,45104,41771,38306,40952,29809,36617,1094059
E54000037,230353,1047278,109361,77467,77860,74294,70349,75274,88359,92128,84239,76241,80884,60655,80167,2324909
E54000038,114365,489113,41385,33689,36634,35106,33322,36800,43610,45266,40166,36873,39191,28924,38147,1092591
E54000039,205713,855497,104784,86731,89090,82050,71669,65899,67211,64800,52909,44797,45092,34056,46409,1916707
E54000040,201179,801068,85742,64015,67439,65075,61525,65103,70547,70090,60032,50906,51313,37770,51511,1803315
E54000041,145605,686129,62492,47682,51766,51294,49235,50545,57271,59587,54582,49446,53951,40520,57758,1517863
E54000042,374035,1579789,165358,130218,135715,130281,121801,122813,134540,135652,117469,99691,103831,77355,105065,3533613
E54000043,132592,543001,51094,40704,43660,42549,40374,42556,48361,49294,42774,37241,37858,28405,38131,1218594
E54000044,396497,1534864,169375,133497,142607,141035,135545,130049,133076,126245,104060,84829,84245,62960,87341,3466225
E54000048,367265,1458242,151250,114863,120854,116454,107308,113434,129940,131015,113832,96918,99780,71135,91459,3283749
E54000050,603883,2542995,265062,211532,216298,204743,186127,191501,218419,226485,204528,174841,170755,116004,156700,5689873
E54000051,338868,1459612,143091,114018,117470,111869,103272,111292,128063,132323,117308,101974,105719,73840,99373,3258092
E54000052,242404,907268,87107,66271,74493,79700,83615,83526,83022,79861,64780,52358,52988,39858,59689,2056940
E54000053,338494,1484309,140658,111489,122136,117904,114581,119130,130566,129478,111253,97577,103760,77076,108701,3307112
E54000054,567889,2037291,238017,190487,197087,189527,171068,164990,173625,161995,138785,115626,113253,77596,105235,4642471
