,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,Under 45,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley," 13,162 "," 7,346 "," 9,252 "," 9,222 "," 8,087 "," 7,293 "," 7,971 "," 5,792 "," 6,798 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield," 13,836 "," 5,847 "," 8,617 "," 8,611 "," 7,198 "," 6,367 "," 6,475 "," 5,166 "," 6,078 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000171,Bassetlaw," 12,375 "," 5,762 "," 8,237 "," 8,658 "," 7,460 "," 6,595 "," 7,102 "," 5,248 "," 6,421 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000129,Blaby," 11,501 "," 5,232 "," 6,787 "," 6,661 "," 6,010 "," 5,160 "," 5,606 "," 4,166 "," 5,561 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000033,Bolsover," 8,322 "," 3,917 "," 5,847 "," 5,660 "," 4,968 "," 4,214 "," 4,250 "," 3,413 "," 3,819 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000136,Boston," 6,123 "," 2,567 "," 3,959 "," 4,261 "," 3,886 "," 3,561 "," 3,705 "," 2,788 "," 3,810 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000172,Broxtowe," 10,863 "," 4,781 "," 7,314 "," 7,382 "," 6,540 "," 5,865 "," 6,623 "," 4,827 "," 6,411 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000130,Charnwood," 19,062 "," 8,615 "," 11,280 "," 10,926 "," 10,012 "," 8,989 "," 9,076 "," 6,742 "," 8,781 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000034,Chesterfield," 12,456 "," 5,675 "," 7,024 "," 7,369 "," 6,592 "," 5,812 "," 5,876 "," 4,389 "," 5,650 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000150,Corby," 5,846 "," 2,406 "," 4,304 "," 4,460 "," 3,813 "," 3,101 "," 2,714 "," 1,967 "," 2,361 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000151,Daventry," 7,302 "," 4,077 "," 6,361 "," 6,480 "," 5,372 "," 4,766 "," 5,039 "," 3,577 "," 4,221 "
,E12000004,East Midlands,E06000015,Derby,E06000015,Derby," 35,852 "," 12,873 "," 14,971 "," 14,627 "," 12,338 "," 10,612 "," 10,646 "," 7,862 "," 11,757 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000035,Derbyshire Dales," 5,041 "," 3,031 "," 5,495 "," 5,970 "," 5,383 "," 4,927 "," 5,425 "," 4,089 "," 5,167 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000137,East Lindsey," 12,619 "," 5,920 "," 9,335 "," 10,832 "," 10,871 "," 10,747 "," 11,909 "," 8,989 "," 10,462 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000152,East Northamptonshire," 6,514 "," 3,702 "," 6,684 "," 6,585 "," 5,468 "," 5,046 "," 5,536 "," 3,883 "," 4,751 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000036,Erewash," 10,669 "," 5,132 "," 8,088 "," 7,939 "," 6,705 "," 5,891 "," 6,268 "," 4,737 "," 6,085 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000173,Gedling," 11,999 "," 5,650 "," 8,064 "," 8,106 "," 6,984 "," 6,372 "," 6,751 "," 4,820 "," 6,698 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000131,Harborough," 8,145 "," 4,704 "," 7,029 "," 6,948 "," 5,947 "," 5,311 "," 5,683 "," 4,280 "," 5,459 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000037,High Peak," 9,287 "," 4,515 "," 6,787 "," 7,202 "," 6,331 "," 5,354 "," 5,471 "," 3,916 "," 4,673 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000132,Hinckley and Bosworth," 10,713 "," 4,662 "," 7,861 "," 7,715 "," 6,998 "," 6,460 "," 7,012 "," 5,110 "," 6,272 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000153,Kettering," 9,438 "," 4,547 "," 6,875 "," 6,493 "," 5,335 "," 4,894 "," 5,225 "," 3,845 "," 4,657 "
,E12000004,East Midlands,E06000016,Leicester,E06000016,Leicester," 42,956 "," 14,461 "," 18,229 "," 17,031 "," 15,612 "," 13,015 "," 10,694 "," 6,982 "," 10,316 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000138,Lincoln," 10,632 "," 3,286 "," 5,230 "," 5,498 "," 4,603 "," 3,958 "," 3,881 "," 2,757 "," 3,982 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000174,Mansfield," 12,400 "," 4,372 "," 7,096 "," 7,513 "," 6,611 "," 5,711 "," 5,561 "," 4,229 "," 5,151 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000133,Melton," 4,128 "," 2,458 "," 3,805 "," 4,066 "," 3,470 "," 3,168 "," 3,365 "," 2,413 "," 2,997 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000175,Newark and Sherwood," 11,233 "," 5,526 "," 8,427 "," 8,759 "," 7,776 "," 6,949 "," 7,502 "," 5,549 "," 6,897 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000038,North East Derbyshire," 10,529 "," 5,307 "," 7,207 "," 7,362 "," 6,809 "," 6,235 "," 6,706 "," 5,378 "," 6,420 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000139,North Kesteven," 12,104 "," 6,060 "," 8,224 "," 8,597 "," 7,299 "," 6,467 "," 7,416 "," 5,750 "," 7,295 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000134,North West Leicestershire," 9,232 "," 4,941 "," 7,397 "," 7,069 "," 6,124 "," 5,508 "," 5,889 "," 4,262 "," 4,856 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000154,Northampton," 21,055 "," 10,451 "," 13,388 "," 12,945 "," 10,772 "," 9,202 "," 9,398 "," 6,518 "," 8,745 "
,E12000004,East Midlands,E06000018,Nottingham,E06000018,Nottingham," 31,782 "," 10,606 "," 14,992 "," 14,735 "," 12,329 "," 10,111 "," 9,249 "," 6,562 "," 9,864 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000135,Oadby and Wigston," 6,900 "," 2,672 "," 3,481 "," 3,576 "," 3,334 "," 2,815 "," 2,958 "," 2,327 "," 3,786 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000176,Rushcliffe," 12,047 "," 6,297 "," 8,187 "," 8,095 "," 7,003 "," 6,251 "," 6,714 "," 5,036 "," 7,023 "
,E12000004,East Midlands,E06000017,Rutland,E06000017,Rutland," 2,683 "," 1,321 "," 2,736 "," 2,703 "," 2,552 "," 2,394 "," 2,761 "," 2,098 "," 2,841 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000039,South Derbyshire," 13,155 "," 5,573 "," 7,951 "," 7,364 "," 6,114 "," 5,546 "," 5,515 "," 3,945 "," 4,614 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000140,South Holland," 7,618 "," 4,153 "," 6,031 "," 6,495 "," 5,661 "," 5,396 "," 6,055 "," 4,463 "," 6,131 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000141,South Kesteven," 13,860 "," 7,523 "," 10,015 "," 10,360 "," 9,219 "," 8,271 "," 8,906 "," 6,745 "," 8,368 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000155,South Northamptonshire," 7,063 "," 4,258 "," 7,288 "," 7,166 "," 6,041 "," 5,065 "," 5,573 "," 3,980 "," 4,664 "
