,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 65,65-69,70-74,75-79,80+
,E12000004,East Midlands,E07000032,Amber Valley,"16,350","6,988","7,899","5,763","6,827"
,E12000004,East Midlands,E07000170,Ashfield,"22,895","5,888","6,204","5,053","5,870"
,E12000004,East Midlands,E07000171,Bassetlaw,"16,663","5,844","6,979","5,214","6,437"
,E12000004,East Midlands,E07000129,Blaby,"14,355","4,978","5,541","4,139","5,578"
,E12000004,East Midlands,E07000033,Bolsover,"13,342","3,796","4,208","3,372","3,815"
,E12000004,East Midlands,E07000136,Boston,"8,482","3,387","3,614","2,759","3,824"
,E12000004,East Midlands,E07000172,Broxtowe,"17,077","5,464","6,515","4,733","6,319"
,E12000004,East Midlands,E07000130,Charnwood,"21,741","8,016","8,967","6,693","8,824"
,E12000004,East Midlands,E07000034,Chesterfield,"15,610","5,438","5,744","4,307","5,640"
,E12000004,East Midlands,E07000150,Corby,"7,553","2,836","2,686","1,958","2,381"
,E12000004,East Midlands,E07000151,Daventry,"10,512","4,522","4,997","3,549","4,253"
,E12000004,East Midlands,E06000015,Derby,"36,705","10,192","10,454","7,755","11,710"
,E12000004,East Midlands,E07000035,Derbyshire Dales,"8,545","4,319","5,371","4,084","5,164"
,E12000004,East Midlands,E07000137,East Lindsey,"16,940","8,960","11,626","8,862","10,409"
,E12000004,East Midlands,E07000152,East Northamptonshire,"11,659","4,580","5,466","3,864","4,718"
,E12000004,East Midlands,E07000036,Erewash,"15,344","5,493","6,180","4,696","6,087"
,E12000004,East Midlands,E07000173,Gedling,"19,509","6,096","6,655","4,767","6,674"
,E12000004,East Midlands,E07000131,Harborough,"13,633","5,140","5,612","4,242","5,487"
,E12000004,East Midlands,E07000037,High Peak,"11,478","4,405","5,396","3,924","4,664"
,E12000004,East Midlands,E07000132,Hinckley and Bosworth,"15,262","6,054","6,956","5,093","6,278"
,E12000004,East Midlands,E07000153,Kettering,"14,948","4,162","5,106","3,818","4,624"
,E12000004,East Midlands,E06000016,Leicester,"46,024","11,697","10,316","6,758","10,122"
,E12000004,East Midlands,E07000138,Lincoln,"13,708","3,678","3,801","2,716","3,974"
,E12000004,East Midlands,E07000174,Mansfield,"21,396","5,235","5,239","4,094","4,971"
,E12000004,East Midlands,E07000133,Melton,"6,403","3,090","3,329","2,393","3,029"
,E12000004,East Midlands,E07000175,Newark and Sherwood,"20,259","6,501","7,300","5,459","6,803"
,E12000004,East Midlands,E07000038,North East Derbyshire,"15,639","5,625","6,631","5,346","6,439"
,E12000004,East Midlands,E07000139,North Kesteven,"17,514","6,040","7,358","5,687","7,312"
,E12000004,East Midlands,E07000134,North West Leicestershire,"12,322","5,199","5,817","4,217","4,848"
,E12000004,East Midlands,E07000154,Northampton,"29,299","8,542","9,239","6,431","8,688"
,E12000004,East Midlands,E06000018,Nottingham,"41,121","9,308","8,952","6,399","9,618"
,E12000004,East Midlands,E07000135,Oadby and Wigston,"8,574","2,713","2,934","2,309","3,808"
,E12000004,East Midlands,E07000176,Rushcliffe,"17,261","6,046","6,635","4,993","6,928"
,E12000004,East Midlands,E06000017,Rutland,"3,411","2,261","2,754","2,071","2,840"
,E12000004,East Midlands,E07000039,South Derbyshire,"15,977","4,969","5,459","3,912","4,604"
,E12000004,East Midlands,E07000140,South Holland,"9,558","5,093","5,966","4,424","6,119"
,E12000004,East Midlands,E07000141,South Kesteven,"16,214","7,648","8,776","6,655","8,373"
,E12000004,East Midlands,E07000155,South Northamptonshire,"10,624","4,339","5,532","3,942","4,680"
,E12000004,East Midlands,E07000156,Wellingborough,"9,538","3,685","4,195","3,034","3,606"
,E12000004,East Midlands,E07000142,West Lindsey,"13,946","5,724","6,456","4,922","5,798"
,E12000006,East of England,E07000200,Babergh,"14,799","5,523","6,532","5,001","6,467"
,E12000006,East of England,E07000066,Basildon,"20,211","7,084","8,385","5,946","8,298"
,E12000006,East of England,E06000055,Bedford,"23,598","7,535","7,955","5,619","8,093"
,E12000006,East of England,E07000067,Braintree,"16,388","7,269","8,430","6,065","7,625"
,E12000006,East of England,E07000143,Breckland,"18,983","7,492","9,283","7,031","9,281"
,E12000006,East of England,E07000068,Brentwood,"7,029","2,986","3,791","2,872","4,722"
,E12000006,East of England,E07000144,Broadland,"19,023","6,941","8,935","6,743","9,577"
,E12000006,East of England,E07000095,Broxbourne,"9,278","3,666","4,307","3,286","4,946"
,E12000006,East of England,E07000008,Cambridge,"17,809","3,744","3,870","2,956","4,520"
,E12000006,East of England,E07000069,Castle Point,"9,347","4,498","6,093","4,636","5,833"
