,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 65,65-69,70-74,75-79,80+
,E12000006,East of England,E06000056,Central Bedfordshire,"31,687","12,829","14,115","10,290","12,874"
,E12000006,East of England,E07000070,Chelmsford,"19,361","7,613","9,279","6,838","9,541"
,E12000006,East of England,E07000071,Colchester,"27,552","7,854","9,206","6,705","8,795"
,E12000006,East of England,E07000096,Dacorum,"17,977","6,777","6,688","4,858","7,293"
,E12000006,East of England,E07000009,East Cambridgeshire,"11,134","4,274","4,840","3,521","4,835"
,E12000006,East of England,E07000242,East Hertfordshire,"16,504","6,646","7,263","5,098","7,449"
,E12000006,East of England,E07000244,East Suffolk,"41,141","14,756","17,974","13,640","18,473"
,E12000006,East of England,E07000072,Epping Forest,"13,606","5,481","6,600","4,979","7,139"
,E12000006,East of England,E07000010,Fenland,"11,902","4,887","6,022","4,577","6,013"
,E12000006,East of England,E07000145,Great Yarmouth,"13,999","4,976","6,292","4,821","6,002"
,E12000006,East of England,E07000073,Harlow,"11,049","3,512","3,217","2,308","3,569"
,E12000006,East of England,E07000098,Hertsmere,"16,774","4,422","4,719","3,567","5,514"
,E12000006,East of England,E07000011,Huntingdonshire,"22,395","8,321","9,877","7,334","9,026"
,E12000006,East of England,E07000202,Ipswich,"24,153","5,704","5,606","4,008","6,221"
,E12000006,East of England,E07000146,King's Lynn and West Norfolk,"21,927","8,424","10,270","7,978","10,741"
,E12000006,East of England,E06000032,Luton,"22,947","6,227","5,789","4,456","6,819"
,E12000006,East of England,E07000074,Maldon,"8,145","3,939","4,514","3,375","4,148"
,E12000006,East of England,E07000203,Mid Suffolk,"17,845","6,306","7,036","5,110","6,597"
,E12000006,East of England,E07000099,North Hertfordshire,"15,926","5,820","6,496","4,859","7,436"
,E12000006,East of England,E07000147,North Norfolk,"12,892","6,892","9,070","6,810","9,493"
,E12000006,East of England,E07000148,Norwich,"21,051","5,069","5,392","3,953","5,848"
,E12000006,East of England,E06000031,Peterborough,"23,590","6,961","7,599","5,445","7,883"
,E12000006,East of England,E07000075,Rochford,"11,524","4,262","5,340","4,034","5,485"
,E12000006,East of England,E07000012,South Cambridgeshire,"23,398","7,195","8,260","6,261","8,597"
,E12000006,East of England,E07000149,South Norfolk,"20,145","6,750","9,137","6,951","9,314"
,E12000006,East of England,E06000033,Southend-on-Sea,"23,074","7,563","8,705","6,505","9,348"
,E12000006,East of England,E07000240,St Albans,"14,671","6,009","6,321","4,755","7,463"
,E12000006,East of England,E07000243,Stevenage,"11,124","3,269","3,279","2,439","3,746"
,E12000006,East of England,E07000076,Tendring,"24,069","9,499","11,510","8,903","11,793"
,E12000006,East of England,E07000102,Three Rivers,"12,599","4,049","4,278","3,162","4,776"
,E12000006,East of England,E06000034,Thurrock,"16,828","5,852","6,430","4,187","5,637"
,E12000006,East of England,E07000077,Uttlesford,"9,430","4,019","4,828","3,602","4,855"
,E12000006,East of England,E07000103,Watford,"12,642","3,148","3,035","2,311","3,469"
,E12000006,East of England,E07000241,Welwyn Hatfield,"11,620","4,206","4,425","3,381","5,551"
,E12000006,East of England,E07000245,West Suffolk,"25,640","8,344","9,727","7,473","10,068"
,E12000007,London,E09000002,Barking and Dagenham,"24,239","4,409","4,122","2,856","4,521"
,E12000007,London,E09000003,Barnet,"60,265","13,197","12,939","9,549","14,490"
,E12000007,London,E09000004,Bexley,"34,033","9,612","9,933","7,413","11,503"
,E12000007,London,E09000005,Brent,"48,687","9,704","8,133","5,973","8,897"
,E12000007,London,E09000006,Bromley,"50,828","12,917","14,588","10,723","16,488"
,E12000007,London,E09000007,Camden,"28,862","6,003","5,845","4,414","5,755"
,E12000007,London,E09000001,City of London,704,308,296,197,246
,E12000007,London,E09000008,Croydon,"44,315","12,002","12,150","8,613","12,610"
,E12000007,London,E09000009,Ealing,"49,049","11,377","10,154","7,191","10,464"
,E12000007,London,E09000010,Enfield,"56,094","10,868","9,907","7,297","11,380"
,E12000007,London,E09000011,Greenwich,"37,057","7,737","7,241","5,096","6,621"
,E12000007,London,E09000012,Hackney,"25,730","5,392","4,499","2,911","3,851"
,E12000007,London,E09000013,Hammersmith and Fulham,"22,099","4,387","4,310","3,044","4,157"
,E12000007,London,E09000014,Haringey,"31,499","7,026","6,175","4,181","5,712"
,E12000007,London,E09000015,Harrow,"47,245","10,173","9,055","6,821","10,594"
,E12000007,London,E09000016,Havering,"31,382","9,470","11,353","8,289","12,692"
,E12000007,London,E09000017,Hillingdon,"47,143","10,477","9,658","7,022","11,061"
,E12000007,London,E09000018,Hounslow,"40,366","9,032","8,050","5,559","7,642"
,E12000007,London,E09000019,Islington,"23,541","5,229","4,801","3,234","4,221"
,E12000007,London,E09000020,Kensington and Chelsea,"15,778","4,514","4,482","3,477","4,624"
,E12000007,London,E09000021,Kingston upon Thames,"23,905","6,094","6,185","4,334","6,142"
,E12000007,London,E09000022,Lambeth,"42,939","6,966","5,858","3,888","5,707"
,E12000007,London,E09000023,Lewisham,"35,810","6,941","6,050","4,367","6,435"
,E12000007,London,E09000024,Merton,"32,353","6,863","6,336","4,320","6,726"
,E12000007,London,E09000025,Newham,"35,448","6,709","5,295","3,380","4,778"
,E12000007,London,E09000026,Redbridge,"40,214","9,262","8,737","6,126","9,529"
,E12000007,London,E09000027,Richmond upon Thames,"21,795","7,394","8,143","5,839","7,792"
,E12000007,London,E09000028,Southwark,"35,890","6,572","5,653","3,673","5,227"
,E12000007,London,E09000029,Sutton,"28,600","7,556","7,819","5,583","8,396"
,E12000007,London,E09000030,Tower Hamlets,"28,801","4,531","3,745","2,441","3,817"
,E12000007,London,E09000031,Waltham Forest,"32,832","6,925","6,231","4,429","6,349"
,E12000007,London,E09000032,Wandsworth,"43,309","7,648","7,454","5,068","7,289"
,E12000007,London,E09000033,Westminster,"25,836","5,486","5,167","4,012","5,450"
,E12000001,North East,E06000047,County Durham,"80,717","24,132","29,649","21,269","27,477"
,E12000001,North East,E06000005,Darlington,"10,666","5,027","5,671","4,059","5,853"
,E12000001,North East,E08000037,Gateshead,"25,460","8,217","10,322","7,185","10,746"
,E12000001,North East,E06000001,Hartlepool,"13,952","3,207","4,810","3,160","4,580"
,E12000001,North East,E06000002,Middlesbrough,"20,462","5,657","5,983","4,129","5,923"
,E12000001,North East,E08000021,Newcastle upon Tyne,"33,887","10,883","11,127","7,489","11,591"
,E12000001,North East,E08000022,North Tyneside,"24,160","10,567","11,233","7,631","10,952"
,E12000001,North East,E06000057,Northumberland,"39,241","16,977","22,080","15,473","19,803"
,E12000001,North East,E06000003,Redcar and Cleveland,"17,408","5,093","8,283","6,122","8,014"
,E12000001,North East,E08000023,South Tyneside,"23,013","7,984","8,026","5,383","7,856"
,E12000001,North East,E06000004,Stockton-on-Tees,"25,663","8,482","9,822","6,685","8,992"
,E12000001,North East,E08000024,Sunderland,"37,001","14,697","14,935","10,033","14,188"
,E12000002,North West,E07000026,Allerdale,"11,798","4,854","6,503","4,482","6,223"
,E12000002,North West,E07000027,Barrow-in-Furness,"8,987","3,571","3,928","2,909","3,601"
,E12000002,North West,E06000008,Blackburn with Darwen,"17,630","5,602","5,712","3,838","5,159"
,E12000002,North West,E06000009,Blackpool,"24,407","6,754","7,383","5,553","7,499"
,E12000002,North West,E08000001,Bolton,"42,855","12,113","13,353","9,635","12,070"
,E12000002,North West,E07000117,Burnley,"9,976","3,834","4,425","3,120","3,792"
,E12000002,North West,E08000002,Bury,"31,935","8,379","9,463","6,729","8,715"
,E12000002,North West,E07000028,Carlisle,"12,959","5,552","6,203","4,336","6,179"
,E12000002,North West,E06000049,Cheshire East,"54,405","19,916","23,380","17,558","23,832"
,E12000002,North West,E06000050,Cheshire West and Chester,"47,144","16,442","19,706","14,504","19,714"
,E12000002,North West,E07000118,Chorley,"16,076","5,574","6,622","4,765","5,595"
,E12000002,North West,E07000029,Copeland,"7,550","3,750","4,121","2,946","3,783"
,E12000002,North West,E07000030,Eden,"3,730","3,269","3,798","2,720","3,694"
,E12000002,North West,E07000119,Fylde,"11,029","4,969","5,766","4,543","6,271"
,E12000002,North West,E06000006,Halton,"19,121","6,402","6,718","4,125","5,089"
,E12000002,North West,E07000120,Hyndburn,"8,524","3,516","3,962","2,868","3,477"
,E12000002,North West,E08000011,Knowsley,"24,718","7,199","6,501","4,210","6,303"
,E12000002,North West,E07000121,Lancaster,"22,833","6,876","7,680","5,604","7,713"
,E12000002,North West,E08000012,Liverpool,"79,090","18,906","18,654","12,395","17,617"
,E12000002,North West,E08000003,Manchester,"73,356","13,828","12,500","8,424","11,470"
,E12000002,North West,E08000004,Oldham,"32,170","9,084","9,894","7,188","8,997"
,E12000002,North West,E07000122,Pendle,"7,822","3,759","4,547","3,082","3,996"
,E12000002,North West,E07000123,Preston,"19,179","5,369","5,356","3,839","5,652"
,E12000002,North West,E07000124,Ribble Valley,"6,679","3,504","3,901","2,967","3,908"
,E12000002,North West,E08000005,Rochdale,"33,968","9,251","9,609","6,528","8,099"
,E12000002,North West,E07000125,Rossendale,"8,471","3,060","3,734","2,504","3,011"
,E12000002,North West,E08000006,Salford,"41,241","8,360","9,279","6,543","9,004"
,E12000002,North West,E08000014,Sefton,"42,234","14,745","15,432","11,736","17,980"
,E12000002,North West,E07000031,South Lakeland,"13,965","6,361","7,672","5,766","7,945"
,E12000002,North West,E07000126,South Ribble,"13,776","5,406","6,482","4,613","6,010"
,E12000002,North West,E08000013,St. Helens,"30,629","9,077","10,009","7,284","9,161"
,E12000002,North West,E08000007,Stockport,"44,575","13,773","15,021","11,181","16,394"
,E12000002,North West,E08000008,Tameside,"30,403","9,641","10,769","7,396","8,877"
,E12000002,North West,E08000009,Trafford,"37,571","9,898","10,262","7,640","11,478"
,E12000002,North West,E06000007,Warrington,"32,694","9,636","10,312","7,928","10,248"
,E12000002,North West,E07000127,West Lancashire,"18,154","6,006","6,785","5,115","6,526"
,E12000002,North West,E08000010,Wigan,"44,500","13,528","17,403","12,976","14,250"
,E12000002,North West,E08000015,Wirral,"52,511","17,142","18,198","12,924","18,511"
,E12000002,North West,E07000128,Wyre,"19,948","6,816","8,031","6,119","8,384"
,E12000008,South East,E07000223,Adur,"9,799","2,905","3,879","2,984","4,377"
,E12000008,South East,E07000224,Arun,"21,827","8,744","11,979","9,380","13,495"
,E12000008,South East,E07000105,Ashford,"16,483","4,672","6,927","5,252","6,527"
,E12000008,South East,E07000084,Basingstoke and Deane,"22,064","7,932","8,615","6,138","7,942"
,E12000008,South East,E06000036,Bracknell Forest,"12,457","5,010","4,729","3,395","4,612"
,E12000008,South East,E06000043,Brighton and Hove,"35,881","9,503","9,543","6,751","10,003"
,E12000008,South East,E06000060,Buckinghamshire,"62,324","24,077","25,844","19,803","28,245"
,E12000008,South East,E07000106,Canterbury,"18,873","7,474","9,029","6,707","9,174"
,E12000008,South East,E07000177,Cherwell,"17,921","6,259","7,273","5,240","7,460"
,E12000008,South East,E07000225,Chichester,"19,862","7,292","8,434","6,746","9,679"
,E12000008,South East,E07000226,Crawley,"15,827","4,125","3,966","2,539","4,078"
,E12000008,South East,E07000107,Dartford,"15,320","3,679","4,003","2,847","4,254"
,E12000008,South East,E07000108,Dover,"18,136","6,477","7,176","5,399","6,805"
,E12000008,South East,E07000085,East Hampshire,"14,375","6,798","7,428","5,724","7,957"
,E12000008,South East,E07000061,Eastbourne,"20,211","5,091","6,149","4,633","7,291"
,E12000008,South East,E07000086,Eastleigh,"16,482","6,239","6,780","4,955","7,208"
,E12000008,South East,E07000207,Elmbridge,"16,346","5,616","6,005","4,575","7,339"
,E12000008,South East,E07000208,Epsom and Ewell,"11,721","3,326","3,785","2,786","4,036"
,E12000008,South East,E07000087,Fareham,"14,756","5,977","7,140","5,626","8,075"
,E12000008,South East,E07000112,Folkestone and Hythe,"18,501","6,129","7,356","5,295","6,931"
,E12000008,South East,E07000088,Gosport,"10,925","4,192","4,646","3,359","4,641"
,E12000008,South East,E07000109,Gravesham,"17,327","4,387","4,652","3,468","4,956"
,E12000008,South East,E07000209,Guildford,"16,383","5,946","6,362","4,704","7,128"
,E12000008,South East,E07000089,Hart,"10,676","4,390","5,083","4,029","5,481"
,E12000008,South East,E07000062,Hastings,"13,164","3,575","4,685","3,253","4,187"
,E12000008,South East,E07000090,Havant,"17,435","6,963","7,601","5,897","8,529"
,E12000008,South East,E07000227,Horsham,"22,040","7,701","8,605","6,559","9,308"
,E12000008,South East,E06000046,Isle of Wight,"23,290","9,038","10,681","8,379","10,336"
,E12000008,South East,E07000063,Lewes,"14,781","5,757","6,593","5,045","7,381"
,E12000008,South East,E07000110,Maidstone,"23,911","7,518","8,786","6,446","8,767"
,E12000008,South East,E06000035,Medway,"32,209","10,264","12,092","8,523","10,668"
,E12000008,South East,E07000228,Mid Sussex,"18,077","7,065","7,874","6,219","8,787"
,E12000008,South East,E06000042,Milton Keynes,"29,046","10,354","10,644","6,916","8,587"
,E12000008,South East,E07000210,Mole Valley,"11,826","4,814","4,955","4,042","6,113"
,E12000008,South East,E07000091,New Forest,"23,485","10,424","13,085","10,155","15,245"
,E12000008,South East,E07000178,Oxford,"20,249","4,357","4,530","3,386","5,082"
,E12000008,South East,E06000044,Portsmouth,"28,964","7,506","7,690","5,710","8,110"
,E12000008,South East,E06000038,Reading,"16,669","4,607","4,964","3,768","5,599"
,E12000008,South East,E07000211,Reigate and Banstead,"20,174","6,172","6,783","4,919","7,568"
,E12000008,South East,E07000064,Rother,"13,714","5,413","7,904","6,041","8,547"
,E12000008,South East,E07000212,Runnymede,"11,532","3,486","3,660","2,874","4,466"
,E12000008,South East,E07000092,Rushmoor,"12,752","3,708","4,032","2,948","3,735"
,E12000008,South East,E07000111,Sevenoaks,"13,791","5,740","6,584","5,017","7,170"
,E12000008,South East,E06000039,Slough,"16,527","4,279","3,428","2,255","3,587"
,E12000008,South East,E07000179,South Oxfordshire,"16,974","6,387","7,613","6,177","8,518"
,E12000008,South East,E06000045,Southampton,"32,152","7,991","8,468","6,347","8,679"
,E12000008,South East,E07000213,Spelthorne,"11,834","4,138","4,443","3,526","5,434"
,E12000008,South East,E07000214,Surrey Heath,"10,326","4,075","4,423","3,497","5,114"
,E12000008,South East,E07000113,Swale,"17,220","6,243","7,908","5,640","6,800"
,E12000008,South East,E07000215,Tandridge,"12,357","4,167","4,558","3,560","5,179"
,E12000008,South East,E07000093,Test Valley,"15,052","5,885","7,297","5,507","7,390"
,E12000008,South East,E07000114,Thanet,"20,060","6,620","8,764","6,481","8,412"
,E12000008,South East,E07000115,Tonbridge and Malling,"14,662","5,601","6,584","4,998","6,828"
,E12000008,South East,E07000116,Tunbridge Wells,"15,351","5,023","5,657","4,349","6,390"
,E12000008,South East,E07000180,Vale of White Horse,"14,915","6,140","7,056","5,345","7,692"
,E12000008,South East,E07000216,Waverley,"14,803","6,140","6,846","5,547","8,614"
,E12000008,South East,E07000065,Wealden,"20,222","9,082","10,956","8,555","11,366"
,E12000008,South East,E06000037,West Berkshire,"16,696","6,847","8,309","6,158","7,961"
,E12000008,South East,E07000181,West Oxfordshire,"13,381","5,322","6,225","4,883","6,938"
,E12000008,South East,E07000094,Winchester,"15,804","5,975","6,672","5,187","7,684"
,E12000008,South East,E06000040,Windsor and Maidenhead,"16,620","6,505","6,905","5,325","7,999"
,E12000008,South East,E07000217,Woking,"12,762","4,061","4,238","3,129","4,820"
,E12000008,South East,E06000041,Wokingham,"18,826","6,721","7,814","5,971","8,416"
,E12000008,South East,E07000229,Worthing,"18,416","4,703","6,264","4,666","7,392"
,E12000009,South West,E06000022,Bath and North East Somerset,"24,422","8,703","9,500","7,225","10,617"
,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole","58,287","18,869","21,444","16,389","25,326"
,E12000009,South West,E06000023,"Bristol, City of","59,235","15,008","15,229","10,951","16,108"
,E12000009,South West,E07000078,Cheltenham,"17,048","5,303","5,606","4,378","6,927"
,E12000009,South West,E06000052,Cornwall,"80,910","32,259","38,542","28,528","35,833"
,E12000009,South West,E07000079,Cotswold,"8,643","5,598","6,075","4,732","6,438"
,E12000009,South West,E06000059,Dorset,"52,876","23,222","29,120","22,336","31,417"
,E12000009,South West,E07000040,East Devon,"20,017","9,303","11,454","9,140","13,311"
,E12000009,South West,E07000041,Exeter,"17,783","4,558","5,442","4,092","6,203"
,E12000009,South West,E07000080,Forest of Dean,"7,975","4,785","5,271","3,913","4,862"
,E12000009,South West,E07000081,Gloucester,"19,939","5,470","5,498","4,316","5,824"
,E12000009,South West,E06000053,Isles of Scilly,337,117,140,125,166
,E12000009,South West,E07000187,Mendip,"18,649","6,367","7,305","5,332","7,260"
,E12000009,South West,E07000042,Mid Devon,"10,362","3,941","5,208","3,922","5,179"
,E12000009,South West,E07000043,North Devon,"14,647","4,657","6,639","5,180","6,853"
,E12000009,South West,E06000024,North Somerset,"29,359","11,587","13,465","10,533","14,501"
,E12000009,South West,E06000026,Plymouth,"35,438","11,388","12,538","9,424","12,786"
,E12000009,South West,E07000188,Sedgemoor,"16,005","6,234","7,925","5,893","7,776"
,E12000009,South West,E07000246,Somerset West and Taunton,"28,348","8,865","10,204","7,941","11,279"
,E12000009,South West,E06000025,South Gloucestershire,"36,429","12,512","13,703","11,137","15,240"
,E12000009,South West,E07000044,South Hams,"11,425","5,465","6,647","4,861","6,354"
,E12000009,South West,E07000189,South Somerset,"25,694","9,986","11,697","8,743","11,567"
,E12000009,South West,E07000082,Stroud,"14,736","6,929","7,508","5,458","7,419"
,E12000009,South West,E06000030,Swindon,"28,636","9,441","9,393","6,761","9,464"
,E12000009,South West,E07000045,Teignbridge,"19,224","7,631","9,527","7,337","9,627"
,E12000009,South West,E07000083,Tewkesbury,"12,457","5,228","5,518","4,276","5,760"
,E12000009,South West,E06000027,Torbay,"23,919","5,493","9,224","7,135","9,877"
,E12000009,South West,E07000046,Torridge,"9,773","3,739","5,218","3,876","4,769"
,E12000009,South West,E07000047,West Devon,"9,095","3,669","4,263","3,252","4,209"
,E12000009,South West,E06000054,Wiltshire,"65,397","24,800","28,909","21,856","29,947"
,E12000005,West Midlands,E08000025,Birmingham,"144,750","35,424","34,199","25,946","38,372"
,E12000005,West Midlands,E07000234,Bromsgrove,"13,902","5,304","5,602","4,515","6,383"
,E12000005,West Midlands,E07000192,Cannock Chase,"14,961","4,857","5,154","3,918","4,716"
,E12000005,West Midlands,E08000026,Coventry,"47,604","12,141","11,999","9,549","13,639"
,E12000005,West Midlands,E08000027,Dudley,"40,594","14,593","16,221","13,335","17,687"
,E12000005,West Midlands,E07000193,East Staffordshire,"17,325","5,630","5,974","4,571","5,912"
,E12000005,West Midlands,E06000019,"Herefordshire, County of","25,968","10,823","12,289","9,313","12,802"
,E12000005,West Midlands,E07000194,Lichfield,"14,048","5,550","6,657","5,622","6,392"
,E12000005,West Midlands,E07000235,Malvern Hills,"12,927","5,110","5,788","4,362","6,146"
,E12000005,West Midlands,E07000195,Newcastle-under-Lyme,"19,144","6,166","7,058","5,204","7,145"
,E12000005,West Midlands,E07000218,North Warwickshire,"9,965","3,479","3,836","2,878","3,466"
,E12000005,West Midlands,E07000219,Nuneaton and Bedworth,"18,179","6,128","6,585","5,031","6,031"
,E12000005,West Midlands,E07000236,Redditch,"9,137","4,268","4,503","3,029","3,369"
,E12000005,West Midlands,E07000220,Rugby,"13,395","4,762","5,204","4,351","5,611"
,E12000005,West Midlands,E08000028,Sandwell,"41,154","11,850","11,680","9,057","12,399"
,E12000005,West Midlands,E06000051,Shropshire,"44,665","18,481","20,489","16,178","21,102"
,E12000005,West Midlands,E08000029,Solihull,"29,575","10,148","11,602","9,138","12,792"
,E12000005,West Midlands,E07000196,South Staffordshire,"16,195","6,304","7,106","5,831","7,382"
,E12000005,West Midlands,E07000197,Stafford,"22,541","7,359","8,051","6,500","8,234"
,E12000005,West Midlands,E07000198,Staffordshire Moorlands,"14,377","5,899","6,813","5,147","6,378"
,E12000005,West Midlands,E06000021,Stoke-on-Trent,"39,259","11,056","11,411","8,500","11,029"
,E12000005,West Midlands,E07000221,Stratford-on-Avon,"20,523","7,801","8,695","7,047","9,251"
,E12000005,West Midlands,E07000199,Tamworth,"8,495","3,958","4,084","2,938","3,264"
,E12000005,West Midlands,E06000020,Telford and Wrekin,"27,345","8,355","8,664","6,318","7,545"
,E12000005,West Midlands,E08000030,Walsall,"38,938","11,522","11,903","9,511","13,716"
,E12000005,West Midlands,E07000222,Warwick,"23,016","6,573","6,945","5,520","7,710"
,E12000005,West Midlands,E08000031,Wolverhampton,"34,387","9,857","10,056","7,731","11,853"
,E12000005,West Midlands,E07000237,Worcester,"17,611","4,622","4,649","3,427","4,658"
,E12000005,West Midlands,E07000238,Wychavon,"19,822","7,997","8,707","6,571","8,648"
,E12000005,West Midlands,E07000239,Wyre Forest,"15,281","5,865","6,998","5,504","6,413"
,E12000003,Yorkshire and The Humber,E08000016,Barnsley,"26,209","10,644","12,475","9,268","11,276"
,E12000003,Yorkshire and The Humber,E08000032,Bradford,"65,791","19,833","20,608","13,502","20,726"
,E12000003,Yorkshire and The Humber,E08000033,Calderdale,"28,176","9,043","10,497","7,375","9,313"
,E12000003,Yorkshire and The Humber,E07000163,Craven,"6,898","3,442","4,006","3,088","4,085"
,E12000003,Yorkshire and The Humber,E08000017,Doncaster,"34,329","14,473","15,713","11,240","15,217"
,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"46,787","18,104","24,467","17,474","23,569"
,E12000003,Yorkshire and The Humber,E07000164,Hambleton,"12,888","4,869","6,505","4,834","6,589"
,E12000003,Yorkshire and The Humber,E07000165,Harrogate,"22,228","8,255","9,894","7,237","10,679"
,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","37,263","9,947","10,745","6,793","9,700"
,E12000003,Yorkshire and The Humber,E08000034,Kirklees,"56,640","18,711","20,204","14,315","18,545"
,E12000003,Yorkshire and The Humber,E08000035,Leeds,"104,908","29,523","32,681","23,066","33,709"
,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,"20,550","7,335","8,463","6,048","8,774"
,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,"26,786","8,422","9,816","7,104","9,353"
,E12000003,Yorkshire and The Humber,E07000166,Richmondshire,"3,973","2,194","3,125","2,205","2,895"
,E12000003,Yorkshire and The Humber,E08000018,Rotherham,"33,138","12,922","13,649","10,254","12,920"
,E12000003,Yorkshire and The Humber,E07000167,Ryedale,"7,482","3,388","3,979","2,970","4,004"
,E12000003,Yorkshire and The Humber,E07000168,Scarborough,"15,611","5,895","7,907","5,736","7,718"
,E12000003,Yorkshire and The Humber,E07000169,Selby,"11,581","4,718","5,284","3,659","4,414"
,E12000003,Yorkshire and The Humber,E08000019,Sheffield,"75,280","20,291","23,449","18,183","25,608"
,E12000003,Yorkshire and The Humber,E08000036,Wakefield,"44,357","16,850","17,708","12,875","16,014"
,E12000003,Yorkshire and The Humber,E06000014,York,"24,748","9,002","10,126","7,272","10,791"
