,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 60,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E07000132,Hinckley and Bosworth," 13,921 "," 4,814 "," 6,225 "," 6,975 "," 5,096 "," 6,273 "
,E12000004,East Midlands,E07000153,Kettering," 13,773 "," 3,942 "," 4,348 "," 5,137 "," 3,821 "," 4,627 "
,E12000004,East Midlands,E06000016,Leicester," 43,892 "," 11,841 "," 12,169 "," 10,413 "," 6,811 "," 10,166 "
,E12000004,East Midlands,E07000138,Lincoln," 13,127 "," 3,279 "," 3,829 "," 3,834 "," 2,729 "," 3,980 "
,E12000004,East Midlands,E07000174,Mansfield," 19,077 "," 5,372 "," 5,522 "," 5,432 "," 4,137 "," 5,023 "
,E12000004,East Midlands,E07000133,Melton," 5,595 "," 2,183 "," 3,111 "," 3,343 "," 2,396 "," 3,027 "
,E12000004,East Midlands,E07000175,Newark and Sherwood," 18,486 "," 6,024 "," 6,749 "," 7,411 "," 5,487 "," 6,829 "
,E12000004,East Midlands,E07000038,North East Derbyshire," 12,862 "," 4,711 "," 5,879 "," 6,646 "," 5,347 "," 6,419 "
,E12000004,East Midlands,E07000139,North Kesteven," 15,484 "," 5,316 "," 6,306 "," 7,379 "," 5,702 "," 7,318 "
,E12000004,East Midlands,E07000134,North West Leicestershire," 11,248 "," 4,366 "," 5,321 "," 5,845 "," 4,225 "," 4,838 "
,E12000004,East Midlands,E07000154,Northampton," 26,922 "," 8,119 "," 8,783 "," 9,284 "," 6,452 "," 8,718 "
,E12000004,East Midlands,E06000018,Nottingham," 40,137 "," 8,375 "," 9,559 "," 9,058 "," 6,436 "," 9,661 "
,E12000004,East Midlands,E07000135,Oadby and Wigston," 7,482 "," 2,631 "," 2,742 "," 2,940 "," 2,315 "," 3,805 "
,E12000004,East Midlands,E07000176,Rushcliffe," 16,089 "," 5,682 "," 6,126 "," 6,662 "," 5,005 "," 6,952 "
,E12000004,East Midlands,E06000017,Rutland," 3,936 "," 1,813 "," 2,333 "," 2,765 "," 2,080 "," 2,853 "
,E12000004,East Midlands,E07000039,South Derbyshire," 14,385 "," 4,805 "," 5,113 "," 5,467 "," 3,919 "," 4,602 "
,E12000004,East Midlands,E07000140,South Holland," 8,678 "," 3,704 "," 5,216 "," 6,004 "," 4,450 "," 6,118 "
,E12000004,East Midlands,E07000141,South Kesteven," 15,363 "," 5,805 "," 7,996 "," 8,832 "," 6,680 "," 8,375 "
,E12000004,East Midlands,E07000155,South Northamptonshire," 9,660 "," 4,174 "," 4,698 "," 5,555 "," 3,956 "," 4,681 "
,E12000004,East Midlands,E07000156,Wellingborough," 7,911 "," 3,072 "," 3,758 "," 4,210 "," 3,048 "," 3,613 "
,E12000004,East Midlands,E07000142,West Lindsey," 12,300 "," 4,570 "," 5,893 "," 6,502 "," 4,937 "," 5,795 "
,E12000006,East of England,E07000200,Babergh," 12,657 "," 5,225 "," 5,598 "," 6,544 "," 5,003 "," 6,449 "
,E12000006,East of England,E07000066,Basildon," 19,531 "," 6,435 "," 7,566 "," 8,429 "," 5,960 "," 8,286 "
,E12000006,East of England,E06000055,Bedford," 21,262 "," 6,059 "," 7,620 "," 7,977 "," 5,632 "," 8,094 "
,E12000006,East of England,E07000067,Braintree," 15,505 "," 4,877 "," 7,527 "," 8,481 "," 6,092 "," 7,611 "
,E12000006,East of England,E07000143,Breckland," 16,606 "," 5,851 "," 7,871 "," 9,348 "," 7,051 "," 9,251 "
,E12000006,East of England,E07000068,Brentwood," 6,910 "," 2,505 "," 3,212 "," 3,819 "," 2,875 "," 4,709 "
,E12000006,East of England,E07000144,Broadland," 17,324 "," 5,539 "," 7,488 "," 8,973 "," 6,767 "," 9,595 "
,E12000006,East of England,E07000095,Broxbourne," 9,415 "," 3,070 "," 3,864 "," 4,322 "," 3,290 "," 4,949 "
,E12000006,East of England,E07000008,Cambridge," 18,426 "," 4,036 "," 4,035 "," 3,889 "," 2,975 "," 4,541 "
,E12000006,East of England,E07000069,Castle Point," 8,639 "," 3,019 "," 4,675 "," 6,160 "," 4,696 "," 5,882 "
,E12000006,East of England,E06000056,Central Bedfordshire," 30,381 "," 10,762 "," 13,213 "," 14,159 "," 10,301 "," 12,856 "
,E12000006,East of England,E07000070,Chelmsford," 19,167 "," 5,539 "," 7,913 "," 9,303 "," 6,854 "," 9,529 "
,E12000006,East of England,E07000071,Colchester," 23,973 "," 5,978 "," 7,930 "," 9,239 "," 6,717 "," 8,768 "
,E12000006,East of England,E07000096,Dacorum," 16,044 "," 5,630 "," 6,842 "," 6,697 "," 4,862 "," 7,271 "
,E12000006,East of England,E07000009,East Cambridgeshire," 11,735 "," 3,755 "," 4,520 "," 4,873 "," 3,537 "," 4,875 "
,E12000006,East of England,E07000242,East Hertfordshire," 15,215 "," 5,397 "," 6,751 "," 7,277 "," 5,100 "," 7,429 "
,E12000006,East of England,E07000244,East Suffolk," 34,407 "," 14,315 "," 15,511 "," 18,086 "," 13,671 "," 18,521 "
,E12000006,East of England,E07000072,Epping Forest," 12,722 "," 4,469 "," 5,983 "," 6,651 "," 5,011 "," 7,158 "
,E12000006,East of England,E07000010,Fenland," 10,922 "," 4,413 "," 5,355 "," 6,079 "," 4,592 "," 6,028 "
,E12000006,East of England,E07000145,Great Yarmouth," 13,172 "," 3,743 "," 5,223 "," 6,326 "," 4,827 "," 5,986 "
,E12000006,East of England,E07000073,Harlow," 10,436 "," 2,692 "," 3,572 "," 3,229 "," 2,317 "," 3,583 "
,E12000006,East of England,E07000098,Hertsmere," 15,346 "," 4,536 "," 4,471 "," 4,733 "," 3,571 "," 5,499 "
,E12000006,East of England,E07000011,Huntingdonshire," 20,370 "," 8,208 "," 8,713 "," 9,960 "," 7,381 "," 9,045 "
,E12000006,East of England,E07000202,Ipswich," 22,577 "," 6,332 "," 5,768 "," 5,616 "," 4,021 "," 6,218 "
,E12000006,East of England,E07000146,King's Lynn and West Norfolk," 19,296 "," 7,148 "," 8,957 "," 10,324 "," 8,002 "," 10,720 "
,E12000006,East of England,E06000032,Luton," 23,017 "," 5,407 "," 6,431 "," 5,842 "," 4,487 "," 6,867 "
