,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 55,55-59,60-64,65-69,70-74,75-79,80+
,E12000006,East of England,E07000008,Cambridge," 17,009 "," 3,845 "," 4,548 "," 4,132 "," 3,903 "," 2,977 "," 4,547 "
,E12000006,East of England,E07000069,Castle Point," 7,418 "," 2,587 "," 3,826 "," 4,760 "," 6,189 "," 4,715 "," 5,893 "
,E12000006,East of England,E06000056,Central Bedfordshire," 27,848 "," 7,687 "," 14,222 "," 13,383 "," 14,186 "," 10,325 "," 12,881 "
,E12000006,East of England,E07000070,Chelmsford," 16,987 "," 4,685 "," 6,469 "," 8,065 "," 9,315 "," 6,858 "," 9,540 "
,E12000006,East of England,E07000071,Colchester," 21,610 "," 5,204 "," 7,271 "," 8,063 "," 9,295 "," 6,745 "," 8,784 "
,E12000006,East of England,E07000096,Dacorum," 14,427 "," 4,393 "," 7,000 "," 6,885 "," 6,718 "," 4,876 "," 7,291 "
,E12000006,East of England,E07000009,East Cambridgeshire," 11,154 "," 3,279 "," 4,523 "," 4,554 "," 4,887 "," 3,545 "," 4,879 "
,E12000006,East of England,E07000242,East Hertfordshire," 13,270 "," 3,972 "," 7,247 "," 6,823 "," 7,297 "," 5,107 "," 7,446 "
,E12000006,East of England,E07000244,East Suffolk," 29,009 "," 12,307 "," 15,998 "," 15,742 "," 18,138 "," 13,703 "," 18,746 "
,E12000006,East of England,E07000072,Epping Forest," 10,769 "," 3,841 "," 6,183 "," 6,145 "," 6,672 "," 5,013 "," 7,159 "
,E12000006,East of England,E07000010,Fenland," 10,815 "," 3,750 "," 5,592 "," 5,689 "," 6,113 "," 4,612 "," 6,046 "
,E12000006,East of England,E07000145,Great Yarmouth," 12,073 "," 4,071 "," 4,906 "," 5,667 "," 6,380 "," 4,850 "," 6,003 "
,E12000006,East of England,E07000073,Harlow," 9,824 "," 2,541 "," 3,699 "," 3,623 "," 3,249 "," 2,327 "," 3,602 "
,E12000006,East of England,E07000098,Hertsmere," 13,968 "," 4,944 "," 5,329 "," 4,523 "," 4,758 "," 3,584 "," 5,500 "
,E12000006,East of England,E07000011,Huntingdonshire," 19,177 "," 6,305 "," 9,925 "," 9,082 "," 9,997 "," 7,400 "," 9,048 "
,E12000006,East of England,E07000202,Ipswich," 19,821 "," 5,777 "," 6,540 "," 5,815 "," 5,637 "," 4,032 "," 6,271 "
,E12000006,East of England,E07000146,King's Lynn and West Norfolk," 16,488 "," 5,733 "," 8,970 "," 9,143 "," 10,357 "," 8,014 "," 10,739 "
,E12000006,East of England,E06000032,Luton," 20,189 "," 4,959 "," 6,701 "," 6,541 "," 5,873 "," 4,510 "," 6,890 "
,E12000006,East of England,E07000074,Maldon," 5,655 "," 1,924 "," 3,469 "," 4,018 "," 4,530 "," 3,382 "," 4,152 "
,E12000006,East of England,E07000203,Mid Suffolk," 12,431 "," 5,658 "," 6,519 "," 6,453 "," 7,068 "," 5,124 "," 6,627 "
,E12000006,East of England,E07000099,North Hertfordshire," 13,077 "," 3,585 "," 6,410 "," 6,115 "," 6,529 "," 4,882 "," 7,442 "
,E12000006,East of England,E07000147,North Norfolk," 9,614 "," 3,786 "," 6,594 "," 7,747 "," 9,163 "," 6,842 "," 9,490 "
,E12000006,East of England,E07000148,Norwich," 19,850 "," 4,044 "," 5,254 "," 5,417 "," 5,455 "," 3,983 "," 5,833 "
,E12000006,East of England,E06000031,Peterborough," 22,264 "," 6,001 "," 8,475 "," 7,628 "," 7,663 "," 5,476 "," 7,909 "
,E12000006,East of England,E07000075,Rochford," 8,345 "," 2,843 "," 3,937 "," 4,468 "," 5,380 "," 4,051 "," 5,496 "
,E12000006,East of England,E07000012,South Cambridgeshire," 18,440 "," 5,910 "," 8,241 "," 7,685 "," 8,305 "," 6,288 "," 8,601 "
,E12000006,East of England,E07000149,South Norfolk," 16,430 "," 4,897 "," 7,838 "," 7,840 "," 9,206 "," 6,992 "," 9,341 "
,E12000006,East of England,E06000033,Southend-on-Sea," 20,429 "," 5,955 "," 6,850 "," 7,998 "," 8,764 "," 6,545 "," 9,354 "
,E12000006,East of England,E07000240,St Albans," 12,077 "," 4,116 "," 6,695 "," 6,153 "," 6,352 "," 4,778 "," 7,460 "
,E12000006,East of England,E07000243,Stevenage," 10,651 "," 2,740 "," 4,096 "," 3,461 "," 3,323 "," 2,440 "," 3,733 "
,E12000006,East of England,E07000076,Tendring," 16,342 "," 6,804 "," 9,119 "," 9,707 "," 11,593 "," 8,972 "," 11,843 "
,E12000006,East of England,E07000102,Three Rivers," 10,426 "," 3,671 "," 4,669 "," 4,156 "," 4,321 "," 3,186 "," 4,773 "
