,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 70,70-74,75-79,80+
,E12000004,East Midlands,E07000032,Amber Valley," 17,515 "," 7,839 "," 5,731 "," 6,800 "
,E12000004,East Midlands,E07000170,Ashfield," 20,775 "," 6,075 "," 5,011 "," 5,819 "
,E12000004,East Midlands,E07000171,Bassetlaw," 17,682 "," 6,900 "," 5,187 "," 6,410 "
,E12000004,East Midlands,E07000129,Blaby," 15,318 "," 5,507 "," 4,135 "," 5,575 "
,E12000004,East Midlands,E07000033,Bolsover," 12,103 "," 4,174 "," 3,350 "," 3,793 "
,E12000004,East Midlands,E07000136,Boston," 9,813 "," 3,592 "," 2,741 "," 3,802 "
,E12000004,East Midlands,E07000172,Broxtowe," 17,004 "," 6,488 "," 4,711 "," 6,291 "
,E12000004,East Midlands,E07000130,Charnwood," 23,454 "," 8,917 "," 6,662 "," 8,797 "
,E12000004,East Midlands,E07000034,Chesterfield," 17,709 "," 5,709 "," 4,274 "," 5,605 "
,E12000004,East Midlands,E07000150,Corby," 7,281 "," 2,653 "," 1,948 "," 2,359 "
,E12000004,East Midlands,E07000151,Daventry," 10,902 "," 4,952 "," 3,532 "," 4,219 "
,E12000004,East Midlands,E06000015,Derby," 38,545 "," 10,355 "," 7,685 "," 11,560 "
,E12000004,East Midlands,E07000035,Derbyshire Dales," 9,794 "," 5,335 "," 4,074 "," 5,159 "
,E12000004,East Midlands,E07000137,East Lindsey," 18,769 "," 11,383 "," 8,810 "," 10,370 "
,E12000004,East Midlands,E07000152,East Northamptonshire," 11,769 "," 5,427 "," 3,846 "," 4,708 "
,E12000004,East Midlands,E07000036,Erewash," 15,390 "," 6,119 "," 4,669 "," 6,063 "
,E12000004,East Midlands,E07000173,Gedling," 19,260 "," 6,586 "," 4,724 "," 6,636 "
,E12000004,East Midlands,E07000131,Harborough," 14,280 "," 5,567 "," 4,228 "," 5,454 "
,E12000004,East Midlands,E07000037,High Peak," 12,464 "," 5,370 "," 3,919 "," 4,659 "
,E12000004,East Midlands,E07000132,Hinckley and Bosworth," 16,502 "," 6,909 "," 5,074 "," 6,254 "
,E12000004,East Midlands,E07000153,Kettering," 13,707 "," 5,057 "," 3,808 "," 4,611 "
,E12000004,East Midlands,E06000016,Leicester," 44,298 "," 10,149 "," 6,686 "," 10,023 "
,E12000004,East Midlands,E07000138,Lincoln," 13,122 "," 3,752 "," 2,702 "," 3,960 "
,E12000004,East Midlands,E07000174,Mansfield," 19,312 "," 5,055 "," 4,065 "," 4,896 "
,E12000004,East Midlands,E07000133,Melton," 6,977 "," 3,304 "," 2,388 "," 3,012 "
,E12000004,East Midlands,E07000175,Newark and Sherwood," 19,758 "," 7,197 "," 5,431 "," 6,764 "
,E12000004,East Midlands,E07000038,North East Derbyshire," 15,953 "," 6,583 "," 5,316 "," 6,412 "
,E12000004,East Midlands,E07000139,North Kesteven," 18,306 "," 7,320 "," 5,666 "," 7,294 "
,E12000004,East Midlands,E07000134,North West Leicestershire," 13,640 "," 5,779 "," 4,194 "," 4,829 "
,E12000004,East Midlands,E07000154,Northampton," 27,566 "," 9,127 "," 6,389 "," 8,614 "
,E12000004,East Midlands,E06000018,Nottingham," 35,624 "," 8,776 "," 6,294 "," 9,451 "
,E12000004,East Midlands,E07000135,Oadby and Wigston," 9,048 "," 2,914 "," 2,300 "," 3,794 "
,E12000004,East Midlands,E07000176,Rushcliffe," 17,844 "," 6,596 "," 4,972 "," 6,890 "
,E12000004,East Midlands,E06000017,Rutland," 3,820 "," 2,722 "," 2,061 "," 2,830 "
,E12000004,East Midlands,E07000039,South Derbyshire," 17,067 "," 5,418 "," 3,896 "," 4,589 "
,E12000004,East Midlands,E07000140,South Holland," 11,608 "," 5,901 "," 4,365 "," 6,085 "
,E12000004,East Midlands,E07000141,South Kesteven," 19,078 "," 8,718 "," 6,625 "," 8,346 "
,E12000004,East Midlands,E07000155,South Northamptonshire," 10,317 "," 5,494 "," 3,930 "," 4,677 "
,E12000004,East Midlands,E07000156,Wellingborough," 9,877 "," 4,164 "," 3,014 "," 3,578 "
,E12000004,East Midlands,E07000142,West Lindsey," 14,527 "," 6,397 "," 4,893 "," 5,761 "
,E12000006,East of England,E07000200,Babergh," 15,242 "," 6,496 "," 4,983 "," 6,416 "
,E12000006,East of England,E07000066,Basildon," 20,330 "," 8,283 "," 5,905 "," 8,244 "
,E12000006,East of England,E06000055,Bedford," 24,603 "," 7,849 "," 5,575 "," 8,056 "
,E12000006,East of England,E07000067,Braintree," 18,316 "," 8,304 "," 6,016 "," 7,500 "
,E12000006,East of England,E07000143,Breckland," 21,829 "," 9,167 "," 6,998 "," 9,250 "
,E12000006,East of England,E07000068,Brentwood," 7,787 "," 3,749 "," 2,865 "," 4,706 "
,E12000006,East of England,E07000144,Broadland," 19,177 "," 8,844 "," 6,719 "," 9,552 "
,E12000006,East of England,E07000095,Broxbourne," 9,438 "," 4,264 "," 3,268 "," 4,909 "
,E12000006,East of England,E07000008,Cambridge," 16,526 "," 3,815 "," 2,920 "," 4,464 "
,E12000006,East of England,E07000069,Castle Point," 11,199 "," 6,027 "," 4,594 "," 5,760 "
,E12000006,East of England,E06000056,Central Bedfordshire," 33,866 "," 13,959 "," 10,225 "," 12,799 "
,E12000006,East of England,E07000070,Chelmsford," 20,501 "," 9,172 "," 6,804 "," 9,478 "
,E12000006,East of England,E07000071,Colchester," 29,368 "," 9,115 "," 6,659 "," 8,732 "
,E12000006,East of England,E07000096,Dacorum," 19,509 "," 6,643 "," 4,831 "," 7,251 "
,E12000006,East of England,E07000009,East Cambridgeshire," 11,688 "," 4,810 "," 3,500 "," 4,829 "
,E12000006,East of England,E07000242,East Hertfordshire," 17,615 "," 7,214 "," 5,084 "," 7,427 "
,E12000006,East of England,E07000244,East Suffolk," 44,612 "," 17,766 "," 13,560 "," 18,374 "
,E12000006,East of England,E07000072,Epping Forest," 15,904 "," 6,555 "," 4,948 "," 7,109 "
,E12000006,East of England,E07000010,Fenland," 13,116 "," 5,898 "," 4,532 "," 5,912 "
,E12000006,East of England,E07000145,Great Yarmouth," 15,189 "," 6,208 "," 4,792 "," 5,967 "
,E12000006,East of England,E07000073,Harlow," 12,267 "," 3,162 "," 2,294 "," 3,529 "
,E12000006,East of England,E07000098,Hertsmere," 16,865 "," 4,689 "," 3,539 "," 5,480 "
,E12000006,East of England,E07000011,Huntingdonshire," 21,743 "," 9,766 "," 7,250 "," 8,865 "
,E12000006,East of England,E07000202,Ipswich," 23,530 "," 5,538 "," 3,980 "," 6,186 "
,E12000006,East of England,E07000146,King's Lynn and West Norfolk," 24,105 "," 10,134 "," 7,917 "," 10,708 "
,E12000006,East of England,E06000032,Luton," 22,378 "," 5,676 "," 4,393 "," 6,754 "
,E12000006,East of England,E07000074,Maldon," 9,869 "," 4,497 "," 3,369 "," 4,140 "
,E12000006,East of England,E07000203,Mid Suffolk," 19,540 "," 6,995 "," 5,070 "," 6,530 "
,E12000006,East of England,E07000099,North Hertfordshire," 16,038 "," 6,445 "," 4,832 "," 7,375 "
,E12000006,East of England,E07000147,North Norfolk," 15,092 "," 9,001 "," 6,797 "," 9,484 "
,E12000006,East of England,E07000148,Norwich," 21,760 "," 5,348 "," 3,941 "," 5,806 "
,E12000006,East of England,E06000031,Peterborough," 22,621 "," 7,516 "," 5,401 "," 7,792 "
,E12000006,East of England,E07000075,Rochford," 12,121 "," 5,299 "," 4,016 "," 5,449 "
,E12000006,East of England,E07000012,South Cambridgeshire," 22,977 "," 8,194 "," 6,233 "," 8,533 "
,E12000006,East of England,E07000149,South Norfolk," 21,298 "," 9,022 "," 6,903 "," 9,239 "
