,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 50,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E07000032,Amber Valley," 16,498 "," 9,002 "," 9,080 "," 8,026 "," 7,265 "," 7,958 "," 5,789 "," 6,819 "
,E12000004,East Midlands,E07000170,Ashfield," 17,418 "," 8,399 "," 8,459 "," 7,135 "," 6,328 "," 6,444 "," 5,148 "," 6,004 "
,E12000004,East Midlands,E07000171,Bassetlaw," 13,068 "," 7,858 "," 8,329 "," 7,376 "," 6,557 "," 7,074 "," 5,236 "," 6,444 "
,E12000004,East Midlands,E07000129,Blaby," 12,946 "," 6,512 "," 6,531 "," 5,961 "," 5,148 "," 5,591 "," 4,161 "," 5,568 "
,E12000004,East Midlands,E07000033,Bolsover," 10,589 "," 5,691 "," 5,524 "," 4,934 "," 4,194 "," 4,247 "," 3,409 "," 3,820 "
,E12000004,East Midlands,E07000136,Boston," 7,491 "," 3,809 "," 4,188 "," 3,832 "," 3,549 "," 3,687 "," 2,786 "," 3,825 "
,E12000004,East Midlands,E07000172,Broxtowe," 13,388 "," 7,023 "," 7,216 "," 6,484 "," 5,847 "," 6,608 "," 4,809 "," 6,381 "
,E12000004,East Midlands,E07000130,Charnwood," 22,658 "," 10,814 "," 10,668 "," 9,906 "," 8,945 "," 9,064 "," 6,736 "," 8,808 "
,E12000004,East Midlands,E07000034,Chesterfield," 15,220 "," 6,635 "," 6,832 "," 6,446 "," 5,776 "," 5,812 "," 4,351 "," 5,648 "
,E12000004,East Midlands,E07000150,Corby," 6,849 "," 3,844 "," 4,275 "," 3,712 "," 3,073 "," 2,705 "," 1,965 "," 2,378 "
,E12000004,East Midlands,E07000151,Daventry," 9,050 "," 6,044 "," 6,311 "," 5,323 "," 4,743 "," 5,029 "," 3,568 "," 4,241 "
,E12000004,East Midlands,E06000015,Derby," 33,335 "," 14,448 "," 14,306 "," 12,190 "," 10,527 "," 10,609 "," 7,830 "," 11,723 "
,E12000004,East Midlands,E07000035,Derbyshire Dales," 6,227 "," 5,299 "," 5,838 "," 5,342 "," 4,920 "," 5,410 "," 4,092 "," 5,176 "
,E12000004,East Midlands,E07000137,East Lindsey," 14,280 "," 8,460 "," 10,401 "," 10,673 "," 10,637 "," 11,881 "," 8,963 "," 10,432 "
