,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 50,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E07000032,Amber Valley," 18,212 "," 9,138 "," 9,167 "," 8,063 "," 7,281 "," 7,963 "," 5,796 "," 6,818 "
,E12000004,East Midlands,E07000170,Ashfield," 18,155 "," 8,544 "," 8,554 "," 7,174 "," 6,345 "," 6,461 "," 5,160 "," 6,066 "
,E12000004,East Midlands,E07000171,Bassetlaw," 13,923 "," 8,028 "," 8,504 "," 7,416 "," 6,566 "," 7,077 "," 5,235 "," 6,438 "
,E12000004,East Midlands,E07000129,Blaby," 14,857 "," 6,703 "," 6,619 "," 5,991 "," 5,147 "," 5,595 "," 4,165 "," 5,557 "
,E12000004,East Midlands,E07000033,Bolsover," 11,252 "," 5,787 "," 5,623 "," 4,955 "," 4,209 "," 4,250 "," 3,409 "," 3,823 "
,E12000004,East Midlands,E07000136,Boston," 7,953 "," 3,882 "," 4,228 "," 3,855 "," 3,556 "," 3,696 "," 2,786 "," 3,828 "
,E12000004,East Midlands,E07000172,Broxtowe," 14,142 "," 7,236 "," 7,340 "," 6,516 "," 5,861 "," 6,612 "," 4,820 "," 6,401 "
,E12000004,East Midlands,E07000130,Charnwood," 24,693 "," 11,095 "," 10,804 "," 9,953 "," 8,958 "," 9,067 "," 6,738 "," 8,805 "
,E12000004,East Midlands,E07000034,Chesterfield," 16,616 "," 6,813 "," 7,111 "," 6,509 "," 5,793 "," 5,821 "," 4,354 "," 5,651 "
,E12000004,East Midlands,E07000150,Corby," 7,326 "," 4,140 "," 4,390 "," 3,771 "," 3,089 "," 2,710 "," 1,962 "," 2,376 "
,E12000004,East Midlands,E07000151,Daventry," 9,544 "," 6,273 "," 6,431 "," 5,349 "," 4,754 "," 5,033 "," 3,574 "," 4,238 "
,E12000004,East Midlands,E06000015,Derby," 44,582 "," 14,771 "," 14,472 "," 12,275 "," 10,568 "," 10,620 "," 7,845 "," 11,719 "
,E12000004,East Midlands,E07000035,Derbyshire Dales," 6,996 "," 5,448 "," 5,933 "," 5,370 "," 4,929 "," 5,418 "," 4,091 "," 5,179 "
,E12000004,East Midlands,E07000137,East Lindsey," 16,500 "," 9,211 "," 10,706 "," 10,805 "," 10,693 "," 11,899 "," 8,966 "," 10,440 "
,E12000004,East Midlands,E07000152,East Northamptonshire," 8,787 "," 6,569 "," 6,526 "," 5,432 "," 5,032 "," 5,523 "," 3,885 "," 4,742 "
,E12000004,East Midlands,E07000036,Erewash," 13,643 "," 7,979 "," 7,868 "," 6,663 "," 5,867 "," 6,262 "," 4,733 "," 6,082 "
,E12000004,East Midlands,E07000173,Gedling," 16,050 "," 7,966 "," 8,051 "," 6,963 "," 6,367 "," 6,733 "," 4,818 "," 6,707 "
,E12000004,East Midlands,E07000131,Harborough," 10,984 "," 6,899 "," 6,899 "," 5,925 "," 5,294 "," 5,660 "," 4,273 "," 5,480 "
,E12000004,East Midlands,E07000037,High Peak," 10,873 "," 6,657 "," 7,133 "," 6,302 "," 5,339 "," 5,459 "," 3,924 "," 4,677 "
,E12000004,East Midlands,E07000132,Hinckley and Bosworth," 13,887 "," 7,740 "," 7,658 "," 6,973 "," 6,448 "," 7,001 "," 5,103 "," 6,297 "
,E12000004,East Midlands,E07000153,Kettering," 11,967 "," 6,786 "," 6,441 "," 5,312 "," 4,886 "," 5,207 "," 3,846 "," 4,658 "
,E12000004,East Midlands,E06000016,Leicester," 53,063 "," 17,751 "," 16,744 "," 15,467 "," 12,940 "," 10,655 "," 6,937 "," 10,295 "
,E12000004,East Midlands,E07000138,Lincoln," 12,774 "," 5,137 "," 5,447 "," 4,587 "," 3,949 "," 3,876 "," 2,761 "," 3,987 "
,E12000004,East Midlands,E07000174,Mansfield," 15,802 "," 7,014 "," 7,466 "," 6,582 "," 5,700 "," 5,553 "," 4,220 "," 5,131 "
