UTLA Code,UTLA Name,LTLA Code,LTLA Name,Under 18,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,18+,16+
E10000007,Derbyshire,E07000032,Amber Valley,"24,325","8,939","7,614","7,955","7,700","7,596","8,829","10,226","10,131","8,678","7,602","8,211","5,881","6,830","106,192","108,769"
E10000024,Nottinghamshire,E07000170,Ashfield,"27,041","9,452","8,191","9,154","8,492","7,850","8,349","9,792","9,511","7,864","6,743","6,751","5,318","6,190","103,657","106,422"
E10000024,Nottinghamshire,E07000171,Bassetlaw,"24,162","8,860","7,847","8,133","7,625","7,190","7,938","9,398","9,592","8,103","6,983","7,346","5,394","6,518","100,927","103,490"
E10000018,Leicestershire,E07000129,Blaby,"21,898","7,109","6,208","7,094","7,093","6,681","6,813","7,618","7,413","6,529","5,462","5,797","4,270","5,680","83,767","86,067"
E10000007,Derbyshire,E07000033,Bolsover,"16,218","5,991","5,576","5,735","5,317","4,632","5,407","6,679","6,288","5,375","4,491","4,432","3,482","3,859","67,264","68,915"
E10000019,Lincolnshire,E07000136,Boston,"16,297","6,251","5,677","6,366","5,992","5,298","5,345","5,508","5,439","4,729","4,069","4,025","2,931","3,916","65,546","67,250"
E10000024,Nottinghamshire,E07000172,Broxtowe,"21,712","9,976","8,420","8,955","8,382","7,464","7,284","8,348","8,290","7,098","6,223","6,864","4,963","6,482","98,749","100,922"
E10000018,Leicestershire,E07000130,Charnwood,"35,808","23,423","13,756","13,520","12,762","11,491","11,542","12,802","12,251","10,828","9,525","9,442","6,931","8,950","157,223","161,166"
E10000007,Derbyshire,E07000034,Chesterfield,"20,156","7,533","6,822","6,910","6,633","6,415","6,961","7,964","8,204","7,093","6,124","6,092","4,522","5,705","86,978","89,107"
E06000015,Derby,E06000015,Derby,"62,815","26,851","21,416","21,873","21,507","19,382","18,560","18,695","17,523","14,250","11,796","11,376","8,244","12,155","223,628","230,297"
E10000007,Derbyshire,E07000035,Derbyshire Dales,"12,343","4,818","3,364","3,491","3,479","3,896","4,815","6,067","6,538","5,812","5,205","5,575","4,151","5,163","62,374","63,999"
E10000019,Lincolnshire,E07000137,East Lindsey,"24,652","9,194","7,326","7,803","7,187","6,944","8,189","10,724","12,116","11,846","11,427","12,464","9,249","10,683","125,152","127,980"
E10000007,Derbyshire,E07000036,Erewash,"22,618","8,339","7,343","8,032","7,385","7,060","7,834","9,056","8,853","7,278","6,235","6,485","4,849","6,097","94,846","97,359"
E10000024,Nottinghamshire,E07000173,Gedling,"24,081","8,018","7,268","8,175","7,860","7,831","7,955","9,078","8,942","7,608","6,756","7,040","4,969","6,802","98,302","100,823"
E10000018,Leicestershire,E07000131,Harborough,"19,586","6,810","5,109","5,576","5,758","5,955","6,855","7,732","7,599","6,441","5,625","5,897","4,398","5,536","79,291","81,654"
E10000007,Derbyshire,E07000037,High Peak,"17,663","6,667","5,433","6,014","5,760","5,605","6,198","7,650","7,933","6,903","5,665","5,648","4,013","4,747","78,236","80,235"
E10000018,Leicestershire,E07000132,Hinckley and Bosworth,"22,697","7,649","6,785","7,591","7,529","7,135","7,693","8,777","8,512","7,501","6,776","7,208","5,226","6,335","94,717","97,169"
E06000016,Leicester,E06000016,Leicester,"92,750","50,754","36,291","34,674","33,891","29,599","25,868","24,193","21,502","18,782","14,987","11,810","7,598","11,160","321,109","330,980"
E10000019,Lincolnshire,E07000138,Lincoln,"19,479","16,187","9,124","8,646","7,532","6,577","6,090","6,375","6,392","5,282","4,287","4,121","2,876","4,127","87,616","89,640"
E10000024,Nottinghamshire,E07000174,Mansfield,"23,794","8,008","7,894","8,746","8,401","7,112","7,245","8,330","8,453","7,242","6,071","5,791","4,364","5,294","92,951","95,297"
E10000018,Leicestershire,E07000133,Melton,"10,019","3,426","2,851","3,048","2,918","3,097","3,322","4,226","4,461","3,698","3,327","3,461","2,451","3,010","43,296","44,366"
E10000024,Nottinghamshire,E07000175,Newark and Sherwood,"24,898","9,022","7,765","8,259","7,863","7,435","8,163","9,608","9,681","8,514","7,371","7,779","5,702","7,023","104,185","106,914"
E10000007,Derbyshire,E07000038,North East Derbyshire,"19,250","6,832","5,984","6,053","5,896","5,814","6,518","7,917","7,934","7,244","6,514","6,884","5,479","6,431","85,500","87,670"
E10000019,Lincolnshire,E07000139,North Kesteven,"23,178","8,661","7,125","7,524","7,319","6,839","7,720","9,101","9,305","7,790","6,800","7,602","5,848","7,347","98,981","101,570"
E06000061,North Northamptonshire,E06000061,North Northamptonshire,"82,636","27,005","23,831","27,184","26,888","25,208","25,430","27,821","26,129","21,489","18,567","18,678","13,231","15,846","297,307","306,296"
E10000018,Leicestershire,E07000134,North West Leicestershire,"21,326","7,729","6,315","6,885","6,770","6,492","7,327","8,262","7,799","6,547","5,765","6,086","4,369","4,907","85,253","87,632"
E06000018,Nottingham,E06000018,Nottingham,"73,261","63,655","34,866","33,909","28,513","22,930","20,374","20,112","18,786","15,014","11,568","10,151","7,067","10,381","297,326","304,629"
E10000018,Leicestershire,E07000135,Oadby and Wigston,"12,462","5,535","3,798","3,899","3,849","3,820","3,735","4,087","4,124","3,691","3,062","3,112","2,401","3,889","49,002","50,392"
E10000024,Nottinghamshire,E07000176,Rushcliffe,"24,750","9,467","6,823","7,424","7,875","8,254","8,272","8,994","8,837","7,446","6,554","6,925","5,167","7,155","99,193","101,914"
E06000017,Rutland,E06000017,Rutland,"8,197","3,371","2,297","2,465","2,442","2,419","2,534","3,023","2,960","2,749","2,522","2,849","2,142","2,861","34,634","36,010"
E10000007,Derbyshire,E07000039,South Derbyshire,"23,323","7,935","7,003","7,500","7,270","6,989","7,572","8,664","8,045","6,546","5,829","5,678","4,031","4,636","87,698","90,231"
E10000019,Lincolnshire,E07000140,South Holland,"18,949","6,834","5,965","6,521","6,250","5,850","6,351","7,236","7,460","6,401","5,780","6,308","4,546","6,185","81,687","83,542"
E10000019,Lincolnshire,E07000141,South Kesteven,"29,522","9,932","8,093","8,674","8,775","8,943","9,985","11,208","11,307","9,932","8,764","9,227","6,918","8,463","120,221","123,531"
