UTLA Code,UTLA Name,LTLA Code,LTLA Name,Under 18,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,18+,16+
E10000019,Lincolnshire,E07000142,West Lindsey,"18,718","6,305","5,131","5,473","5,408","5,181","5,950","7,309","7,779","7,065","6,428","6,754","5,080","5,840","79,703","81,836"
E06000062,West Northamptonshire,E06000062,West Northamptonshire,"96,494","35,506","30,858","34,885","33,691","31,602","31,308","32,623","30,954","25,098","20,769","21,140","14,655","18,183","361,272","371,344"
E10000029,Suffolk,E07000200,Babergh,"17,476","6,270","4,582","5,071","4,949","5,333","5,969","7,217","7,312","6,397","6,044","6,793","5,153","6,523","77,613","79,829"
E10000012,Essex,E07000066,Basildon,"46,032","14,899","13,081","15,076","14,702","13,252","12,894","13,844","12,945","10,963","8,707","9,069","6,257","8,537","154,226","158,856"
E06000055,Bedford,E06000055,Bedford,"43,359","15,136","13,292","15,115","14,900","14,243","13,341","13,834","12,860","10,528","8,689","8,590","5,953","8,497","154,978","159,563"
E10000012,Essex,E07000067,Braintree,"32,654","11,091","9,230","10,217","10,024","9,770","10,729","12,060","11,242","9,479","8,460","9,002","6,341","7,814","125,459","128,992"
E10000020,Norfolk,E07000143,Breckland,"27,394","10,382","9,081","9,666","8,832","8,431","9,042","10,552","11,009","9,643","8,974","9,797","7,259","9,381","122,049","124,943"
E10000012,Essex,E07000068,Brentwood,"16,691","5,717","5,050","5,575","5,517","5,449","5,420","5,882","5,937","4,761","3,901","4,052","3,001","4,769","65,031","66,921"
E10000020,Norfolk,E07000144,Broadland,"24,508","8,730","6,879","7,642","7,678","7,873","8,888","10,181","10,236","8,982","8,331","9,270","6,919","9,621","111,230","114,019"
E10000015,Hertfordshire,E07000095,Broxbourne,"22,631","7,974","6,647","7,543","7,711","7,267","7,031","7,636","7,142","5,810","4,484","4,648","3,484","5,070","82,447","84,789"
E10000003,Cambridgeshire,E07000008,Cambridge,"26,596","30,781","24,276","22,189","16,678","12,795","9,969","8,840","7,712","6,025","5,097","4,459","3,266","4,828","156,915","160,186"
E10000012,Essex,E07000069,Castle Point,"17,972","6,809","5,370","5,640","5,519","5,279","5,706","6,808","6,790","5,968","5,446","6,550","4,924","6,075","76,884","78,965"
E06000056,Central Bedfordshire,E06000056,Central Bedfordshire,"65,589","21,185","19,008","22,105","21,991","20,518","20,214","21,789","21,763","18,051","14,773","14,900","10,710","13,159","240,166","246,604"
E10000012,Essex,E07000070,Chelmsford,"39,256","13,726","12,663","13,780","13,565","13,050","13,118","13,508","12,588","10,533","9,053","9,798","7,044","9,670","152,096","156,307"
E10000012,Essex,E07000071,Colchester,"42,211","22,302","15,976","15,864","14,625","13,748","13,273","13,615","12,606","10,383","8,899","9,869","7,057","8,989","167,206","171,514"
E10000015,Hertfordshire,E07000096,Dacorum,"35,922","11,437","10,095","11,999","12,376","12,161","11,692","11,631","11,415","9,606","7,611","7,230","5,148","7,585","129,986","133,621"
E10000003,Cambridgeshire,E07000009,East Cambridgeshire,"18,990","7,011","6,291","6,847","6,922","6,755","6,893","6,948","6,613","5,633","4,908","5,118","3,655","4,930","78,524","80,619"
E10000015,Hertfordshire,E07000242,East Hertfordshire,"33,867","11,682","9,913","10,602","10,742","11,069","11,730","12,099","11,522","9,305","7,453","7,670","5,317","7,527","126,631","130,597"
E10000029,Suffolk,E07000244,East Suffolk,"46,538","17,435","13,379","14,366","13,894","13,884","15,596","18,505","19,395","18,234","16,937","18,903","14,076","18,807","213,411","219,004"
E10000012,Essex,E07000072,Epping Forest,"29,202","10,244","8,644","9,755","9,826","9,738","9,532","10,541","10,345","8,520","7,018","7,197","5,275","7,418","114,053","117,148"
E10000003,Cambridgeshire,E07000010,Fenland,"21,154","7,957","7,046","7,571","7,142","6,547","6,864","7,943","8,006","7,032","6,391","6,443","4,787","6,174","89,903","92,113"
E10000020,Norfolk,E07000145,Great Yarmouth,"20,708","8,015","6,879","7,120","6,595","6,214","6,650","7,751","7,900","7,022","6,412","6,792","5,052","6,183","88,585","90,922"
E10000012,Essex,E07000073,Harlow,"23,385","7,352","6,741","8,377","8,257","7,272","6,235","6,484","6,248","5,266","4,192","3,536","2,479","3,766","76,205","78,465"
E10000015,Hertfordshire,E07000098,Hertsmere,"25,516","8,914","7,375","8,059","8,769","8,863","8,332","8,293","8,160","6,497","5,236","5,216","3,840","5,810","93,364","96,239"
E10000003,Cambridgeshire,E07000011,Huntingdonshire,"37,893","13,211","11,726","13,631","13,372","12,656","13,122","14,211","13,904","11,815","10,017","10,515","7,637","9,256","155,073","159,099"
E10000029,Suffolk,E07000202,Ipswich,"33,925","11,957","11,092","12,808","12,562","11,303","10,100","9,999","9,273","7,757","6,546","6,151","4,315","6,453","120,316","123,959"
E10000020,Norfolk,E07000146,King's Lynn and West Norfolk,"29,002","10,863","9,491","10,224","9,461","8,757","9,785","11,180","11,944","10,800","10,030","10,848","8,275","10,851","132,509","135,555"
E06000032,Luton,E06000032,Luton,"63,645","23,270","19,564","21,682","21,412","19,407","16,160","15,341","13,762","10,938","8,396","6,858","5,061","7,714","189,565","196,162"
E10000012,Essex,E07000074,Maldon,"12,416","4,766","3,541","3,631","3,559","3,595","4,342","5,470","5,438","4,942","4,307","4,762","3,484","4,235","56,072","57,541"
E10000029,Suffolk,E07000203,Mid Suffolk,"19,113","7,231","5,764","6,130","5,926","5,790","6,696","7,855","8,315","7,421","6,857","7,335","5,255","6,633","87,208","89,547"
E10000015,Hertfordshire,E07000099,North Hertfordshire,"29,326","9,261","8,193","9,420","9,857","10,088","10,136","10,028","9,929","8,080","6,698","6,880","5,078","7,528","111,176","114,311"
E10000020,Norfolk,E07000147,North Norfolk,"16,258","6,346","4,924","5,041","4,942","4,829","5,870","7,353","8,320","8,712","8,427","9,543","7,069","9,553","90,929","92,929"
E10000020,Norfolk,E07000148,Norwich,"27,489","22,929","15,654","14,346","12,726","10,576","9,439","9,157","8,309","6,894","6,128","5,848","4,172","5,892","132,070","134,824"
E06000031,Peterborough,E06000031,Peterborough,"59,069","19,393","18,797","21,738","21,480","18,618","16,212","15,432","13,898","11,551","9,366","8,475","5,826","8,322","189,108","194,962"
E10000012,Essex,E07000075,Rochford,"17,377","6,429","5,109","5,320","5,221","5,335","5,850","6,859","6,714","5,700","4,884","5,653","4,176","5,575","72,825","74,836"
E10000003,Cambridgeshire,E07000012,South Cambridgeshire,"37,626","11,663","9,791","11,489","12,313","13,007","12,797","12,583","11,912","9,814","8,472","8,758","6,543","8,851","137,993","142,085"
E10000020,Norfolk,E07000149,South Norfolk,"28,697","9,298","7,794","8,611","8,959","8,724","9,576","10,410","10,756","9,493","8,603","9,536","7,187","9,367","118,314","121,509"
E06000033,Southend-on-Sea,E06000033,Southend-on-Sea,"40,386","14,103","12,051","13,248","13,792","13,375","13,308","13,540","13,381","11,063","9,264","9,521","6,994","9,816","153,456","157,562"
E10000015,Hertfordshire,E07000240,St Albans,"37,745","10,524","8,994","10,308","11,554","13,128","13,136","12,375","10,879","8,568","6,812","6,799","5,056","7,643","125,776","129,914"
E10000015,Hertfordshire,E07000243,Stevenage,"20,953","7,047","6,775","8,077","7,572","6,633","6,035","6,660","6,675","5,313","3,912","3,554","2,582","3,796","74,631","76,721"
E10000012,Essex,E07000076,Tendring,"27,806","10,140","7,866","8,390","7,427","7,562","8,614","10,634","11,532","11,121","10,564","12,248","9,290","12,063","127,451","130,517"
E10000015,Hertfordshire,E07000102,Three Rivers,"21,864","7,299","5,681","6,375","7,124","7,758","7,671","7,679","7,325","5,808","4,680","4,662","3,387","4,968","80,417","82,902"
E06000034,Thurrock,E06000034,Thurrock,"46,081","14,178","12,231","14,795","14,882","13,360","12,469","12,498","11,194","8,782","7,005","7,011","4,525","5,887","138,817","143,372"
E10000012,Essex,E07000077,Uttlesford,"20,627","6,596","5,132","5,718","6,216","6,386","6,571","7,357","7,104","5,967","4,940","5,079","3,747","4,931","75,744","78,013"
E10000015,Hertfordshire,E07000103,Watford,"24,950","8,362","8,737","10,391","10,436","9,754","8,313","7,583","6,458","5,092","3,890","3,446","2,549","3,651","88,662","91,149"
E10000015,Hertfordshire,E07000241,Welwyn Hatfield,"25,975","14,596","10,397","9,839","9,647","9,019","8,074","8,275","8,065","6,655","5,119","4,790","3,578","5,702","103,756","106,463"
E10000029,Suffolk,E07000245,West Suffolk,"34,215","12,380","11,287","12,695","12,145","11,606","11,688","12,901","12,590","10,673","9,427","10,345","7,829","10,276","145,842","149,684"
E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,"68,843","21,041","17,911","21,856","22,080","19,811","17,083","15,496","12,762","9,604","6,668","5,167","3,516","5,255","178,250","184,950"
E09000003,Barnet,E09000003,Barnet,"97,186","35,743","35,548","39,313","38,746","36,568","31,788","28,843","25,397","21,077","17,063","15,577","11,167","16,544","353,374","363,373"
E09000004,Bexley,E09000004,Bexley,"58,381","19,762","16,375","18,805","19,078","18,170","16,980","17,990","17,419","14,220","11,091","10,801","7,972","11,937","200,600","206,649"
E09000005,Brent,E09000005,Brent,"85,254","39,619","40,231","44,719","41,779","35,979","30,046","27,829","24,009","19,319","14,055","10,717","7,666","11,237","347,205","356,310"
E09000006,Bromley,E09000006,Bromley,"76,278","23,921","21,004","25,440","27,651","27,586","25,787","25,771","24,128","19,355","15,309","16,032","11,552","17,303","280,839","288,826"
E09000007,Camden,E09000007,Camden,"43,092","38,594","35,846","34,954","28,580","22,878","19,098","16,801","14,172","11,021","8,326","7,382","5,312","6,737","249,701","254,571"
E09000001,City of London,E09000001,City of London,736,"1,196","1,593","1,420","1,128",733,704,670,617,493,385,352,233,291,"9,815","9,879"
E09000008,Croydon,E09000008,Croydon,"98,201","35,824","32,812","38,557","38,089","34,305","30,380","30,521","28,879","22,580","16,743","14,704","10,287","15,111","348,792","359,464"
E09000009,Ealing,E09000009,Ealing,"91,798","38,491","37,497","43,939","43,316","39,997","33,722","29,759","25,552","20,052","15,378","12,510","8,586","12,310","361,109","370,734"
E09000010,Enfield,E09000010,Enfield,"88,586","30,986","25,778","28,851","29,275","28,728","25,963","25,388","23,259","18,728","13,934","11,939","8,658","13,196","284,683","294,416"
E09000011,Greenwich,E09000011,Greenwich,"70,724","27,444","28,146","33,271","31,125","26,984","22,064","20,640","17,644","13,684","10,123","8,513","5,869","7,435","252,942","259,587"
E09000012,Hackney,E09000012,Hackney,"64,507","28,398","39,847","45,276","35,437","26,442","20,195","18,123","16,148","11,893","8,112","6,035","3,814","5,104","264,824","271,250"
E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham,"37,761","23,501","32,348","32,574","26,962","21,083","17,003","14,973","12,472","9,112","6,780","5,827","4,051","5,328","212,014","215,912"
E09000014,Haringey,E09000014,Haringey,"62,020","26,863","31,953","36,654","32,882","28,182","24,195","22,216","19,172","14,014","10,048","7,836","5,289","7,292","266,596","273,257"
E09000015,Harrow,E09000015,Harrow,"65,872","24,518","23,395","26,677","26,875","24,368","19,955","18,556","17,289","15,142","12,481","10,592","7,762","11,820","239,430","246,396"
E09000016,Havering,E09000016,Havering,"60,365","20,592","18,162","20,550","20,525","18,524","17,193","18,209","17,840","15,528","12,293","12,520","8,917","13,400","214,253","220,448"
E09000017,Hillingdon,E09000017,Hillingdon,"77,543","31,336","26,403","29,804","30,738","28,231","23,885","22,753","20,656","16,493","12,771","11,122","7,827","12,254","274,273","282,074"
E09000018,Hounslow,E09000018,Hounslow,"75,199","27,120","26,664","34,555","36,346","31,722","25,357","22,036","18,905","15,190","11,828","9,699","6,581","8,811","274,814","282,166"
E09000019,Islington,E09000019,Islington,"40,326","29,762","39,531","41,335","29,811","21,121","16,224","15,198","13,690","10,036","7,236","6,034","3,975","5,223","239,176","243,042"
E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea,"28,727","18,064","19,430","20,260","18,274","16,619","15,731","14,667","13,218","9,775","7,337","6,579","4,754","6,036","170,744","173,918"
E09000021,Kingston upon Thames,E09000021,Kingston upon Thames,"40,382","17,588","16,298","16,086","16,335","16,477","15,227","13,586","11,669","9,225","7,362","7,019","4,819","6,668","158,359","162,608"
E09000022,Lambeth,E09000022,Lambeth,"62,403","38,204","55,767","53,041","40,135","32,517","26,812","25,225","22,286","16,005","10,704","7,929","5,183","7,507","341,315","347,946"
E09000023,Lewisham,E09000023,Lewisham,"70,318","27,962","32,507","37,585","34,368","29,263","24,242","22,868","20,873","15,084","10,099","7,773","5,482","7,979","276,085","283,012"
E09000024,Merton,E09000024,Merton,"53,478","18,271","21,020","24,845","25,344","23,652","19,624","17,311","14,791","11,719","8,863","7,643","5,202","7,877","206,162","211,538"
E09000025,Newham,E09000025,Newham,"95,473","44,300","48,545","54,012","47,325","36,874","28,684","24,896","20,003","15,414","10,570","7,090","4,421","6,158","348,292","357,776"
E09000026,Redbridge,E09000026,Redbridge,"84,647","29,333","26,442","32,330","33,233","29,247","23,768","21,402","18,693","15,640","12,237","10,329","7,021","10,640","270,315","278,969"
E09000027,Richmond upon Thames,E09000027,Richmond upon Thames,"48,818","15,589","13,564","15,552","17,902","20,478","19,852","17,974","15,706","11,801","9,285","9,268","6,479","8,429","181,879","186,971"
E09000028,Southwark,E09000028,Southwark,"64,091","37,840","48,069","47,842","38,082","30,365","25,654","24,251","21,352","15,624","9,894","7,491","4,888","6,832","318,184","324,596"
E09000029,Sutton,E09000029,Sutton,"51,210","15,614","13,925","16,307","18,239","18,672","16,517","15,706","14,487","11,262","9,050","8,644","6,083","8,891","173,397","178,594"
E09000030,Tower Hamlets,E09000030,Tower Hamlets,"69,593","45,293","59,334","58,440","43,274","30,181","20,908","16,106","12,423","9,809","6,924","4,787","3,085","4,608","315,172","321,980"
E09000031,Waltham Forest,E09000031,Waltham Forest,"69,788","24,766","27,342","35,397","33,784","28,284","23,172","21,081","17,771","13,605","9,823","7,738","5,437","7,731","255,931","262,730"
E09000032,Wandsworth,E09000032,Wandsworth,"68,752","33,254","56,224","54,738","44,908","36,903","28,812","23,706","19,586","14,289","10,421","9,317","6,221","8,719","347,098","353,273"
E09000033,Westminster,E09000033,Westminster,"38,783","30,408","34,270","34,818","29,398","24,630","21,469","19,331","16,704","12,566","9,154","7,758","5,553","7,185","253,244","257,490"
E06000047,County Durham,E06000047,County Durham,"102,653","52,762","35,268","35,186","33,836","31,634","33,427","39,632","40,774","36,037","31,477","30,891","21,764","27,404","450,092","461,602"
E06000005,Darlington,E06000005,Darlington,"23,109","8,290","6,914","7,556","7,269","7,169","7,390","8,257","8,185","7,258","6,120","6,097","4,214","5,911","90,630","93,279"
E08000037,Gateshead,E08000037,Gateshead,"39,597","16,761","14,332","14,791","14,392","12,976","12,904","14,524","14,768","12,970","10,826","10,830","7,424","10,937","168,435","172,838"
E06000001,Hartlepool,E06000001,Hartlepool,"20,430","7,648","6,189","6,593","6,210","5,613","5,825","6,970","7,420","6,486","5,378","5,163","3,273","4,673","77,441","79,678"
E06000002,Middlesbrough,E06000002,Middlesbrough,"36,860","14,542","12,753","13,082","11,680","9,707","9,193","9,675","10,070","9,183","7,463","6,546","4,336","6,147","124,377","128,137"
E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne,"60,625","46,531","34,970","30,545","25,281","20,420","18,381","18,292","18,539","16,283","13,073","12,060","7,903","12,015","274,293","280,343"
E08000022,North Tyneside,E08000022,North Tyneside,"42,769","14,595","12,910","14,891","15,227","14,507","14,333","15,274","15,733","13,967","12,348","11,895","7,851","10,960","174,491","179,007"
E06000057,Northumberland,E06000057,Northumberland,"59,423","22,196","17,668","18,606","18,768","18,458","20,422","24,007","26,417","25,149","22,801","23,109","15,816","19,895","273,312","280,225"
E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland,"27,917","10,042","8,199","8,779","8,441","7,793","8,501","10,369","11,101","9,808","8,495","8,712","6,296","8,098","114,634","117,724"
E08000023,South Tyneside,E08000023,South Tyneside,"30,749","11,154","10,240","11,468","10,728","9,757","9,830","11,285","11,871","10,870","8,980","8,472","5,596","8,023","128,274","131,571"
E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees,"43,814","15,914","13,533","14,369","14,118","12,703","12,756","14,394","14,536","13,132","10,977","10,379","6,886","9,029","162,726","167,353"
E08000024,Sunderland,E08000024,Sunderland,"55,733","22,625","19,777","20,946","19,456","17,459","18,280","20,956","21,067","19,560","16,402","15,684","10,293","14,306","236,811","242,885"
E10000006,Cumbria,E07000026,Allerdale,"18,185","6,722","5,552","5,627","5,577","5,379","6,132","7,882","7,848","7,268","6,409","6,779","4,573","6,182","81,930","83,966"
E10000006,Cumbria,E07000027,Barrow-in-Furness,"13,433","5,302","4,638","4,710","4,236","3,750","4,328","5,281","5,317","4,561","3,921","4,095","2,995","3,599","56,733","58,223"
E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen,"41,814","14,976","11,377","12,192","12,431","11,204","10,896","11,132","9,950","8,423","6,972","6,326","4,115","5,427","125,421","129,983"
E06000009,Blackpool,E06000009,Blackpool,"30,077","11,447","9,761","10,938","9,981","8,871","9,606","11,513","11,865","9,916","8,030","8,111","5,892","7,789","123,720","127,111"
E08000001,Bolton,E08000001,Bolton,"75,555","26,102","20,536","23,118","22,674","20,422","20,503","21,778","20,338","16,917","14,245","14,461","10,173","12,496","243,763","251,867"
E10000017,Lancashire,E07000117,Burnley,"22,405","7,564","6,586","7,189","6,750","6,046","6,095","6,661","6,575","5,752","4,773","4,860","3,305","3,889","76,045","78,353"
E08000002,Bury,E08000002,Bury,"45,634","15,374","12,981","14,925","14,872","13,288","13,357","14,330","14,200","11,756","9,764","10,189","7,108","9,031","161,175","166,124"
E10000006,Cumbria,E07000028,Carlisle,"21,815","7,858","7,004","7,340","7,332","6,550","7,134","8,095","8,435","7,820","6,522","6,519","4,487","6,265","91,361","93,760"
E06000049,Cheshire East,E06000049,Cheshire East,"80,829","27,412","23,607","26,341","26,581","25,602","27,986","31,500","31,805","26,639","22,924","24,682","18,207","24,107","337,393","346,253"
E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester,"71,719","27,542","22,898","24,538","24,190","22,449","24,309","27,229","27,889","23,592","20,269","20,876","15,079","20,133","300,993","308,837"
E10000017,Lancashire,E07000118,Chorley,"24,525","8,120","6,982","8,075","8,182","7,726","8,310","9,342","8,979","7,552","6,533","6,986","4,945","5,722","97,454","100,092"
E10000006,Cumbria,E07000029,Copeland,"12,803","4,596","4,070","4,199","4,064","3,688","4,247","5,244","5,842","5,190","4,405","4,384","3,026","3,826","56,781","58,165"
E10000006,Cumbria,E07000030,Eden,"9,171","3,449","2,713","2,914","2,878","2,824","3,345","4,317","4,760","4,372","3,855","3,964","2,783","3,634","45,808","46,908"
E10000017,Lancashire,E07000119,Fylde,"14,119","5,236","4,289","4,759","4,920","4,555","5,021","6,339","6,990","6,483","5,622","6,122","4,737","6,342","71,415","73,093"
E06000006,Halton,E06000006,Halton,"29,103","10,483","8,914","9,643","9,545","8,673","9,039","9,728","9,681","8,467","7,447","7,209","4,335","5,254","108,418","111,546"
E10000017,Lancashire,E07000120,Hyndburn,"19,473","6,819","5,729","6,127","5,709","5,109","5,403","6,189","5,803","4,960","4,141","4,286","3,007","3,629","66,911","69,035"
E08000011,Knowsley,E08000011,Knowsley,"35,717","13,189","11,744","13,135","11,704","9,667","9,845","11,606","12,650","11,101","8,517","7,047","4,450","6,602","131,257","134,868"
E10000017,Lancashire,E07000121,Lancaster,"27,934","21,775","11,977","10,255","9,860","8,818","8,794","10,147","10,538","9,341","8,080","8,182","5,830","7,833","131,430","134,418"
E08000012,Liverpool,E08000012,Liverpool,"103,678","68,416","50,759","47,731","41,970","34,623","31,371","33,181","34,217","29,978","23,736","20,662","13,462","18,620","448,726","459,121"
E08000003,Manchester,E08000003,Manchester,"141,993","85,321","70,883","64,100","56,703","47,633","39,749","36,904","31,449","25,081","18,370","14,834","9,768","13,160","513,955","528,303"
E08000004,Oldham,E08000004,Oldham,"63,703","21,792","16,847","18,680","18,057","16,645","16,097","17,229","15,967","13,295","11,253","10,846","7,692","9,525","193,925","200,815"
E10000017,Lancashire,E07000122,Pendle,"24,402","7,959","6,416","7,372","7,276","6,456","6,317","6,682","6,466","5,862","5,001","5,059","3,325","4,185","78,376","80,879"
E10000017,Lancashire,E07000123,Preston,"35,194","18,478","13,805","12,992","11,751","10,559","10,068","10,318","9,895","8,185","6,401","5,833","4,078","5,853","128,216","131,868"
E10000017,Lancashire,E07000124,Ribble Valley,"11,883","4,565","3,162","3,525","3,479","3,505","4,109","5,151","5,363","4,727","3,876","4,112","3,030","3,927","52,531","54,047"
E08000005,Rochdale,E08000005,Rochdale,"57,742","19,035","15,728","18,043","17,418","15,825","15,330","16,404","15,503","13,276","11,256","10,572","7,083","8,767","184,240","190,210"
E10000017,Lancashire,E07000125,Rossendale,"15,729","5,227","4,455","4,950","4,754","4,612","4,964","5,697","5,529","4,587","3,947","3,979","2,599","3,074","58,374","60,026"
E08000006,Salford,E08000006,Salford,"62,867","28,495","29,199","28,548","24,412","19,350","16,955","17,233","16,251","13,525","10,228","10,286","7,055","9,382","230,919","236,840"
E08000014,Sefton,E08000014,Sefton,"54,722","20,395","16,837","19,165","18,496","16,734","17,734","20,916","22,611","20,355","17,141","16,659","12,376","18,423","237,842","243,979"
E10000006,Cumbria,E07000031,South Lakeland,"17,588","7,105","5,676","5,976","5,987","5,847","6,692","8,246","8,961","8,244","7,270","8,034","5,916","7,906","91,860","94,257"
E10000017,Lancashire,E07000126,South Ribble,"22,709","7,954","6,535","7,468","7,112","6,949","7,721","8,668","8,836","7,271","6,453","6,805","4,763","6,068","92,603","95,104"
