,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 50,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000007,London,E09000009,Ealing," 33,606 "," 13,551 "," 16,194 "," 14,461 "," 11,953 "," 10,356 "," 7,307 "," 10,571 "
,E12000007,London,E09000010,Enfield," 36,146 "," 15,932 "," 16,648 "," 14,285 "," 11,273 "," 10,082 "," 7,417 "," 11,491 "
,E12000007,London,E09000011,Greenwich," 29,146 "," 10,959 "," 11,300 "," 10,188 "," 8,184 "," 7,361 "," 5,159 "," 6,655 "
,E12000007,London,E09000012,Hackney," 23,323 "," 8,475 "," 8,686 "," 7,502 "," 5,925 "," 4,680 "," 2,995 "," 3,953 "
,E12000007,London,E09000013,Hammersmith and Fulham," 17,507 "," 6,993 "," 7,448 "," 5,803 "," 4,776 "," 4,430 "," 3,118 "," 4,217 "
,E12000007,London,E09000014,Haringey," 20,989 "," 11,385 "," 11,305 "," 9,302 "," 7,426 "," 6,295 "," 4,281 "," 5,879 "
,E12000007,London,E09000015,Harrow," 32,420 "," 11,235 "," 12,401 "," 12,047 "," 10,513 "," 9,173 "," 6,893 "," 10,649 "
,E12000007,London,E09000016,Havering," 22,803 "," 10,200 "," 13,091 "," 13,037 "," 10,887 "," 11,535 "," 8,352 "," 12,715 "
,E12000007,London,E09000017,Hillingdon," 32,754 "," 14,324 "," 15,401 "," 13,304 "," 10,825 "," 9,834 "," 7,098 "," 11,077 "
,E12000007,London,E09000018,Hounslow," 28,163 "," 11,512 "," 12,292 "," 11,399 "," 9,443 "," 8,206 "," 5,640 "," 7,713 "
,E12000007,London,E09000019,Islington," 20,960 "," 6,809 "," 8,317 "," 7,053 "," 5,588 "," 4,923 "," 3,315 "," 4,328 "
,E12000007,London,E09000020,Kensington and Chelsea," 10,956 "," 5,957 "," 6,922 "," 5,719 "," 4,770 "," 4,607 "," 3,538 "," 4,660 "
,E12000007,London,E09000021,Kingston upon Thames," 16,255 "," 8,129 "," 7,908 "," 7,399 "," 6,306 "," 6,276 "," 4,361 "," 6,132 "
,E12000007,London,E09000022,Lambeth," 33,352 "," 12,819 "," 13,004 "," 10,429 "," 7,519 "," 6,029 "," 4,005 "," 5,861 "
,E12000007,London,E09000023,Lewisham," 27,569 "," 11,973 "," 12,239 "," 10,355 "," 7,525 "," 6,178 "," 4,453 "," 6,560 "
,E12000007,London,E09000024,Merton," 21,216 "," 10,098 "," 9,686 "," 8,762 "," 7,140 "," 6,447 "," 4,393 "," 6,795 "
,E12000007,London,E09000025,Newham," 35,049 "," 9,914 "," 10,875 "," 9,717 "," 7,587 "," 5,519 "," 3,488 "," 4,919 "
,E12000007,London,E09000026,Redbridge," 29,808 "," 9,939 "," 12,133 "," 11,861 "," 10,072 "," 8,897 "," 6,185 "," 9,588 "
,E12000007,London,E09000027,Richmond upon Thames," 15,072 "," 9,063 "," 10,169 "," 9,231 "," 7,846 "," 8,253 "," 5,905 "," 7,818 "
,E12000007,London,E09000028,Southwark," 30,290 "," 11,848 "," 12,766 "," 10,346 "," 7,210 "," 5,879 "," 3,828 "," 5,449 "
,E12000007,London,E09000029,Sutton," 21,583 "," 7,721 "," 10,872 "," 9,318 "," 7,948 "," 7,943 "," 5,646 "," 8,445 "
,E12000007,London,E09000030,Tower Hamlets," 31,189 "," 7,654 "," 7,814 "," 6,889 "," 5,173 "," 3,854 "," 2,505 "," 3,901 "
,E12000007,London,E09000031,Waltham Forest," 22,173 "," 9,279 "," 10,275 "," 9,342 "," 7,401 "," 6,370 "," 4,543 "," 6,473 "
,E12000007,London,E09000032,Wandsworth," 35,607 "," 12,866 "," 12,494 "," 10,247 "," 7,990 "," 7,615 "," 5,164 "," 7,381 "
,E12000007,London,E09000033,Westminster," 19,156 "," 8,167 "," 8,915 "," 7,422 "," 5,890 "," 5,351 "," 4,127 "," 5,556 "
,E12000001,North East,E06000047,County Durham," 49,783 "," 25,466 "," 31,197 "," 31,298 "," 29,534 "," 29,916 "," 21,318 "," 27,300 "
,E12000001,North East,E06000005,Darlington," 9,388 "," 4,776 "," 4,723 "," 5,456 "," 5,572 "," 5,772 "," 4,074 "," 5,801 "
,E12000001,North East,E08000037,Gateshead," 19,562 "," 8,057 "," 10,246 "," 10,414 "," 10,003 "," 10,416 "," 7,227 "," 10,766 "
,E12000001,North East,E06000001,Hartlepool," 9,034 "," 3,186 "," 4,873 "," 5,607 "," 4,971 "," 4,919 "," 3,181 "," 4,564 "
,E12000001,North East,E06000002,Middlesbrough," 14,517 "," 4,770 "," 6,419 "," 7,097 "," 6,624 "," 6,095 "," 4,144 "," 5,914 "
,E12000001,North East,E08000021,Newcastle upon Tyne," 28,897 "," 8,503 "," 10,580 "," 11,840 "," 11,641 "," 11,318 "," 7,568 "," 11,642 "
,E12000001,North East,E08000022,North Tyneside," 19,646 "," 6,576 "," 9,606 "," 10,604 "," 11,452 "," 11,396 "," 7,675 "," 10,880 "
,E12000001,North East,E06000057,Northumberland," 26,999 "," 10,248 "," 15,622 "," 18,969 "," 21,265 "," 22,337 "," 15,514 "," 19,781 "
,E12000001,North East,E06000003,Redcar and Cleveland," 13,338 "," 4,492 "," 6,808 "," 7,562 "," 7,823 "," 8,374 "," 6,177 "," 8,023 "
,E12000001,North East,E08000023,South Tyneside," 14,489 "," 6,433 "," 8,264 "," 8,999 "," 8,339 "," 8,106 "," 5,417 "," 7,886 "
,E12000001,North East,E06000004,Stockton-on-Tees," 19,178 "," 6,684 "," 9,216 "," 10,886 "," 10,145 "," 9,945 "," 6,712 "," 8,939 "
,E12000001,North East,E08000024,Sunderland," 27,972 "," 11,063 "," 13,654 "," 15,635 "," 15,327 "," 15,042 "," 10,067 "," 14,140 "
,E12000002,North West,E07000026,Allerdale," 9,228 "," 4,936 "," 5,591 "," 6,293 "," 6,130 "," 6,566 "," 4,496 "," 6,164 "
,E12000002,North West,E07000027,Barrow-in-Furness," 6,342 "," 2,669 "," 3,239 "," 3,918 "," 3,674 "," 3,950 "," 2,910 "," 3,605 "
,E12000002,North West,E06000008,Blackburn with Darwen," 14,721 "," 5,397 "," 6,961 "," 7,022 "," 6,075 "," 5,814 "," 3,870 "," 5,177 "
,E12000002,North West,E06000009,Blackpool," 18,713 "," 8,150 "," 9,114 "," 8,489 "," 7,109 "," 7,461 "," 5,599 "," 7,508 "
,E12000002,North West,E08000001,Bolton," 27,516 "," 14,236 "," 14,994 "," 14,206 "," 12,861 "," 13,507 "," 9,698 "," 12,103 "
,E12000002,North West,E07000117,Burnley," 6,931 "," 2,625 "," 3,605 "," 4,632 "," 4,163 "," 4,540 "," 3,140 "," 3,781 "
,E12000002,North West,E08000002,Bury," 20,737 "," 10,188 "," 10,753 "," 10,096 "," 8,833 "," 9,565 "," 6,777 "," 8,715 "
,E12000002,North West,E07000028,Carlisle," 9,995 "," 4,486 "," 5,808 "," 6,452 "," 6,112 "," 6,284 "," 4,357 "," 6,182 "
,E12000002,North West,E06000049,Cheshire East," 35,249 "," 16,922 "," 22,129 "," 23,338 "," 21,237 "," 23,588 "," 17,640 "," 23,789 "
,E12000002,North West,E06000050,Cheshire West and Chester," 32,076 "," 13,618 "," 16,819 "," 20,075 "," 18,480 "," 19,900 "," 14,576 "," 19,708 "
,E12000002,North West,E07000118,Chorley," 12,325 "," 5,489 "," 6,711 "," 6,701 "," 6,056 "," 6,697 "," 4,783 "," 5,628 "
,E12000002,North West,E07000029,Copeland," 5,321 "," 2,394 "," 3,746 "," 4,103 "," 4,063 "," 4,217 "," 2,962 "," 3,750 "
,E12000002,North West,E07000030,Eden," 3,316 "," 1,512 "," 2,238 "," 3,048 "," 3,650 "," 3,833 "," 2,722 "," 3,668 "
,E12000002,North West,E07000119,Fylde," 7,799 "," 4,224 "," 5,211 "," 5,745 "," 5,198 "," 5,813 "," 4,562 "," 6,232 "
,E12000002,North West,E06000006,Halton," 13,502 "," 6,093 "," 6,071 "," 7,210 "," 6,811 "," 6,813 "," 4,149 "," 5,106 "
,E12000002,North West,E07000120,Hyndburn," 6,895 "," 2,824 "," 3,544 "," 4,123 "," 3,699 "," 4,003 "," 2,887 "," 3,482 "
,E12000002,North West,E08000011,Knowsley," 17,011 "," 6,269 "," 8,095 "," 9,255 "," 7,704 "," 6,602 "," 4,262 "," 6,386 "
,E12000002,North West,E07000121,Lancaster," 16,515 "," 7,404 "," 8,057 "," 8,208 "," 7,400 "," 7,749 "," 5,620 "," 7,700 "
,E12000002,North West,E08000012,Liverpool," 53,461 "," 18,810 "," 22,897 "," 24,040 "," 20,574 "," 18,911 "," 12,519 "," 17,687 "
,E12000002,North West,E08000003,Manchester," 60,160 "," 19,925 "," 17,980 "," 17,667 "," 14,647 "," 12,773 "," 8,532 "," 11,636 "
,E12000002,North West,E08000004,Oldham," 24,698 "," 10,337 "," 10,927 "," 10,806 "," 9,944 "," 10,141 "," 7,283 "," 9,091 "
,E12000002,North West,E07000122,Pendle," 6,611 "," 2,857 "," 3,725 "," 4,554 "," 4,253 "," 4,666 "," 3,135 "," 4,009 "
,E12000002,North West,E07000123,Preston," 17,131 "," 6,041 "," 6,639 "," 6,782 "," 5,681 "," 5,444 "," 3,867 "," 5,653 "
,E12000002,North West,E07000124,Ribble Valley," 4,878 "," 2,366 "," 3,627 "," 4,146 "," 3,662 "," 3,936 "," 2,964 "," 3,887 "
,E12000002,North West,E08000005,Rochdale," 21,552 "," 10,048 "," 11,038 "," 10,722 "," 9,934 "," 9,766 "," 6,624 "," 8,239 "
,E12000002,North West,E07000125,Rossendale," 6,346 "," 2,508 "," 3,249 "," 3,698 "," 3,496 "," 3,774 "," 2,522 "," 2,997 "
,E12000002,North West,E08000006,Salford," 27,039 "," 11,774 "," 12,588 "," 11,118 "," 8,830 "," 9,388 "," 6,590 "," 9,023 "
,E12000002,North West,E08000014,Sefton," 27,170 "," 14,647 "," 16,198 "," 17,357 "," 15,703 "," 15,673 "," 11,870 "," 18,060 "
,E12000002,North West,E07000031,South Lakeland," 7,993 "," 5,080 "," 5,818 "," 7,239 "," 6,801 "," 7,703 "," 5,775 "," 7,899 "
,E12000002,North West,E07000126,South Ribble," 11,706 "," 5,760 "," 6,900 "," 6,528 "," 6,038 "," 6,555 "," 4,632 "," 5,990 "
,E12000002,North West,E08000013,St. Helens," 22,848 "," 7,995 "," 10,256 "," 10,493 "," 9,429 "," 10,100 "," 7,327 "," 9,166 "
,E12000002,North West,E08000007,Stockport," 29,426 "," 13,512 "," 15,670 "," 15,876 "," 14,568 "," 15,169 "," 11,224 "," 16,364 "
,E12000002,North West,E08000008,Tameside," 23,034 "," 10,742 "," 11,265 "," 11,768 "," 10,141 "," 10,891 "," 7,486 "," 9,071 "
,E12000002,North West,E08000009,Trafford," 26,340 "," 11,127 "," 11,569 "," 11,718 "," 10,257 "," 10,348 "," 7,685 "," 11,486 "
,E12000002,North West,E06000007,Warrington," 20,767 "," 10,459 "," 9,980 "," 11,324 "," 10,150 "," 10,389 "," 7,985 "," 10,261 "
,E12000002,North West,E07000127,West Lancashire," 11,491 "," 4,985 "," 6,767 "," 7,045 "," 6,292 "," 6,840 "," 5,141 "," 6,555 "
,E12000002,North West,E08000010,Wigan," 33,012 "," 17,162 "," 17,211 "," 17,417 "," 15,776 "," 17,577 "," 13,066 "," 14,360 "
,E12000002,North West,E08000015,Wirral," 35,550 "," 15,916 "," 19,585 "," 19,559 "," 17,983 "," 18,370 "," 12,972 "," 18,476 "
,E12000002,North West,E07000128,Wyre," 12,222 "," 5,912 "," 7,473 "," 7,639 "," 7,266 "," 8,112 "," 6,136 "," 8,373 "
,E12000008,South East,E07000223,Adur," 6,136 "," 3,790 "," 3,897 "," 3,630 "," 3,379 "," 3,914 "," 3,001 "," 4,371 "
,E12000008,South East,E07000224,Arun," 12,920 "," 7,138 "," 8,900 "," 9,679 "," 9,946 "," 12,109 "," 9,423 "," 13,420 "
,E12000008,South East,E07000105,Ashford," 12,551 "," 5,216 "," 7,386 "," 6,829 "," 6,250 "," 7,039 "," 5,288 "," 6,513 "
,E12000008,South East,E07000084,Basingstoke and Deane," 16,759 "," 7,492 "," 8,573 "," 9,478 "," 8,104 "," 8,677 "," 6,173 "," 7,914 "
,E12000008,South East,E06000036,Bracknell Forest," 11,184 "," 4,864 "," 6,491 "," 6,233 "," 5,226 "," 4,783 "," 3,412 "," 4,625 "
,E12000008,South East,E06000043,Brighton and Hove," 29,414 "," 11,024 "," 14,692 "," 12,203 "," 10,082 "," 9,713 "," 6,832 "," 10,081 "
,E12000008,South East,E06000060,Buckinghamshire," 47,886 "," 25,690 "," 29,809 "," 29,252 "," 25,466 "," 26,118 "," 19,895 "," 28,323 "
,E12000008,South East,E07000106,Canterbury," 13,957 "," 6,393 "," 8,344 "," 8,238 "," 8,185 "," 9,130 "," 6,726 "," 9,149 "
,E12000008,South East,E07000177,Cherwell," 13,829 "," 8,702 "," 8,976 "," 8,301 "," 7,167 "," 7,367 "," 5,285 "," 7,421 "
,E12000008,South East,E07000225,Chichester," 10,735 "," 6,268 "," 7,588 "," 8,262 "," 7,640 "," 8,480 "," 6,783 "," 9,683 "
