,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 50,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E07000032,Amber Valley," 11,894 "," 7,100 "," 8,332 "," 7,879 "," 7,238 "," 7,951 "," 5,785 "," 6,831 "
,E12000004,East Midlands,E07000170,Ashfield," 15,800 "," 6,967 "," 7,602 "," 6,951 "," 6,271 "," 6,416 "," 5,129 "," 5,929 "
,E12000004,East Midlands,E07000171,Bassetlaw," 10,882 "," 6,390 "," 7,465 "," 7,100 "," 6,516 "," 7,060 "," 5,237 "," 6,442 "
,E12000004,East Midlands,E07000129,Blaby," 10,184 "," 4,191 "," 6,091 "," 5,829 "," 5,122 "," 5,584 "," 4,156 "," 5,579 "
,E12000004,East Midlands,E07000033,Bolsover," 8,929 "," 4,648 "," 4,977 "," 4,832 "," 4,164 "," 4,243 "," 3,399 "," 3,816 "
,E12000004,East Midlands,E07000136,Boston," 6,351 "," 3,126 "," 3,962 "," 3,747 "," 3,530 "," 3,671 "," 2,778 "," 3,829 "
,E12000004,East Midlands,E07000172,Broxtowe," 12,233 "," 5,906 "," 6,659 "," 6,274 "," 5,801 "," 6,601 "," 4,797 "," 6,374 "
,E12000004,East Midlands,E07000130,Charnwood," 16,988 "," 7,028 "," 9,641 "," 9,565 "," 8,813 "," 9,046 "," 6,735 "," 8,821 "
,E12000004,East Midlands,E07000034,Chesterfield," 10,423 "," 5,538 "," 5,852 "," 6,212 "," 5,722 "," 5,802 "," 4,347 "," 5,654 "
,E12000004,East Midlands,E07000150,Corby," 4,891 "," 2,225 "," 3,113 "," 3,286 "," 3,039 "," 2,696 "," 1,961 "," 2,386 "
,E12000004,East Midlands,E07000151,Daventry," 7,676 "," 3,867 "," 5,528 "," 5,224 "," 4,727 "," 5,030 "," 3,564 "," 4,243 "
,E12000004,East Midlands,E06000015,Derby," 26,954 "," 12,716 "," 13,549 "," 11,991 "," 10,469 "," 10,576 "," 7,795 "," 11,707 "
,E12000004,East Midlands,E07000035,Derbyshire Dales," 5,390 "," 3,618 "," 5,159 "," 5,190 "," 4,894 "," 5,405 "," 4,093 "," 5,168 "
,E12000004,East Midlands,E07000137,East Lindsey," 11,153 "," 6,797 "," 9,282 "," 10,205 "," 10,515 "," 11,851 "," 8,951 "," 10,440 "
,E12000004,East Midlands,E07000152,East Northamptonshire," 7,371 "," 4,040 "," 5,482 "," 5,261 "," 4,991 "," 5,503 "," 3,881 "," 4,733 "
,E12000004,East Midlands,E07000036,Erewash," 10,613 "," 7,087 "," 7,498 "," 6,523 "," 5,840 "," 6,243 "," 4,722 "," 6,094 "
,E12000004,East Midlands,E07000173,Gedling," 14,022 "," 6,420 "," 7,271 "," 6,726 "," 6,325 "," 6,720 "," 4,806 "," 6,694 "
,E12000004,East Midlands,E07000131,Harborough," 8,014 "," 4,111 "," 6,418 "," 5,816 "," 5,277 "," 5,649 "," 4,264 "," 5,484 "
,E12000004,East Midlands,E07000037,High Peak," 8,413 "," 4,330 "," 5,698 "," 5,878 "," 5,262 "," 5,443 "," 3,929 "," 4,673 "
,E12000004,East Midlands,E07000132,Hinckley and Bosworth," 10,935 "," 4,487 "," 6,829 "," 6,777 "," 6,381 "," 6,995 "," 5,107 "," 6,276 "
,E12000004,East Midlands,E07000153,Kettering," 10,113 "," 4,586 "," 5,279 "," 5,087 "," 4,783 "," 5,180 "," 3,834 "," 4,648 "
,E12000004,East Midlands,E06000016,Leicester," 37,731 "," 12,797 "," 14,920 "," 14,745 "," 12,716 "," 10,553 "," 6,894 "," 10,256 "
,E12000004,East Midlands,E07000138,Lincoln," 10,329 "," 4,358 "," 4,577 "," 4,402 "," 3,918 "," 3,852 "," 2,748 "," 3,985 "
,E12000004,East Midlands,E07000174,Mansfield," 13,793 "," 5,620 "," 6,706 "," 6,399 "," 5,657 "," 5,517 "," 4,193 "," 5,093 "
,E12000004,East Midlands,E07000133,Melton," 4,163 "," 1,945 "," 3,520 "," 3,320 "," 3,145 "," 3,357 "," 2,405 "," 3,011 "
,E12000004,East Midlands,E07000175,Newark and Sherwood," 13,112 "," 6,832 "," 7,778 "," 7,528 "," 6,878 "," 7,462 "," 5,528 "," 6,865 "
,E12000004,East Midlands,E07000038,North East Derbyshire," 9,311 "," 5,848 "," 6,193 "," 6,485 "," 6,138 "," 6,660 "," 5,351 "," 6,424 "
,E12000004,East Midlands,E07000139,North Kesteven," 10,689 "," 6,550 "," 7,594 "," 7,114 "," 6,423 "," 7,388 "," 5,718 "," 7,313 "
,E12000004,East Midlands,E07000134,North West Leicestershire," 9,301 "," 5,217 "," 6,248 "," 5,852 "," 5,466 "," 5,880 "," 4,242 "," 4,855 "
,E12000004,East Midlands,E07000154,Northampton," 21,331 "," 9,641 "," 10,780 "," 10,299 "," 9,054 "," 9,336 "," 6,481 "," 8,752 "
,E12000004,East Midlands,E06000018,Nottingham," 32,838 "," 11,483 "," 12,625 "," 11,459 "," 9,887 "," 9,141 "," 6,502 "," 9,758 "
,E12000004,East Midlands,E07000135,Oadby and Wigston," 6,364 "," 2,196 "," 3,248 "," 3,223 "," 2,784 "," 2,945 "," 2,321 "," 3,798 "
,E12000004,East Midlands,E07000176,Rushcliffe," 13,779 "," 6,505 "," 7,418 "," 6,789 "," 6,192 "," 6,687 "," 5,027 "," 6,964 "
,E12000004,East Midlands,E06000017,Rutland," 2,636 "," 1,189 "," 2,211 "," 2,424 "," 2,372 "," 2,768 "," 2,087 "," 2,851 "
,E12000004,East Midlands,E07000039,South Derbyshire," 11,195 "," 6,274 "," 6,691 "," 5,959 "," 5,488 "," 5,484 "," 3,932 "," 4,603 "
,E12000004,East Midlands,E07000140,South Holland," 7,508 "," 4,484 "," 5,794 "," 5,420 "," 5,350 "," 6,034 "," 4,456 "," 6,117 "
,E12000004,East Midlands,E07000141,South Kesteven," 11,767 "," 6,331 "," 8,804 "," 8,912 "," 8,220 "," 8,865 "," 6,699 "," 8,372 "
,E12000004,East Midlands,E07000155,South Northamptonshire," 7,319 "," 3,984 "," 5,637 "," 5,827 "," 5,011 "," 5,570 "," 3,964 "," 4,668 "
,E12000004,East Midlands,E07000156,Wellingborough," 6,434 "," 2,854 "," 4,016 "," 4,115 "," 3,965 "," 4,243 "," 3,060 "," 3,656 "
,E12000004,East Midlands,E07000142,West Lindsey," 8,510 "," 5,330 "," 5,941 "," 6,365 "," 6,061 "," 6,522 "," 4,949 "," 5,795 "
,E12000006,East of England,E07000200,Babergh," 8,418 "," 5,804 "," 6,217 "," 5,886 "," 5,667 "," 6,552 "," 5,005 "," 6,455 "
,E12000006,East of England,E07000066,Basildon," 16,409 "," 7,253 "," 8,590 "," 9,156 "," 7,834 "," 8,469 "," 5,984 "," 8,300 "
,E12000006,East of England,E06000055,Bedford," 15,965 "," 9,196 "," 9,112 "," 8,905 "," 7,794 "," 8,048 "," 5,657 "," 8,115 "
,E12000006,East of England,E07000067,Braintree," 12,968 "," 6,592 "," 7,398 "," 7,855 "," 7,828 "," 8,544 "," 6,109 "," 7,645 "
,E12000006,East of England,E07000143,Breckland," 11,973 "," 7,192 "," 8,498 "," 8,469 "," 8,270 "," 9,403 "," 7,080 "," 9,277 "
,E12000006,East of England,E07000068,Brentwood," 5,396 "," 2,999 "," 4,562 "," 4,108 "," 3,565 "," 3,844 "," 2,882 "," 4,704 "
,E12000006,East of England,E07000144,Broadland," 12,468 "," 7,039 "," 7,323 "," 8,031 "," 7,812 "," 9,019 "," 6,779 "," 9,609 "
,E12000006,East of England,E07000095,Broxbourne," 7,984 "," 4,312 "," 4,965 "," 4,832 "," 4,071 "," 4,348 "," 3,312 "," 4,948 "
,E12000006,East of England,E07000008,Cambridge," 15,767 "," 5,244 "," 5,569 "," 4,740 "," 4,231 "," 3,915 "," 2,981 "," 4,561 "
,E12000006,East of England,E07000069,Castle Point," 7,061 "," 4,046 "," 4,539 "," 5,095 "," 4,914 "," 6,202 "," 4,724 "," 5,877 "
,E12000006,East of England,E06000056,Central Bedfordshire," 25,718 "," 12,162 "," 17,495 "," 15,946 "," 13,640 "," 14,207 "," 10,327 "," 12,885 "
,E12000006,East of England,E07000070,Chelmsford," 15,642 "," 7,627 "," 8,594 "," 8,894 "," 8,334 "," 9,343 "," 6,859 "," 9,535 "
,E12000006,East of England,E07000071,Colchester," 19,887 "," 8,538 "," 8,145 "," 8,918 "," 8,150 "," 9,326 "," 6,751 "," 8,787 "
,E12000006,East of England,E07000096,Dacorum," 13,822 "," 6,044 "," 7,393 "," 7,895 "," 6,949 "," 6,755 "," 4,904 "," 7,355 "
,E12000006,East of England,E07000009,East Cambridgeshire," 8,398 "," 5,645 "," 5,600 "," 4,913 "," 4,564 "," 4,892 "," 3,547 "," 4,880 "
,E12000006,East of England,E07000242,East Hertfordshire," 11,988 "," 6,968 "," 8,583 "," 8,220 "," 6,906 "," 7,307 "," 5,118 "," 7,430 "
,E12000006,East of England,E07000244,East Suffolk," 23,286 "," 14,566 "," 16,363 "," 16,731 "," 15,889 "," 18,161 "," 13,714 "," 18,699 "
,E12000006,East of England,E07000072,Epping Forest," 9,681 "," 5,632 "," 6,503 "," 7,078 "," 6,262 "," 6,694 "," 5,014 "," 7,157 "
,E12000006,East of England,E07000010,Fenland," 8,785 "," 4,926 "," 5,822 "," 5,991 "," 5,825 "," 6,117 "," 4,614 "," 6,058 "
,E12000006,East of England,E07000145,Great Yarmouth," 10,442 "," 4,725 "," 5,849 "," 5,646 "," 5,795 "," 6,396 "," 4,857 "," 5,988 "
,E12000006,East of England,E07000073,Harlow," 8,217 "," 3,239 "," 3,770 "," 4,180 "," 3,669 "," 3,256 "," 2,326 "," 3,596 "
,E12000006,East of England,E07000098,Hertsmere," 12,203 "," 5,247 "," 6,165 "," 5,495 "," 4,549 "," 4,764 "," 3,591 "," 5,489 "
,E12000006,East of England,E07000011,Huntingdonshire," 17,260 "," 7,508 "," 10,252 "," 10,340 "," 9,203 "," 10,011 "," 7,405 "," 9,035 "
,E12000006,East of England,E07000202,Ipswich," 16,932 "," 7,433 "," 7,473 "," 6,720 "," 5,860 "," 5,655 "," 4,041 "," 6,280 "
,E12000006,East of England,E07000146,King's Lynn and West Norfolk," 13,624 "," 6,919 "," 9,124 "," 9,488 "," 9,219 "," 10,365 "," 8,019 "," 10,721 "
,E12000006,East of England,E06000032,Luton," 18,277 "," 6,967 "," 8,980 "," 7,996 "," 6,702 "," 5,911 "," 4,534 "," 6,897 "
,E12000006,East of England,E07000074,Maldon," 4,756 "," 2,671 "," 4,164 "," 4,351 "," 4,048 "," 4,538 "," 3,378 "," 4,155 "
,E12000006,East of England,E07000203,Mid Suffolk," 10,180 "," 6,438 "," 7,267 "," 6,927 "," 6,482 "," 7,070 "," 5,131 "," 6,629 "
,E12000006,East of England,E07000099,North Hertfordshire," 11,692 "," 5,769 "," 7,068 "," 7,004 "," 6,215 "," 6,541 "," 4,888 "," 7,440 "
,E12000006,East of England,E07000147,North Norfolk," 7,884 "," 5,088 "," 6,892 "," 7,798 "," 7,937 "," 9,183 "," 6,852 "," 9,483 "
,E12000006,East of England,E07000148,Norwich," 18,479 "," 5,654 "," 5,232 "," 5,578 "," 5,476 "," 5,462 "," 3,985 "," 5,823 "
,E12000006,East of England,E06000031,Peterborough," 18,929 "," 8,764 "," 8,512 "," 8,895 "," 7,801 "," 7,684 "," 5,476 "," 7,910 "
,E12000006,East of England,E07000075,Rochford," 7,013 "," 3,664 "," 4,721 "," 5,068 "," 4,553 "," 5,391 "," 4,054 "," 5,473 "
,E12000006,East of England,E07000012,South Cambridgeshire," 15,922 "," 7,625 "," 9,850 "," 8,753 "," 7,805 "," 8,317 "," 6,307 "," 8,640 "
,E12000006,East of England,E07000149,South Norfolk," 13,951 "," 7,414 "," 8,458 "," 8,624 "," 8,040 "," 9,231 "," 6,987 "," 9,332 "
,E12000006,East of England,E06000033,Southend-on-Sea," 18,450 "," 8,043 "," 9,553 "," 9,068 "," 8,185 "," 8,786 "," 6,569 "," 9,352 "
,E12000006,East of England,E07000240,St Albans," 10,957 "," 5,939 "," 7,711 "," 7,258 "," 6,170 "," 6,357 "," 4,768 "," 7,456 "
,E12000006,East of England,E07000243,Stevenage," 9,999 "," 4,493 "," 5,056 "," 4,519 "," 3,505 "," 3,343 "," 2,442 "," 3,726 "
,E12000006,East of England,E07000076,Tendring," 14,216 "," 7,409 "," 9,385 "," 9,871 "," 9,801 "," 11,659 "," 8,997 "," 11,813 "
,E12000006,East of England,E07000102,Three Rivers," 9,161 "," 4,103 "," 5,404 "," 4,929 "," 4,182 "," 4,333 "," 3,186 "," 4,773 "
,E12000006,East of England,E06000034,Thurrock," 14,472 "," 6,550 "," 5,909 "," 7,017 "," 6,199 "," 6,513 "," 4,229 "," 5,651 "
,E12000006,East of England,E07000077,Uttlesford," 6,873 "," 3,413 "," 5,595 "," 5,164 "," 4,582 "," 4,858 "," 3,620 "," 4,860 "
,E12000006,East of England,E07000103,Watford," 10,999 "," 4,216 "," 4,173 "," 3,993 "," 3,287 "," 3,072 "," 2,336 "," 3,462 "
,E12000006,East of England,E07000241,Welwyn Hatfield," 10,078 "," 3,965 "," 5,829 "," 5,685 "," 4,577 "," 4,481 "," 3,401 "," 5,527 "
,E12000006,East of England,E07000245,West Suffolk," 16,739 "," 9,605 "," 9,950 "," 9,386 "," 8,691 "," 9,826 "," 7,524 "," 10,097 "
,E12000007,London,E09000002,Barking and Dagenham," 20,239 "," 7,551 "," 8,086 "," 6,857 "," 5,140 "," 4,239 "," 2,921 "," 4,570 "
,E12000007,London,E09000003,Barnet," 41,701 "," 16,825 "," 18,159 "," 16,426 "," 13,780 "," 13,150 "," 9,658 "," 14,582 "
,E12000007,London,E09000004,Bexley," 21,639 "," 9,870 "," 13,018 "," 12,120 "," 9,970 "," 10,034 "," 7,464 "," 11,496 "
,E12000007,London,E09000005,Brent," 36,923 "," 13,533 "," 14,300 "," 12,909 "," 10,433 "," 8,395 "," 6,111 "," 9,036 "
,E12000007,London,E09000006,Bromley," 29,461 "," 14,823 "," 16,774 "," 16,502 "," 13,595 "," 14,746 "," 10,824 "," 16,565 "
,E12000007,London,E09000007,Camden," 22,949 "," 8,760 "," 8,829 "," 7,756 "," 6,318 "," 5,995 "," 4,496 "," 5,837 "
,E12000007,London,E09000001,City of London, 625 , 309 , 406 , 350 , 317 , 300 , 200 , 242 
,E12000007,London,E09000008,Croydon," 33,689 "," 15,084 "," 17,996 "," 16,288 "," 13,331 "," 12,502 "," 8,798 "," 12,849 "
