,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,
,E12000004,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley," 9,163 "," 6,232 "," 7,769 "," 9,330 "," 9,287 "," 8,141 "," 7,313 "," 7,988 "," 5,781 "," 6,747 ",," 4,040 "," 1,300 "," 1,811 "," 2,580 "," 2,978 "," 4,286 "," 6,857 "," 7,794 "," 5,673 "," 6,613 ",," 121,683 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield," 10,793 "," 5,632 "," 6,936 "," 8,673 "," 8,662 "," 7,218 "," 6,383 "," 6,490 "," 5,176 "," 6,065 ",," 5,996 "," 2,045 "," 2,500 "," 3,288 "," 3,637 "," 3,806 "," 5,661 "," 6,036 "," 4,964 "," 5,711 ",," 115,672 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000171,Bassetlaw," 9,676 "," 5,379 "," 6,494 "," 8,339 "," 8,747 "," 7,514 "," 6,616 "," 7,122 "," 5,263 "," 6,403 ",," 5,495 "," 1,986 "," 2,565 "," 4,330 "," 4,795 "," 5,232 "," 6,074 "," 6,889 "," 5,109 "," 6,160 ",," 120,188 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000129,Blaby," 10,437 "," 5,165 "," 5,770 "," 6,875 "," 6,722 "," 6,056 "," 5,176 "," 5,621 "," 4,164 "," 5,537 ",," 4,098 "," 1,470 "," 1,870 "," 2,509 "," 2,706 "," 3,631 "," 4,892 "," 5,519 "," 4,071 "," 5,414 ",," 97,703 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000033,Bolsover," 6,932 "," 3,491 "," 4,454 "," 5,916 "," 5,707 "," 5,003 "," 4,240 "," 4,251 "," 3,404 "," 3,798 ",," 3,457 "," 1,084 "," 1,413 "," 2,125 "," 2,351 "," 2,879 "," 3,760 "," 4,132 "," 3,329 "," 3,698 ",," 75,424 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000136,Boston," 4,813 "," 2,756 "," 3,437 "," 4,080 "," 4,335 "," 3,935 "," 3,582 "," 3,712 "," 2,799 "," 3,787 ",," 2,560 ", 828 ," 1,042 "," 1,595 "," 1,583 "," 1,955 "," 3,247 "," 3,584 "," 2,707 "," 3,693 ",," 60,030 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000172,Broxtowe," 8,460 "," 5,120 "," 5,926 "," 7,389 "," 7,421 "," 6,561 "," 5,884 "," 6,625 "," 4,827 "," 6,385 ",," 4,724 "," 1,529 "," 1,804 "," 2,395 "," 2,758 "," 3,136 "," 5,353 "," 6,414 "," 4,653 "," 6,102 ",," 103,466 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000130,Charnwood," 16,002 "," 8,364 "," 9,535 "," 11,410 "," 11,008 "," 10,050 "," 9,030 "," 9,107 "," 6,746 "," 8,757 ",," 6,014 "," 1,953 "," 2,266 "," 3,044 "," 3,295 "," 4,579 "," 7,783 "," 8,835 "," 6,574 "," 8,337 ",," 152,689 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000034,Chesterfield," 10,967 "," 5,068 "," 5,996 "," 7,120 "," 7,441 "," 6,623 "," 5,838 "," 5,892 "," 4,394 "," 5,632 ",," 3,644 "," 1,140 "," 1,393 "," 2,505 "," 2,557 "," 4,137 "," 5,245 "," 5,691 "," 4,231 "," 5,395 ",," 100,909 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000150,Corby," 5,256 "," 3,196 "," 3,434 "," 4,373 "," 4,522 "," 3,834 "," 3,109 "," 2,706 "," 1,969 "," 2,336 ",," 1,959 ", 636 , 718 , 928 ," 1,037 "," 1,269 "," 2,260 "," 2,503 "," 1,891 "," 2,227 ",," 50,163 "
