,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,
,E12000004,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley," 11,237 "," 6,337 "," 7,800 "," 9,343 "," 9,309 "," 8,143 "," 7,318 "," 7,988 "," 5,784 "," 6,737 ",," 4,932 "," 1,568 "," 2,301 "," 3,894 "," 4,253 "," 5,913 "," 7,022 "," 7,839 "," 5,699 "," 6,621 ",," 130,038 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield," 12,415 "," 6,008 "," 7,048 "," 8,703 "," 8,676 "," 7,235 "," 6,386 "," 6,496 "," 5,178 "," 6,053 ",," 7,093 "," 2,402 "," 2,995 "," 4,030 "," 4,478 "," 5,448 "," 5,986 "," 6,219 "," 5,006 "," 5,738 ",," 123,593 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000171,Bassetlaw," 11,828 "," 5,575 "," 6,611 "," 8,385 "," 8,774 "," 7,534 "," 6,617 "," 7,125 "," 5,255 "," 6,388 ",," 5,932 "," 2,286 "," 2,905 "," 5,424 "," 5,798 "," 6,088 "," 6,288 "," 6,960 "," 5,133 "," 6,168 ",," 127,074 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000129,Blaby," 12,305 "," 5,328 "," 5,843 "," 6,890 "," 6,737 "," 6,083 "," 5,183 "," 5,623 "," 4,165 "," 5,526 ",," 4,799 "," 1,724 "," 2,224 "," 3,083 "," 3,323 "," 4,726 "," 5,002 "," 5,543 "," 4,098 "," 5,418 ",," 103,623 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000033,Bolsover," 8,362 "," 3,604 "," 4,517 "," 5,939 "," 5,712 "," 5,012 "," 4,240 "," 4,252 "," 3,407 "," 3,794 ",," 4,100 "," 1,303 "," 1,800 "," 2,946 "," 3,033 "," 3,729 "," 3,965 "," 4,163 "," 3,360 "," 3,716 ",," 80,954 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000136,Boston," 5,905 "," 2,872 "," 3,498 "," 4,102 "," 4,348 "," 3,941 "," 3,588 "," 3,719 "," 2,798 "," 3,784 ",," 2,798 ", 898 ," 1,138 "," 1,800 "," 1,908 "," 2,725 "," 3,300 "," 3,608 "," 2,719 "," 3,698 ",," 63,147 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000172,Broxtowe," 10,062 "," 5,469 "," 6,039 "," 7,428 "," 7,451 "," 6,575 "," 5,884 "," 6,625 "," 4,825 "," 6,381 ",," 5,576 "," 1,817 "," 2,184 "," 3,003 "," 3,510 "," 4,570 "," 5,527 "," 6,468 "," 4,679 "," 6,134 ",," 110,207 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000130,Charnwood," 18,768 "," 8,647 "," 9,643 "," 11,441 "," 11,028 "," 10,063 "," 9,031 "," 9,112 "," 6,748 "," 8,748 ",," 6,949 "," 2,269 "," 2,640 "," 3,679 "," 4,074 "," 6,618 "," 8,129 "," 8,879 "," 6,598 "," 8,365 ",," 161,429 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000034,Chesterfield," 14,935 "," 5,139 "," 6,036 "," 7,150 "," 7,462 "," 6,637 "," 5,840 "," 5,888 "," 4,393 "," 5,626 ",," 4,115 "," 1,366 "," 1,705 "," 2,882 "," 3,031 "," 4,670 "," 5,479 "," 5,732 "," 4,260 "," 5,427 ",," 107,773 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000150,Corby," 5,451 "," 3,446 "," 3,567 "," 4,386 "," 4,532 "," 3,850 "," 3,107 "," 2,705 "," 1,964 "," 2,336 ",," 2,289 ", 746 , 835 ," 1,575 "," 1,568 "," 2,110 "," 2,698 "," 2,603 "," 1,905 "," 2,248 ",," 53,921 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000151,Daventry," 6,734 "," 4,347 "," 5,205 "," 6,459 "," 6,541 "," 5,412 "," 4,775 "," 5,053 "," 3,578 "," 4,183 ",," 3,284 "," 1,142 "," 1,555 "," 2,863 "," 3,455 "," 4,215 "," 4,572 "," 4,963 "," 3,527 "," 4,113 ",," 85,976 "
,E12000004,East Midlands,E06000015,Derby,E06000015,Derby," 37,107 "," 12,993 "," 13,944 "," 15,256 "," 14,816 "," 12,431 "," 10,684 "," 10,677 "," 7,855 "," 11,676 ",," 11,420 "," 3,736 "," 4,429 "," 5,452 "," 6,342 "," 8,825 "," 10,111 "," 10,333 "," 7,643 "," 11,300 ",," 227,030 "
