,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,
,E12000004,East Midlands,E10000007,Derbyshire,E07000035,Derbyshire Dales," 4,667 "," 3,101 "," 4,069 "," 5,558 "," 6,022 "," 5,438 "," 4,962 "," 5,426 "," 4,085 "," 5,108 ",," 2,280 ", 849 ," 1,233 "," 2,366 "," 2,874 "," 3,708 "," 4,642 "," 5,350 "," 4,036 "," 5,010 ",," 80,784 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000137,East Lindsey," 11,985 "," 5,525 "," 6,999 "," 9,498 "," 11,051 "," 10,999 "," 10,844 "," 11,951 "," 8,995 "," 10,416 ",," 4,472 "," 1,485 "," 2,255 "," 3,347 "," 4,594 "," 6,581 "," 9,508 "," 11,524 "," 8,689 "," 10,062 ",," 160,780 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000152,East Northamptonshire," 7,727 "," 4,484 "," 5,539 "," 6,795 "," 6,660 "," 5,521 "," 5,068 "," 5,563 "," 3,888 "," 4,723 ",," 3,082 "," 1,201 "," 1,605 "," 2,839 "," 3,181 "," 3,926 "," 4,714 "," 5,413 "," 3,827 "," 4,584 ",," 90,340 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000036,Erewash," 9,842 "," 5,533 "," 6,603 "," 8,198 "," 8,012 "," 6,746 "," 5,926 "," 6,294 "," 4,738 "," 6,039 ",," 4,441 "," 1,439 "," 1,891 "," 3,639 "," 3,631 "," 4,483 "," 5,538 "," 6,143 "," 4,666 "," 5,924 ",," 109,726 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000173,Gedling," 10,540 "," 6,034 "," 6,621 "," 8,126 "," 8,150 "," 7,016 "," 6,386 "," 6,762 "," 4,823 "," 6,670 ",," 5,986 "," 2,148 "," 2,803 "," 3,563 "," 4,070 "," 5,118 "," 6,133 "," 6,615 "," 4,720 "," 6,435 ",," 118,719 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000131,Harborough," 7,888 "," 4,904 "," 5,952 "," 7,147 "," 7,045 "," 6,072 "," 5,344 "," 5,699 "," 4,277 "," 5,428 ",," 3,552 "," 1,359 "," 1,790 "," 3,157 "," 4,084 "," 5,036 "," 5,109 "," 5,589 "," 4,179 "," 5,257 ",," 98,868 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000037,High Peak," 9,265 "," 4,606 "," 5,375 "," 6,910 "," 7,282 "," 6,386 "," 5,384 "," 5,478 "," 3,916 "," 4,646 ",," 3,798 "," 1,296 "," 1,715 "," 2,872 "," 3,788 "," 4,129 "," 4,914 "," 5,359 "," 3,858 "," 4,348 ",," 95,325 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000132,Hinckley and Bosworth," 10,312 "," 5,360 "," 6,407 "," 7,991 "," 7,789 "," 7,040 "," 6,479 "," 7,017 "," 5,108 "," 6,230 ",," 4,993 "," 1,542 "," 1,957 "," 2,844 "," 3,428 "," 4,805 "," 6,110 "," 6,857 "," 5,024 "," 6,080 ",," 113,373 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000153,Kettering," 9,685 "," 5,433 "," 6,130 "," 7,033 "," 6,569 "," 5,388 "," 4,922 "," 5,238 "," 3,848 "," 4,630 ",," 4,629 "," 1,645 "," 1,992 "," 3,419 "," 3,341 "," 3,895 "," 4,350 "," 5,042 "," 3,744 "," 4,481 ",," 95,414 "
,E12000004,East Midlands,E06000016,Leicester,E06000016,Leicester," 41,362 "," 17,916 "," 18,034 "," 18,946 "," 17,438 "," 15,892 "," 13,177 "," 10,767 "," 7,006 "," 10,276 ",," 17,072 "," 5,584 "," 6,493 "," 8,723 "," 9,199 "," 11,550 "," 11,719 "," 10,058 "," 6,524 "," 9,465 ",," 267,201 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000138,Lincoln," 10,282 "," 4,338 "," 4,645 "," 5,328 "," 5,561 "," 4,653 "," 3,967 "," 3,895 "," 2,759 "," 3,975 ",," 5,715 "," 1,392 "," 1,568 "," 2,803 "," 2,958 "," 3,324 "," 3,762 "," 3,764 "," 2,689 "," 3,885 ",," 81,263 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000174,Mansfield," 11,755 "," 5,173 "," 5,778 "," 7,232 "," 7,603 "," 6,670 "," 5,745 "," 5,576 "," 4,228 "," 5,139 ",," 6,404 "," 2,138 "," 2,544 "," 3,597 "," 4,149 "," 5,257 "," 5,389 "," 5,282 "," 4,059 "," 4,838 ",," 108,556 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000133,Melton," 3,876 "," 2,145 "," 2,787 "," 3,849 "," 4,097 "," 3,487 "," 3,178 "," 3,369 "," 2,410 "," 2,975 ",," 1,777 ", 646 , 855 ," 1,392 "," 1,995 "," 2,313 "," 3,061 "," 3,313 "," 2,382 "," 2,771 ",," 52,678 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000175,Newark and Sherwood," 10,516 "," 5,509 "," 6,790 "," 8,534 "," 8,845 "," 7,835 "," 6,993 "," 7,525 "," 5,548 "," 6,863 ",," 5,682 "," 1,955 "," 2,673 "," 3,804 "," 4,419 "," 5,939 "," 6,645 "," 7,303 "," 5,384 "," 6,521 ",," 125,283 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000038,North East Derbyshire," 11,437 "," 4,915 "," 5,789 "," 7,291 "," 7,427 "," 6,846 "," 6,253 "," 6,709 "," 5,361 "," 6,377 ",," 4,088 "," 1,483 "," 1,943 "," 4,035 "," 4,241 "," 4,944 "," 5,843 "," 6,549 "," 5,246 "," 6,171 ",," 112,948 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000139,North Kesteven," 12,034 "," 5,799 "," 6,873 "," 8,315 "," 8,685 "," 7,353 "," 6,512 "," 7,428 "," 5,742 "," 7,231 ",," 5,271 "," 1,492 "," 2,113 "," 3,847 "," 4,452 "," 5,272 "," 6,195 "," 7,300 "," 5,649 "," 7,118 ",," 124,681 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000134,North West Leicestershire," 9,720 "," 5,168 "," 6,360 "," 7,531 "," 7,160 "," 6,160 "," 5,543 "," 5,912 "," 4,267 "," 4,823 ",," 3,357 "," 1,142 "," 1,646 "," 2,363 "," 2,687 "," 3,846 "," 5,237 "," 5,764 "," 4,172 "," 4,706 ",," 97,564 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000154,Northampton," 18,776 "," 11,727 "," 12,662 "," 13,665 "," 13,119 "," 10,875 "," 9,277 "," 9,418 "," 6,498 "," 8,720 ",," 9,229 "," 3,360 "," 4,198 "," 6,677 "," 6,466 "," 7,973 "," 8,522 "," 9,119 "," 6,320 "," 8,425 ",," 185,026 "
,E12000004,East Midlands,E06000018,Nottingham,E06000018,Nottingham," 29,864 "," 12,595 "," 13,624 "," 15,317 "," 14,980 "," 12,473 "," 10,188 "," 9,289 "," 6,575 "," 9,798 ",," 16,790 "," 4,228 "," 5,167 "," 6,462 "," 7,058 "," 8,048 "," 9,371 "," 8,866 "," 6,242 "," 9,201 ",," 216,136 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000135,Oadby and Wigston," 7,163 "," 2,931 "," 3,084 "," 3,582 "," 3,647 "," 3,371 "," 2,834 "," 2,974 "," 2,329 "," 3,751 ",," 2,705 ", 989 ," 1,123 "," 1,400 "," 1,709 "," 2,459 "," 2,692 "," 2,884 "," 2,266 "," 3,417 ",," 57,310 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000176,Rushcliffe," 10,138 "," 6,804 "," 7,253 "," 8,270 "," 8,143 "," 7,043 "," 6,278 "," 6,722 "," 5,039 "," 7,008 ",," 5,315 "," 2,102 "," 2,362 "," 3,081 "," 3,568 "," 5,299 "," 6,059 "," 6,612 "," 4,947 "," 6,773 ",," 118,816 "
,E12000004,East Midlands,E06000017,Rutland,E06000017,Rutland," 3,028 "," 1,926 "," 2,196 "," 2,781 "," 2,718 "," 2,573 "," 2,400 "," 2,762 "," 2,093 "," 2,821 ",," 1,171 ", 418 , 511 , 718 , 927 ," 1,628 "," 2,292 "," 2,723 "," 2,051 "," 2,576 ",," 40,313 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000039,South Derbyshire," 14,502 "," 5,832 "," 6,684 "," 8,027 "," 7,430 "," 6,167 "," 5,578 "," 5,521 "," 3,943 "," 4,582 ",," 4,843 "," 1,703 "," 2,361 "," 3,222 "," 3,189 "," 4,134 "," 5,076 "," 5,427 "," 3,895 "," 4,499 ",," 106,615 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000140,South Holland," 7,354 "," 4,061 "," 5,065 "," 6,156 "," 6,580 "," 5,725 "," 5,418 "," 6,071 "," 4,456 "," 6,093 ",," 2,665 ", 842 ," 1,308 "," 1,763 "," 2,529 "," 3,466 "," 5,107 "," 5,916 "," 4,358 "," 5,942 ",," 90,875 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000141,South Kesteven," 13,241 "," 7,201 "," 8,659 "," 10,132 "," 10,432 "," 9,274 "," 8,308 "," 8,945 "," 6,747 "," 8,348 ",," 4,554 "," 1,648 "," 2,331 "," 3,234 "," 4,525 "," 5,475 "," 7,842 "," 8,753 "," 6,621 "," 8,163 ",," 144,433 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000155,South Northamptonshire," 6,938 "," 5,276 "," 6,293 "," 7,367 "," 7,234 "," 6,096 "," 5,087 "," 5,590 "," 3,979 "," 4,631 ",," 2,847 "," 1,116 "," 1,552 "," 2,580 "," 3,159 "," 4,162 "," 4,648 "," 5,506 "," 3,913 "," 4,520 ",," 92,494 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000156,Wellingborough," 6,347 "," 3,958 "," 4,537 "," 5,444 "," 5,177 "," 4,412 "," 4,084 "," 4,271 "," 3,078 "," 3,649 ",," 2,553 "," 1,052 "," 1,281 "," 2,131 "," 2,450 "," 3,112 "," 3,752 "," 4,166 "," 3,001 "," 3,510 ",," 71,965 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000142,West Lindsey," 8,569 "," 4,250 "," 5,159 "," 6,688 "," 7,232 "," 6,632 "," 6,150 "," 6,560 "," 4,954 "," 5,731 ",," 3,857 "," 1,226 "," 1,672 "," 2,843 "," 3,455 "," 4,636 "," 5,837 "," 6,445 "," 4,886 "," 5,627 ",," 102,409 "
,E12000006,East of England,E10000029,Suffolk,E07000200,Babergh," 8,394 "," 4,321 "," 5,160 "," 6,525 "," 6,719 "," 6,032 "," 5,760 "," 6,606 "," 5,034 "," 6,407 ",," 3,761 "," 1,405 "," 1,783 "," 3,331 "," 3,800 "," 5,016 "," 5,548 "," 6,487 "," 4,959 "," 6,294 ",," 103,342 "
,E12000006,East of England,E10000012,Essex,E07000066,Basildon," 23,143 "," 9,969 "," 10,570 "," 12,145 "," 11,691 "," 10,027 "," 8,067 "," 8,593 "," 6,004 "," 8,264 ",," 6,988 "," 2,710 "," 3,304 "," 5,000 "," 5,451 "," 6,621 "," 7,343 "," 8,199 "," 5,787 "," 7,866 ",," 167,742 "
,E12000006,East of England,E06000055,Bedford,E06000055,Bedford," 14,448 "," 9,471 "," 10,073 "," 11,570 "," 11,072 "," 9,336 "," 7,917 "," 8,093 "," 5,677 "," 8,101 ",," 7,462 "," 2,824 "," 3,275 "," 6,876 "," 5,487 "," 6,299 "," 7,481 "," 7,881 "," 5,568 "," 7,905 ",," 156,816 "
,E12000006,East of England,E10000012,Essex,E07000067,Braintree," 13,746 "," 7,747 "," 9,110 "," 10,931 "," 10,298 "," 8,790 "," 7,970 "," 8,617 "," 6,133 "," 7,612 ",," 5,533 "," 1,949 "," 2,575 "," 4,186 "," 4,099 "," 5,035 "," 7,408 "," 8,327 "," 5,981 "," 7,427 ",," 143,474 "
,E12000006,East of England,E10000020,Norfolk,E07000143,Breckland," 11,644 "," 6,146 "," 7,372 "," 9,301 "," 9,945 "," 8,846 "," 8,455 "," 9,448 "," 7,078 "," 9,205 ",," 5,574 "," 1,813 "," 2,523 "," 3,943 "," 4,945 "," 6,251 "," 7,862 "," 9,124 "," 6,875 "," 9,038 ",," 145,388 "
,E12000006,East of England,E10000012,Essex,E07000068,Brentwood," 8,120 "," 4,124 "," 4,491 "," 5,257 "," 5,402 "," 4,348 "," 3,640 "," 3,868 "," 2,893 "," 4,660 ",," 1,967 ", 825 , 977 ," 1,687 "," 2,133 "," 2,583 "," 3,169 "," 3,756 "," 2,832 "," 4,569 ",," 71,301 "
,E12000006,East of England,E10000020,Norfolk,E07000144,Broadland," 11,759 "," 6,549 "," 7,818 "," 9,435 "," 9,453 "," 8,418 "," 7,969 "," 9,064 "," 6,781 "," 9,526 ",," 6,005 "," 2,048 "," 2,634 "," 3,927 "," 4,180 "," 5,341 "," 7,422 "," 8,903 "," 6,700 "," 9,384 ",," 143,316 "
,E12000006,East of England,E10000015,Hertfordshire,E07000095,Broxbourne," 8,180 "," 4,913 "," 5,409 "," 6,474 "," 6,218 "," 5,162 "," 4,144 "," 4,366 "," 3,335 "," 4,897 ",," 3,129 "," 1,253 "," 1,620 "," 2,367 "," 2,761 "," 3,434 "," 3,843 "," 4,274 "," 3,262 "," 4,767 ",," 83,808 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000008,Cambridge," 17,053 "," 7,236 "," 6,653 "," 6,678 "," 6,154 "," 4,939 "," 4,352 "," 3,949 "," 3,003 "," 4,523 ",," 8,943 "," 1,925 "," 2,093 "," 2,847 "," 3,064 "," 3,646 "," 3,873 "," 3,811 "," 2,912 "," 4,385 ",," 102,039 "
,E12000006,East of England,E10000012,Essex,E07000069,Castle Point," 9,772 "," 4,154 "," 4,802 "," 6,044 "," 6,131 "," 5,517 "," 5,103 "," 6,274 "," 4,774 "," 5,881 ",," 3,175 "," 1,079 "," 1,411 "," 2,060 "," 2,729 "," 3,431 "," 4,595 "," 6,069 "," 4,600 "," 5,691 ",," 93,292 "
,E12000006,East of England,E06000056,Central Bedfordshire,E06000056,Central Bedfordshire," 23,874 "," 15,968 "," 16,937 "," 19,508 "," 19,821 "," 16,532 "," 13,889 "," 14,298 "," 10,374 "," 12,866 ",," 10,665 "," 3,880 "," 4,593 "," 7,232 "," 8,285 "," 10,581 "," 13,025 "," 13,980 "," 10,185 "," 12,534 ",," 259,027 "
,E12000006,East of England,E10000012,Essex,E07000070,Chelmsford," 18,889 "," 10,076 "," 11,048 "," 12,107 "," 11,538 "," 9,799 "," 8,503 "," 9,377 "," 6,860 "," 9,474 ",," 7,233 "," 2,458 "," 3,034 "," 4,817 "," 5,192 "," 5,864 "," 7,799 "," 9,166 "," 6,743 "," 9,296 ",," 169,273 "
,E12000006,East of England,E10000012,Essex,E07000071,Colchester," 17,973 "," 10,196 "," 10,853 "," 12,058 "," 11,413 "," 9,470 "," 8,315 "," 9,444 "," 6,819 "," 8,804 ",," 9,456 "," 3,108 "," 3,428 "," 5,199 "," 4,896 "," 5,934 "," 7,878 "," 9,136 "," 6,629 "," 8,436 ",," 169,445 "
,E12000006,East of England,E10000015,Hertfordshire,E07000096,Dacorum," 13,865 "," 9,123 "," 9,479 "," 10,124 "," 10,151 "," 8,608 "," 7,060 "," 6,837 "," 4,926 "," 7,349 ",," 6,424 "," 2,457 "," 2,806 "," 4,471 "," 4,927 "," 5,509 "," 6,736 "," 6,661 "," 4,810 "," 7,053 ",," 139,376 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000009,East Cambridgeshire," 8,098 "," 5,223 "," 5,755 "," 6,205 "," 6,005 "," 5,059 "," 4,606 "," 4,922 "," 3,562 "," 4,839 ",," 4,133 "," 1,512 "," 1,884 "," 4,571 "," 3,552 "," 3,881 "," 4,464 "," 4,834 "," 3,505 "," 4,761 ",," 91,371 "
,E12000006,East of England,E10000015,Hertfordshire,E07000242,East Hertfordshire," 15,006 "," 8,738 "," 9,978 "," 10,869 "," 10,579 "," 8,630 "," 7,002 "," 7,342 "," 5,135 "," 7,363 ",," 5,246 "," 1,935 "," 2,518 "," 4,440 "," 4,477 "," 5,646 "," 6,686 "," 7,195 "," 5,033 "," 7,222 ",," 141,040 "
,E12000006,East of England,E10000029,Suffolk,E07000244,East Suffolk," 28,493 "," 10,845 "," 13,393 "," 16,718 "," 17,883 "," 17,175 "," 16,125 "," 18,339 "," 13,794 "," 18,572 ",," 10,731 "," 3,483 "," 4,754 "," 8,159 "," 10,413 "," 14,070 "," 15,232 "," 17,942 "," 13,571 "," 18,220 ",," 287,912 "
,E12000006,East of England,E10000012,Essex,E07000072,Epping Forest," 10,128 "," 6,595 "," 7,208 "," 8,989 "," 9,099 "," 7,607 "," 6,409 "," 6,770 "," 5,029 "," 7,110 ",," 3,996 "," 1,475 "," 1,968 "," 3,361 "," 3,868 "," 4,686 "," 5,780 "," 6,526 "," 4,920 "," 6,750 ",," 118,274 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000010,Fenland," 9,386 "," 4,373 "," 5,273 "," 6,793 "," 7,098 "," 6,294 "," 5,963 "," 6,158 "," 4,640 "," 6,030 ",," 3,534 "," 1,141 "," 1,619 "," 2,652 "," 3,305 "," 4,263 "," 5,237 "," 5,972 "," 4,534 "," 5,836 ",," 100,101 "
,E12000006,East of England,E10000020,Norfolk,E07000145,Great Yarmouth," 11,540 "," 4,382 "," 5,192 "," 6,561 "," 6,887 "," 6,379 "," 5,971 "," 6,474 "," 4,872 "," 5,990 ",," 4,899 "," 1,429 "," 1,830 "," 2,620 "," 3,192 "," 3,686 "," 5,274 "," 6,266 "," 4,769 "," 5,855 ",," 104,068 "
,E12000006,East of England,E10000012,Essex,E07000073,Harlow," 8,262 "," 4,903 "," 4,706 "," 5,411 "," 5,423 "," 4,631 "," 3,785 "," 3,292 "," 2,349 "," 3,601 ",," 3,959 "," 1,406 "," 1,619 "," 2,171 "," 2,621 "," 3,214 "," 3,497 "," 3,191 "," 2,291 "," 3,494 ",," 73,826 "
,E12000006,East of England,E10000015,Hertfordshire,E07000098,Hertsmere," 11,758 "," 6,251 "," 6,535 "," 6,873 "," 6,989 "," 5,705 "," 4,672 "," 4,809 "," 3,616 "," 5,528 ",," 5,045 "," 2,169 "," 2,516 "," 3,559 "," 4,131 "," 4,503 "," 4,464 "," 4,698 "," 3,547 "," 5,374 ",," 102,742 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000011,Huntingdonshire," 20,213 "," 9,458 "," 10,940 "," 12,588 "," 12,586 "," 10,801 "," 9,392 "," 10,086 "," 7,429 "," 9,051 ",," 7,213 "," 2,596 "," 3,301 "," 5,366 "," 6,069 "," 7,878 "," 8,639 "," 9,861 "," 7,282 "," 8,823 ",," 179,572 "
,E12000006,East of England,E10000029,Suffolk,E07000202,Ipswich," 17,255 "," 7,177 "," 7,486 "," 8,241 "," 7,936 "," 6,897 "," 5,969 "," 5,807 "," 4,111 "," 6,241 ",," 8,038 "," 2,501 "," 2,850 "," 4,007 "," 4,867 "," 6,152 "," 5,714 "," 5,642 "," 3,995 "," 6,025 ",," 126,911 "
,E12000006,East of England,E10000020,Norfolk,E07000146,King's Lynn and West Norfolk," 13,065 "," 6,282 "," 7,830 "," 9,802 "," 10,745 "," 9,914 "," 9,405 "," 10,417 "," 8,045 "," 10,619 ",," 6,639 "," 2,095 "," 2,772 "," 4,639 "," 5,519 "," 7,253 "," 8,880 "," 10,190 "," 7,893 "," 10,410 ",," 162,414 "
,E12000006,East of England,E06000032,Luton,E06000032,Luton," 17,841 "," 10,572 "," 10,277 "," 11,226 "," 10,696 "," 8,750 "," 7,021 "," 6,030 "," 4,579 "," 6,916 ",," 7,438 "," 2,882 "," 3,407 "," 4,800 "," 5,096 "," 5,226 "," 6,083 "," 5,664 "," 4,317 "," 6,534 ",," 145,355 "
,E12000006,East of England,E10000012,Essex,E07000074,Maldon," 4,623 "," 2,834 "," 3,707 "," 4,973 "," 5,026 "," 4,650 "," 4,104 "," 4,581 "," 3,390 "," 4,129 ",," 2,105 ", 698 ," 1,029 "," 2,010 "," 2,236 "," 3,128 "," 3,930 "," 4,462 "," 3,328 "," 4,047 ",," 68,990 "
,E12000006,East of England,E10000029,Suffolk,E07000203,Mid Suffolk," 9,810 "," 4,605 "," 5,813 "," 7,222 "," 7,766 "," 7,083 "," 6,579 "," 7,111 "," 5,167 "," 6,545 ",," 5,091 "," 1,547 "," 2,326 "," 3,583 "," 4,607 "," 6,299 "," 6,399 "," 7,029 "," 5,099 "," 6,434 ",," 116,115 "
,E12000006,East of England,E10000015,Hertfordshire,E07000099,North Hertfordshire," 10,559 "," 7,868 "," 8,534 "," 8,970 "," 8,990 "," 7,375 "," 6,320 "," 6,596 "," 4,898 "," 7,385 ",," 5,125 "," 1,959 "," 2,407 "," 4,081 "," 4,263 "," 5,033 "," 5,900 "," 6,466 "," 4,805 "," 7,191 ",," 124,725 "
,E12000006,East of England,E10000020,Norfolk,E07000147,North Norfolk," 7,083 "," 3,509 "," 4,872 "," 6,595 "," 7,619 "," 8,104 "," 8,044 "," 9,234 "," 6,884 "," 9,401 ",," 3,530 "," 1,131 "," 1,632 "," 2,602 "," 3,462 "," 4,795 "," 7,383 "," 9,044 "," 6,773 "," 9,249 ",," 120,946 "
,E12000006,East of England,E10000020,Norfolk,E07000148,Norwich," 17,512 "," 7,180 "," 7,222 "," 7,598 "," 7,191 "," 6,082 "," 5,616 "," 5,502 "," 3,982 "," 5,750 ",," 9,909 "," 2,285 "," 2,589 "," 3,362 "," 3,212 "," 3,648 "," 5,112 "," 5,347 "," 3,915 "," 5,657 ",," 118,671 "
,E12000006,East of England,E06000031,Peterborough,E06000031,Peterborough," 17,133 "," 10,497 "," 10,919 "," 11,885 "," 11,134 "," 9,561 "," 8,076 "," 7,774 "," 5,499 "," 7,880 ",," 7,753 "," 2,888 "," 3,509 "," 5,400 "," 5,399 "," 6,146 "," 7,138 "," 7,505 "," 5,353 "," 7,550 ",," 158,999 "
,E12000006,East of England,E10000012,Essex,E07000075,Rochford," 9,464 "," 4,410 "," 5,140 "," 6,291 "," 6,138 "," 5,316 "," 4,633 "," 5,428 "," 4,064 "," 5,440 ",," 3,346 "," 1,270 "," 1,634 "," 2,575 "," 3,258 "," 3,519 "," 4,308 "," 5,297 "," 3,999 "," 5,331 ",," 90,861 "
