,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,1st dose Under 40,1st dose 40-44,1st dose 45-49,1st dose 50-54,1st dose 55-59,1st dose 60-64,1st dose 65-69,1st dose 70-74,1st dose 75-79,1st dose 80+,,2nd dose Under 40,2nd dose 40-44,2nd dose 45-49,2nd dose 50-54,2nd dose 55-59,2nd dose 60-64,2nd dose 65-69,2nd dose 70-74,2nd dose 75-79,2nd dose 80+,,
,E12000004,East Midlands,E10000007,Derbyshire,E07000032,Amber Valley," 8,819 "," 6,052 "," 7,720 "," 9,314 "," 9,276 "," 8,123 "," 7,299 "," 7,984 "," 5,788 "," 6,762 ",," 3,270 "," 1,058 "," 1,495 "," 1,899 "," 1,973 "," 2,114 "," 6,343 "," 7,701 "," 5,642 "," 6,589 ",," 115,221 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000170,Ashfield," 10,522 "," 5,015 "," 6,803 "," 8,667 "," 8,641 "," 7,218 "," 6,379 "," 6,490 "," 5,174 "," 6,066 ",," 4,279 "," 1,385 "," 1,688 "," 2,146 "," 2,242 "," 1,996 "," 4,897 "," 5,840 "," 4,897 "," 5,655 ",," 106,000 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000171,Bassetlaw," 8,640 "," 5,255 "," 6,398 "," 8,314 "," 8,729 "," 7,501 "," 6,607 "," 7,122 "," 5,262 "," 6,412 ",," 4,230 "," 1,487 "," 1,810 "," 3,578 "," 3,888 "," 4,228 "," 5,069 "," 6,739 "," 5,032 "," 6,114 ",," 112,415 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000129,Blaby," 8,796 "," 4,790 "," 5,631 "," 6,845 "," 6,697 "," 6,043 "," 5,171 "," 5,618 "," 4,163 "," 5,535 ",," 3,295 "," 1,156 "," 1,490 "," 1,881 "," 2,177 "," 2,586 "," 4,423 "," 5,431 "," 4,050 "," 5,390 ",," 91,168 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000033,Bolsover," 6,420 "," 3,266 "," 4,391 "," 5,899 "," 5,690 "," 4,986 "," 4,234 "," 4,249 "," 3,405 "," 3,801 ",," 2,704 ", 840 ," 1,040 "," 1,444 "," 1,501 "," 1,626 "," 2,989 "," 4,054 "," 3,274 "," 3,644 ",," 69,457 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000136,Boston," 4,707 "," 2,588 "," 3,372 "," 4,050 "," 4,309 "," 3,915 "," 3,579 "," 3,712 "," 2,797 "," 3,796 ",," 1,993 ", 600 , 734 ," 1,075 "," 1,179 "," 1,112 "," 2,957 "," 3,499 "," 2,663 "," 3,655 ",," 56,292 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000172,Broxtowe," 8,293 "," 4,741 "," 5,826 "," 7,369 "," 7,423 "," 6,553 "," 5,880 "," 6,629 "," 4,829 "," 6,394 ",," 3,578 "," 1,113 "," 1,282 "," 1,629 "," 1,806 "," 1,640 "," 5,033 "," 6,376 "," 4,626 "," 6,078 ",," 97,098 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000130,Charnwood," 14,668 "," 7,546 "," 9,334 "," 11,368 "," 10,980 "," 10,031 "," 9,021 "," 9,099 "," 6,746 "," 8,763 ",," 4,905 "," 1,579 "," 1,796 "," 2,355 "," 2,406 "," 2,949 "," 6,319 "," 8,690 "," 6,504 "," 8,245 ",," 143,304 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000034,Chesterfield," 9,086 "," 4,985 "," 5,969 "," 7,101 "," 7,424 "," 6,618 "," 5,838 "," 5,885 "," 4,391 "," 5,625 ",," 3,355 "," 1,046 "," 1,281 "," 1,615 "," 1,767 "," 3,631 "," 4,658 "," 5,614 "," 4,163 "," 5,295 ",," 95,347 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000150,Corby," 4,635 "," 2,533 "," 3,150 "," 4,342 "," 4,489 "," 3,816 "," 3,102 "," 2,706 "," 1,968 "," 2,344 ",," 1,400 ", 445 , 498 , 719 , 846 , 792 ," 1,814 "," 2,455 "," 1,870 "," 2,219 ",," 46,143 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000151,Daventry," 5,415 "," 3,468 "," 4,977 "," 6,415 "," 6,512 "," 5,383 "," 4,772 "," 5,050 "," 3,579 "," 4,190 ",," 1,983 ", 683 , 864 ," 1,343 "," 1,742 "," 1,895 "," 4,072 "," 4,893 "," 3,493 "," 4,077 ",," 74,806 "
,E12000004,East Midlands,E06000015,Derby,E06000015,Derby," 29,445 "," 12,441 "," 13,675 "," 15,140 "," 14,715 "," 12,394 "," 10,670 "," 10,681 "," 7,864 "," 11,721 ",," 8,469 "," 2,797 "," 3,338 "," 3,941 "," 4,638 "," 4,419 "," 9,705 "," 10,213 "," 7,571 "," 11,198 ",," 205,035 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000035,Derbyshire Dales," 3,772 "," 2,838 "," 3,958 "," 5,528 "," 5,994 "," 5,406 "," 4,953 "," 5,423 "," 4,084 "," 5,136 ",," 1,541 ", 534 , 792 ," 1,164 "," 1,517 "," 1,542 "," 3,473 "," 5,273 "," 3,996 "," 4,993 ",," 71,917 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000137,East Lindsey," 8,935 "," 5,044 "," 6,787 "," 9,415 "," 10,900 "," 10,914 "," 10,786 "," 11,931 "," 8,995 "," 10,445 ",," 3,116 "," 1,005 "," 1,401 "," 1,995 "," 2,349 "," 2,538 "," 6,819 "," 10,989 "," 8,488 "," 9,868 ",," 142,720 "
,E12000004,East Midlands,E10000021,Northamptonshire,E07000152,East Northamptonshire," 5,020 "," 3,528 "," 5,171 "," 6,748 "," 6,621 "," 5,480 "," 5,054 "," 5,549 "," 3,887 "," 4,737 ",," 1,987 ", 835 ," 1,089 "," 1,555 "," 1,787 "," 1,773 "," 3,603 "," 5,244 "," 3,743 "," 4,480 ",," 77,891 "
,E12000004,East Midlands,E10000007,Derbyshire,E07000036,Erewash," 8,470 "," 5,162 "," 6,458 "," 8,151 "," 7,978 "," 6,732 "," 5,919 "," 6,287 "," 4,735 "," 6,060 ",," 2,796 ", 885 ," 1,081 "," 1,600 "," 1,830 "," 1,840 "," 5,007 "," 6,023 "," 4,623 "," 5,901 ",," 97,538 "
,E12000004,East Midlands,E10000024,Nottinghamshire,E07000173,Gedling," 8,630 "," 4,976 "," 6,370 "," 8,095 "," 8,127 "," 7,008 "," 6,385 "," 6,760 "," 4,818 "," 6,672 ",," 3,730 "," 1,360 "," 1,560 "," 1,961 "," 2,167 "," 1,997 "," 5,572 "," 6,451 "," 4,641 "," 6,325 ",," 103,605 "
,E12000004,East Midlands,E10000018,Leicestershire,E07000131,Harborough," 6,053 "," 3,899 "," 5,526 "," 7,080 "," 6,980 "," 5,963 "," 5,343 "," 5,698 "," 4,280 "," 5,439 ",," 2,375 ", 911 ," 1,110 "," 1,524 "," 2,353 "," 2,658 "," 4,494 "," 5,488 "," 4,131 "," 5,221 ",," 86,526 "
