MSOA11CD,STP21CD
E02000413,E54000028
E02000414,E54000028
E02000415,E54000028
E02000416,E54000028
E02000417,E54000028
E02000418,E54000028
E02000419,E54000028
E02000420,E54000028
E02000421,E54000028
E02000422,E54000028
E02000423,E54000028
E02000424,E54000028
E02000425,E54000028
E02000426,E54000028
E02000427,E54000028
E02000428,E54000028
E02000429,E54000028
E02000430,E54000028
E02000431,E54000028
E02000432,E54000028
E02000433,E54000027
E02000434,E54000027
E02000435,E54000027
E02000436,E54000027
E02000437,E54000027
E02000438,E54000027
E02000439,E54000027
E02000440,E54000027
E02000441,E54000027
E02000442,E54000027
E02000443,E54000027
E02000444,E54000027
E02000445,E54000027
E02000447,E54000027
E02000448,E54000027
E02000449,E54000027
E02000451,E54000027
E02000452,E54000027
E02000453,E54000027
E02000454,E54000027
E02000455,E54000027
E02000456,E54000027
E02000457,E54000027
E02000459,E54000027
E02000460,E54000027
E02000461,E54000027
E02000462,E54000027
E02000463,E54000027
E02000464,E54000029
E02000465,E54000029
E02000466,E54000029
E02000467,E54000029
E02000468,E54000029
E02000469,E54000029
E02000470,E54000029
E02000471,E54000029
E02000472,E54000029
E02000473,E54000029
E02000474,E54000029
E02000475,E54000029
E02000476,E54000029
E02000477,E54000029
E02000478,E54000029
E02000479,E54000029
E02000480,E54000029
E02000481,E54000029
E02000482,E54000029
E02000483,E54000029
E02000484,E54000029
E02000485,E54000029
E02000486,E54000029
E02000487,E54000029
E02000488,E54000029
E02000489,E54000029
E02000490,E54000029
E02000491,E54000029
E02000492,E54000029
E02000493,E54000029
E02000494,E54000027
E02000495,E54000027
E02000496,E54000027
E02000497,E54000027
E02000498,E54000027
E02000499,E54000027
E02000500,E54000027
E02000501,E54000027
E02000502,E54000027
E02000503,E54000027
E02000504,E54000027
E02000506,E54000027
E02000507,E54000027
E02000508,E54000027
E02000509,E54000027
E02000510,E54000027
E02000511,E54000027
E02000512,E54000027
E02000513,E54000027
E02000514,E54000027
E02000515,E54000027
E02000516,E54000027
E02000517,E54000027
E02000518,E54000027
E02000519,E54000027
E02000520,E54000027
E02000521,E54000027
E02000522,E54000027
E02000523,E54000027
E02000524,E54000027
E02000525,E54000027
E02000526,E54000027
E02000528,E54000027
E02000529,E54000027
E02000530,E54000027
E02000531,E54000027
E02000532,E54000027
E02000533,E54000027
E02000534,E54000027
E02000535,E54000027
E02000536,E54000027
E02000537,E54000027
E02000538,E54000027
E02000539,E54000027
E02000540,E54000027
E02000541,E54000027
E02000542,E54000027
E02000543,E54000027
E02000544,E54000027
E02000545,E54000027
E02000546,E54000027
E02000547,E54000027
E02000548,E54000027
E02000549,E54000027
E02000550,E54000027
E02000551,E54000027
E02000552,E54000027
E02000553,E54000027
E02000554,E54000028
E02000555,E54000028
E02000556,E54000028
E02000557,E54000028
E02000558,E54000028
E02000559,E54000028
E02000560,E54000028
E02000561,E54000028
E02000562,E54000028
E02000563,E54000028
E02000564,E54000028
E02000565,E54000028
E02000566,E54000028
E02000567,E54000028
E02000568,E54000028
E02000569,E54000028
E02000570,E54000028
E02000571,E54000028
E02000572,E54000028
E02000573,E54000028
E02000574,E54000028
E02000575,E54000028
E02000576,E54000028
E02000577,E54000027
E02000578,E54000027
E02000579,E54000027
E02000580,E54000027
E02000581,E54000027
E02000582,E54000027
E02000583,E54000027
E02000584,E54000027
E02000585,E54000027
E02000586,E54000027
E02000587,E54000027
E02000588,E54000027
E02000589,E54000027
E02000590,E54000027
E02000591,E54000027
E02000592,E54000027
E02000593,E54000027
E02000594,E54000027
E02000595,E54000027
E02000596,E54000027
E02000597,E54000027
E02000598,E54000031
E02000599,E54000031
E02000600,E54000031
E02000601,E54000031
E02000602,E54000031
E02000603,E54000031
E02000604,E54000031
E02000605,E54000031
E02000606,E54000031
E02000607,E54000031
E02000608,E54000031
E02000609,E54000031
E02000610,E54000031
E02000611,E54000031
E02000612,E54000031
E02000613,E54000031
E02000614,E54000031
E02000615,E54000031
E02000616,E54000031
E02000617,E54000031
E02000619,E54000030
E02000620,E54000030
E02000621,E54000030
E02000622,E54000030
E02000623,E54000030
E02000624,E54000030
E02000625,E54000030
E02000626,E54000030
E02000627,E54000030
E02000628,E54000030
E02000629,E54000030
E02000630,E54000030
E02000631,E54000030
E02000632,E54000030
E02000633,E54000030
E02000634,E54000030
E02000635,E54000030
E02000636,E54000030
E02000637,E54000030
E02000638,E54000030
E02000639,E54000030
E02000640,E54000030
E02000641,E54000030
E02000642,E54000030
E02000643,E54000030
E02000644,E54000030
E02000645,E54000030
E02000646,E54000030
E02000647,E54000030
E02000648,E54000030
E02000649,E54000030
E02000650,E54000030
E02000651,E54000030
E02000652,E54000030
E02000653,E54000030
E02000654,E54000030
E02000655,E54000030
E02000657,E54000030
E02000658,E54000030
E02000659,E54000030
E02000660,E54000030
E02000661,E54000030
E02000662,E54000030
E02000663,E54000030
E02000664,E54000030
E02000665,E54000030
E02000666,E54000030
E02000667,E54000030
E02000668,E54000030
E02000669,E54000030
E02000670,E54000030
E02000671,E54000030
E02000672,E54000030
E02000673,E54000030
E02000674,E54000030
E02000675,E54000030
E02000676,E54000030
E02000677,E54000030
E02000678,E54000030
E02000679,E54000030
E02000680,E54000030
E02000681,E54000030
E02000682,E54000030
E02000683,E54000030
E02000685,E54000030
E02000686,E54000030
E02000687,E54000030
E02000689,E54000031
E02000690,E54000031
E02000691,E54000031
E02000692,E54000031
E02000693,E54000031
E02000694,E54000031
E02000695,E54000031
E02000696,E54000031
E02000697,E54000031
E02000698,E54000031
E02000699,E54000031
E02000700,E54000031
E02000701,E54000031
E02000702,E54000031
E02000703,E54000031
E02000704,E54000031
E02000705,E54000031
E02000706,E54000031
E02000707,E54000031
E02000708,E54000031
E02000709,E54000031
E02000710,E54000031
E02000711,E54000031
E02000712,E54000031
E02000713,E54000031
E02000714,E54000029
E02000715,E54000029
E02000716,E54000029
E02000717,E54000029
E02000718,E54000029
E02000719,E54000029
E02000720,E54000029
E02000721,E54000029
E02000722,E54000029
E02000723,E54000029
E02000724,E54000029
E02000725,E54000029
E02000726,E54000029
E02000727,E54000029
E02000728,E54000029
E02000729,E54000029
E02000730,E54000029
E02000731,E54000029
E02000732,E54000029
E02000733,E54000029
E02000734,E54000029
E02000735,E54000029
E02000736,E54000029
E02000737,E54000029
E02000738,E54000029
E02000739,E54000029
E02000740,E54000029
E02000741,E54000029
E02000742,E54000029
E02000743,E54000029
E02000744,E54000029
E02000745,E54000029
E02000746,E54000029
E02000747,E54000029
E02000748,E54000029
E02000749,E54000029
E02000750,E54000029
E02000751,E54000029
E02000752,E54000029
E02000753,E54000029
E02000754,E54000029
E02000755,E54000029
E02000756,E54000029
E02000757,E54000029
E02000758,E54000029
E02000759,E54000029
E02000760,E54000029
E02000762,E54000029
E02000763,E54000029
E02000764,E54000029
E02000765,E54000029
E02000767,E54000029
E02000768,E54000029
E02000769,E54000029
E02000770,E54000029
E02000772,E54000029
E02000773,E54000029
E02000774,E54000029
E02000776,E54000029
E02000777,E54000029
E02000779,E54000029
E02000780,E54000029
E02000781,E54000029
E02000782,E54000029
E02000783,E54000029
E02000784,E54000031
E02000785,E54000031
E02000786,E54000031
E02000787,E54000031
E02000788,E54000031
E02000789,E54000031
