Week number		1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	30 	31 	32 	33 	34 	35 	36 	37 	38 	39 	40 	41 	42 	43 	44 	45 	46 	47 	48 	49 	50 	51 	52 	53 
Week ended		03-Jan-20	10-Jan-20	17-Jan-20	24-Jan-20	31-Jan-20	07-Feb-20	14-Feb-20	21-Feb-20	28-Feb-20	06-Mar-20	13-Mar-20	20-Mar-20	27-Mar-20	03-Apr-20	10-Apr-20	17-Apr-20	24-Apr-20	01-May-20	08-May-20	15-May-20	22-May-20	29-May-20	05-Jun-20	12-Jun-20	19-Jun-20	26-Jun-20	03-Jul-20	10-Jul-20	17-Jul-20	24-Jul-20	31-Jul-20	07-Aug-20	14-Aug-20	21-Aug-20	28-Aug-20	04-Sep-20	11-Sep-20	18-Sep-20	25-Sep-20	02-Oct-20	09-Oct-20	16-Oct-20	23-Oct-20	30-Oct-20	06-Nov-20	13-Nov-20	20-Nov-20	27-Nov-20	04-Dec-20	11-Dec-20	18-Dec-20	25-Dec-20	01-Jan-21
Covid deaths		0	0	0	0	0	0	0	0	0	0	5	103	539	3,475	6,213	8,758	8,237	6,035	3,930	3,810	2,589	1,822	1,588	1,114	783	606	532	366	295	217	193	152	139	138	101	78	99	139	215	321	438	670	978	1,379	1,937	2,466	2,697	3,040	2,835	2,756	2,986	2,912	3,144
People
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	5-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
	15-19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
	20-24	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	3	4	2	3	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	2	1	0	1	0	0
	25-29	0	0	0	0	0	0	0	0	0	0	0	0	1	5	8	8	9	2	4	6	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	1	1	1	3	3	0	1	6
	30-34	0	0	0	0	0	0	0	0	0	0	0	0	4	9	7	13	20	6	8	4	4	0	3	0	1	0	1	0	0	1	0	0	1	0	0	0	1	2	0	0	2	2	3	1	0	3	3	6	3	1	1	3	4
	35-39	0	0	0	0	0	0	0	0	0	0	0	0	3	12	19	27	17	18	7	7	4	2	5	3	3	0	1	1	1	0	1	0	0	0	2	0	2	1	1	1	0	1	3	4	1	3	7	6	9	7	6	5	5
	40-44	0	0	0	0	0	0	0	0	0	0	0	1	0	11	32	49	53	23	18	14	19	2	6	5	6	3	4	2	2	2	1	1	1	1	2	0	1	1	2	2	2	5	3	6	5	12	8	7	12	11	10	12	12
	45-49	0	0	0	0	0	0	0	0	0	0	0	0	8	42	75	76	82	56	26	25	19	11	10	8	6	4	8	1	7	2	4	1	2	2	2	0	2	1	1	4	5	3	10	9	18	16	20	22	21	19	25	21	20
	50-54	0	0	0	0	0	0	0	0	0	0	0	2	9	64	126	190	139	94	59	39	31	18	25	16	11	12	8	5	5	9	2	3	0	4	3	4	1	2	7	2	7	9	10	21	31	33	34	38	41	37	43	41	49
	55-59	0	0	0	0	0	0	0	0	0	0	0	2	16	137	208	287	240	164	97	80	62	41	41	27	19	12	13	8	7	9	7	5	1	7	4	3	1	3	7	10	11	12	26	31	47	61	58	76	62	65	75	63	81
	60-64	0	0	0	0	0	0	0	0	0	0	1	2	30	169	333	413	362	198	135	122	86	53	47	34	31	27	12	15	9	7	9	7	5	5	5	5	5	7	11	11	18	24	41	46	81	103	97	103	105	126	119	107	115
	65-69	0	0	0	0	0	0	0	0	0	0	0	11	42	224	427	553	458	310	179	181	103	66	84	45	38	32	28	22	14	13	16	12	10	7	8	6	10	6	13	22	34	39	62	99	107	149	163	158	170	154	177	160	184
	70-74	0	0	0	0	0	0	0	0	0	0	1	9	57	402	677	889	731	495	307	304	199	157	129	92	65	53	44	37	27	27	14	15	15	9	5	5	10	16	20	39	48	74	110	138	194	266	273	306	288	258	252	275	301
	75-79	0	0	0	0	0	0	0	0	0	0	2	11	84	549	973	1,197	1,040	770	464	469	316	210	198	139	95	80	71	51	38	29	29	22	16	19	13	13	15	21	27	48	70	108	157	224	285	343	415	449	414	400	388	397	407
	80-84	0	0	0	0	0	0	0	0	0	0	1	20	97	682	1,237	1,637	1,575	1,096	772	686	457	381	297	224	163	120	113	63	58	33	39	25	23	34	21	15	13	21	40	62	93	139	187	259	421	473	539	569	509	492	544	583	561
	85-89	0	0	0	0	0	0	0	0	0	0	0	24	102	617	1,091	1,739	1,709	1,306	835	868	593	410	337	243	164	122	114	65	54	48	33	27	29	35	17	11	23	32	38	57	80	121	188	281	358	526	524	639	598	570	609	605	705
	90+	0	0	0	0	0	0	0	0	0	0	0	21	86	546	992	1,674	1,798	1,494	1,015	1,002	693	468	404	277	179	141	115	95	73	37	37	34	36	15	19	16	15	26	48	63	67	132	178	259	385	475	554	656	599	611	736	639	694
Male
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	5-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	1 	0 	1 	0 	0 	0 
	15-19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	1 	0 	0 	0 	0 	0 
	20-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	2	1	1	1	1	0	0	0	0	0	1	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	1 	0 	0	1 	0 	1 	1 	0 	0 	0 	0 	0 
	25-29	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	5	5	1	4	5	2	1	0	1	1	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	1 	0 	0 	1	2 	0 	0 	0 	2 	2 	0 	0 	4 
	30-34	0	0	0	0	0	0	0	0	0	0	0	0	4	6	4	7	12	5	3	2	3	0	1	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	1 	2	0 	0 	2 	1 	2 	0	0 	1 	2 	3 	2 	0 	0 	2 	3 
	35-39	0	0	0	0	0	0	0	0	0	0	0	0	2	7	13	15	7	10	2	5	4	1	3	2	3	0	0	0	1 	0 	0 	0 	0 	0 	1 	0 	1 	1	0 	1 	0 	0 	2 	1	1 	1 	4 	3 	7 	4 	4 	2 	2 
	40-44	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	31	38	16	10	7	11	1	4	1	5	2	2	2	2 	2 	1 	1 	1 	0 	1 	0 	1 	0	2 	2 	1 	2 	2 	3	3 	6 	3 	3 	5 	9 	6 	6 	5 
	45-49	0	0	0	0	0	0	0	0	0	0	0	0	4	18	46	54	57	33	19	13	12	6	3	6	2	2	4	1	6 	1 	2 	0 	1 	1 	2 	0 	1 	0	0 	2 	3 	3 	7 	7	10 	8 	13 	16 	15 	9 	12 	15 	12 
	50-54	0	0	0	0	0	0	0	0	0	0	0	2	5	43	76	111	95	62	34	24	24	12	14	12	8	8	7	2	3 	7 	2 	2 	0 	2 	3 	2 	1 	1	5 	1 	4 	6 	6 	14	13 	21 	24 	23 	26 	24 	28 	21 	28 
	55-59	0	0	0	0	0	0	0	0	0	0	0	1	12	86	135	203	162	112	69	55	41	25	21	18	13	8	11	7	5 	6 	5 	4 	0 	6 	4 	2 	0 	3	4 	5 	8 	9 	17 	20	28 	39 	35 	47 	38 	45 	37 	39 	46 
	60-64	0	0	0	0	0	0	0	0	0	0	1	0	19	118	225	272	239	137	91	79	53	32	30	20	17	17	12	11	4 	4 	6 	3 	3 	4 	3 	3 	3 	4	8 	4 	15 	14 	28 	34	57 	63 	68 	67 	70 	87 	71 	60 	80 
