Week number		1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 
Week ended		08-Jan-21	15-Jan-21	22-Jan-21	29-Jan-21	05-Feb-21	12-Feb-21	19-Feb-21	26-Feb-21	05-Mar-21	12-Mar-21	19-Mar-21	26-Mar-21	02-Apr-21	09-Apr-21	16-Apr-21	23-Apr-21	30-Apr-21	07-May-21
Covid deaths		6,057	7,245	8,422	8,433	7,320	5,691	4,079	2,914	2,105	1,501	963	719	400	379	362	260	205	129
People																			
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	5-9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10-14	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
	15-19	3	0	2	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0
	20-24	1	4	2	1	3	2	5	1	0	1	0	2	2	1	0	0	1	0
	25-29	6	4	7	4	8	6	3	7	5	1	0	0	0	0	1	0	0	0
	30-34	13	12	10	19	16	10	9	3	6	3	1	4	8	3	4	1	1	2
	35-39	14	27	25	31	24	24	15	14	14	8	5	3	4	4	2	1	2	1
	40-44	22	39	45	42	43	29	22	16	21	14	7	3	3	7	6	2	5	2
	45-49	57	80	90	82	92	64	50	36	29	17	19	14	9	5	10	5	3	3
	50-54	112	129	134	171	150	129	87	74	49	60	23	39	14	13	10	10	5	5
	55-59	171	218	257	261	213	182	164	114	86	75	53	33	29	22	27	11	10	12
	60-64	267	338	377	378	352	301	234	191	153	91	80	65	27	31	21	24	14	10
	65-69	354	425	521	489	450	381	301	217	194	132	77	56	34	32	32	21	18	10
	70-74	583	714	806	820	685	551	414	308	208	148	102	61	27	35	28	30	27	16
	75-79	817	948	1,110	1,031	923	752	519	369	258	187	116	77	48	51	37	30	22	18
	80-84	1,123	1,319	1,425	1,468	1,197	898	664	430	318	232	146	100	56	56	52	48	33	16
	85-89	1,199	1,393	1,684	1,631	1,454	1,078	738	529	352	265	158	120	62	62	71	39	34	18
	90+	1,313	1,595	1,926	2,005	1,707	1,283	854	604	411	266	175	142	76	57	61	38	30	16
Male																			
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	5-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10-14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
	15-19	2	0	0	0	3	1	0	0	1	0	0	0	1	0	0	0	0	0
	20-24	1	2	2	1	1	2	3	1	0	0	0	1	0	0	0	0	0	0
	25-29	4	3	4	1	6	4	0	4	3	0	0	0	0	0	0	0	0	0
	30-34	8	8	7	12	8	4	6	3	3	2	1	3	5	3	1	1	1	2
	35-39	9	14	18	21	13	16	11	6	5	5	4	2	3	0	1	1	2	1
	40-44	13	20	34	27	26	15	10	8	15	6	4	2	2	5	4	2	4	2
	45-49	36	49	51	56	57	39	28	17	18	10	11	7	6	2	6	3	3	2
	50-54	66	78	76	102	88	92	49	43	27	36	13	27	9	10	5	7	2	2
	55-59	100	142	150	167	153	121	98	65	52	54	36	24	15	15	19	6	8	10
	60-64	169	217	236	243	217	201	157	130	100	61	51	42	17	18	16	16	8	7
	65-69	209	255	316	296	292	223	184	136	123	88	50	37	24	19	18	12	13	8
	70-74	328	448	489	493	417	351	248	183	137	89	59	38	20	23	16	18	20	9
	75-79	464	540	672	612	526	455	304	210	158	120	70	44	24	34	19	18	12	12
	80-84	636	714	791	780	647	490	356	243	184	124	88	51	36	29	31	35	13	12
	85-89	640	703	835	784	685	540	391	256	172	123	78	64	30	32	37	21	15	10
	90+	536	623	750	760	637	488	326	236	155	102	66	53	24	31	29	13	15	7
Female																			
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	5-9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	10-14	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
	15-19	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	20-24	0	2	0	0	2	0	2	0	0	1	0	1	2	1	0	0	1	0
	25-29	2	1	3	3	2	2	3	3	2	1	0	0	0	0	1	0	0	0
	30-34	5	4	3	7	8	6	3	0	3	1	0	1	3	0	3	0	0	0
	35-39	5	13	7	10	11	8	4	8	9	3	1	1	1	4	1	0	0	0
	40-44	9	19	11	15	17	14	12	8	6	8	3	1	1	2	2	0	1	0
	45-49	21	31	39	26	35	25	22	19	11	7	8	7	3	3	4	2	0	1
	50-54	46	51	58	69	62	37	38	31	22	24	10	12	5	3	5	3	3	3
	55-59	71	76	107	94	60	61	66	49	34	21	17	9	14	7	8	5	2	2
	60-64	98	121	141	135	135	100	77	61	53	30	29	23	10	13	5	8	6	3
	65-69	145	170	205	193	158	158	117	81	71	44	27	19	10	13	14	9	5	2
	70-74	255	266	317	327	268	200	166	125	71	59	43	23	7	12	12	12	7	7
	75-79	353	408	438	419	397	297	215	159	100	67	46	33	24	17	18	12	10	6
	80-84	487	605	634	688	550	408	308	187	134	108	58	49	20	27	21	13	20	4
	85-89	559	690	849	847	769	538	347	273	180	142	80	56	32	30	34	18	19	8
	90+	777	972	1,176	1,245	1,070	795	528	368	256	164	109	89	52	26	32	25	15	9
