LTLA Code,LTLA Name,Under 16,16-59,60-64,65-69,70-74,75-79,80+,16+
E09000001,City of London,662,"7,133",476,378,351,229,301,"8,868"
E09000008,Croydon,"85,823","275,908","22,519","16,790","14,782","10,379","15,461","355,839"
E09000009,Ealing,"80,645","296,107","19,945","15,328","12,552","8,669","12,646","365,247"
E09000010,Enfield,"77,482","224,340","18,659","13,939","11,979","8,723","13,556","291,196"
E09000011,Greenwich,"63,056","207,974","13,623","10,112","8,562","5,908","7,641","253,820"
E09000012,Hackney,"57,153","230,059","11,820","8,108","6,046","3,860","5,274","265,167"
E09000013,Hammersmith and Fulham,"33,144","178,965","8,996","6,727","5,819","4,070","5,484","210,061"
E09000014,Haringey,"54,106","223,039","13,885","10,032","7,868","5,342","7,463","267,629"
E09000015,Harrow,"57,638","185,559","15,056","12,467","10,631","7,810","12,128","243,651"
E09000016,Havering,"52,990","156,156","15,586","12,341","12,619","9,024","13,813","219,539"
E09000017,Hillingdon,"68,459","218,865","16,417","12,770","11,152","7,923","12,595","279,722"
E09000018,Hounslow,"66,508","226,308","15,103","11,799","9,736","6,617","9,010","278,573"
E09000019,Islington,"35,692","204,091","9,984","7,241","6,041","4,036","5,410","236,803"
E09000020,Kensington and Chelsea,"24,649","129,594","9,466","7,173","6,498","4,703","6,109","163,543"
E09000021,Kingston upon Thames,"35,348","125,661","9,220","7,361","7,024","4,856","6,823","160,945"
E09000022,Lambeth,"55,020","296,009","15,919","10,699","7,951","5,219","7,696","343,493"
E09000023,Lewisham,"62,481","232,741","15,061","10,114","7,812","5,566","8,242","279,536"
E09000024,Merton,"47,320","167,404","11,671","8,849","7,672","5,237","8,095","208,928"
E09000025,Newham,"84,243","304,184","15,172","10,476","7,093","4,475","6,329","347,729"
E09000026,Redbridge,"74,349","219,785","15,610","12,241","10,392","7,065","10,902","275,995"
E09000027,Richmond upon Thames,"42,936","139,890","11,763","9,275","9,258","6,504","8,650","185,340"
E09000028,Southwark,"56,904","272,228","15,508","9,897","7,525","4,944","6,983","317,085"
E09000029,Sutton,"44,995","133,171","11,278","9,083","8,695","6,118","9,183","177,528"
E09000030,Tower Hamlets,"61,277","279,428","9,624","6,833","4,744","3,086","4,741","308,456"
E09000031,Waltham Forest,"62,058","214,159","13,553","9,852","7,795","5,489","7,969","258,817"
E09000032,Wandsworth,"61,470","296,632","14,168","10,387","9,338","6,274","8,969","345,768"
E09000033,Westminster,"33,606","200,197","12,187","8,988","7,663","5,536","7,298","241,869"
E06000047,County Durham,"89,486","312,739","35,962","31,523","31,106","22,020","28,319","461,669"
E06000005,Darlington,"20,022","63,039","7,252","6,129","6,114","4,255","6,074","92,863"
E08000037,Gateshead,"34,577","119,161","12,987","10,850","10,888","7,497","11,294","172,677"
E06000001,Hartlepool,"17,846","54,390","6,473","5,391","5,193","3,304","4,801","79,552"
E06000002,Middlesbrough,"32,432","93,478","9,198","7,504","6,589","4,395","6,336","127,500"
E08000021,Newcastle upon Tyne,"53,507","217,298","16,278","13,125","12,160","7,981","12,383","279,225"
E08000022,North Tyneside,"37,652","121,101","13,949","12,394","11,929","7,934","11,321","178,628"
E06000057,Northumberland,"51,384","171,756","25,049","22,779","23,162","15,973","20,482","279,201"
E06000003,Redcar and Cleveland,"24,436","76,065","9,786","8,533","8,754","6,380","8,352","117,870"
E08000023,South Tyneside,"26,826","89,103","10,894","8,998","8,493","5,640","8,277","131,405"
E06000004,Stockton-on-Tees,"38,545","116,178","13,115","10,985","10,394","6,942","9,333","166,947"
E08000024,Sunderland,"48,728","165,562","19,575","16,469","15,776","10,412","14,784","242,578"
E07000026,Allerdale,"15,840","52,259","7,249","6,439","6,818","4,630","6,341","83,736"
E07000027,Barrow-in-Furness,"11,784","38,907","4,565","3,925","4,129","3,030","3,743","58,299"
E06000008,Blackburn with Darwen,"36,440","98,276","8,469","7,015","6,372","4,180","5,585","129,897"
E06000009,Blackpool,"26,264","86,872","9,931","8,054","8,179","5,970","8,038","127,044"
E08000001,Bolton,"66,059","182,115","16,925","14,288","14,535","10,292","12,907","251,062"
E07000117,Burnley,"19,700","55,296","5,747","4,783","4,869","3,351","4,028","78,074"
E08000002,Bury,"39,991","117,545","11,786","9,807","10,252","7,188","9,297","165,875"
E07000028,Carlisle,"18,998","61,262","7,757","6,519","6,534","4,523","6,445","93,040"
E06000049,Cheshire East,"70,303","226,906","26,596","22,910","24,741","18,307","24,710","344,170"
E06000050,Cheshire West and Chester,"62,572","207,079","23,559","20,296","20,924","15,191","20,690","307,739"
E07000118,Chorley,"21,490","67,650","7,520","6,517","7,052","4,974","5,888","99,601"
E07000029,Copeland,"11,162","37,051","5,186","4,415","4,402","3,053","3,974","58,081"
E07000030,Eden,"7,890","27,892","4,341","3,844","3,975","2,802","3,766","46,620"
E07000119,Fylde,"12,121","43,156","6,450","5,611","6,126","4,769","6,509","72,621"
E06000006,Halton,"25,486","78,221","8,483","7,482","7,254","4,387","5,403","111,230"
E07000120,Hyndburn,"17,011","48,736","4,970","4,150","4,315","3,047","3,733","68,951"
E08000011,Knowsley,"31,393","96,385","11,154","8,557","7,099","4,534","6,822","134,551"
E07000121,Lancaster,"24,424","94,680","9,319","8,080","8,204","5,883","8,078","134,244"
E08000012,Liverpool,"91,217","347,391","29,957","23,827","20,831","13,639","19,210","454,855"
E08000003,Manchester,"124,958","440,089","24,969","18,348","14,933","9,876","13,611","521,826"
E08000004,Oldham,"56,034","147,346","13,298","11,319","10,932","7,789","9,804","200,488"
E07000122,Pendle,"21,344","56,756","5,844","5,001","5,100","3,368","4,305","80,374"
E07000123,Preston,"30,825","100,226","8,178","6,433","5,854","4,120","6,023","130,834"
E07000124,Ribble Valley,"10,081","34,046","4,694","3,880","4,116","3,054","4,030","53,820"
E08000005,Rochdale,"50,621","138,127","13,289","11,293","10,651","7,167","9,049","189,576"
E07000125,Rossendale,"13,780","41,602","4,586","3,955","4,023","2,634","3,169","59,969"
E08000006,Salford,"55,736","182,494","13,532","10,240","10,371","7,117","9,721","233,475"
E08000014,Sefton,"47,468","157,658","20,309","17,169","16,728","12,517","18,976","243,357"
E07000031,South Lakeland,"14,861","56,204","8,225","7,282","8,061","5,971","8,157","93,900"
E07000126,South Ribble,"19,838","63,347","7,264","6,466","6,830","4,791","6,226","94,924"
E08000013,St. Helens,"33,166","106,477","11,804","10,164","10,647","7,642","9,681","156,415"
E08000007,Stockport,"56,881","175,175","18,551","15,866","16,116","11,753","17,212","254,673"
E08000008,Tameside,"47,190","141,289","14,369","11,671","11,878","8,138","9,968","197,313"
E08000009,Trafford,"50,167","146,389","13,977","11,376","11,136","8,176","12,235","203,289"
E06000007,Warrington,"39,375","130,013","13,402","11,145","11,006","8,326","10,758","184,650"
E07000127,West Lancashire,"19,393","65,101","7,912","6,786","7,185","5,352","6,809","99,145"
E08000010,Wigan,"60,828","193,091","20,194","17,145","18,512","13,620","15,106","277,668"
E08000015,Wirral,"59,389","184,497","22,336","19,473","19,423","13,636","19,441","278,806"
E07000128,Wyre,"17,686","58,137","8,425","7,767","8,523","6,381","8,724","97,957"
E07000223,Adur,"11,612","35,749","4,105","3,671","4,113","3,135","4,560","55,333"
E07000224,Arun,"25,834","86,446","11,440","10,930","12,732","9,838","14,070","145,456"
E07000105,Ashford,"26,745","78,193","7,896","6,866","7,469","5,570","6,858","112,852"
E07000084,Basingstoke and Deane,"35,729","112,452","10,835","8,778","9,125","6,510","8,326","156,026"
E06000036,Bracknell Forest,"25,133","78,542","7,297","5,792","5,171","3,633","4,925","105,360"
E06000043,Brighton and Hove,"44,676","217,593","15,049","11,801","10,956","7,548","11,244","274,191"
E06000060,Buckinghamshire,"110,311","325,939","34,090","27,740","27,645","20,886","30,011","466,311"
E07000106,Canterbury,"25,754","101,999","9,566","8,881","9,615","7,032","9,548","146,641"
E07000177,Cherwell,"30,973","101,249","9,605","7,880","7,822","5,553","7,828","139,937"
E07000225,Chichester,"19,624","67,391","9,118","8,236","8,938","7,059","10,071","110,813"
E07000226,Crawley,"25,110","76,326","6,432","4,879","4,315","2,735","4,350","99,037"
E07000107,Dartford,"26,484","69,943","5,832","4,559","4,431","3,091","4,622","92,478"
E07000108,Dover,"20,715","62,704","8,270","7,539","7,719","5,724","7,220","99,176"
E07000085,East Hampshire,"21,888","69,100","9,003","7,415","7,866","5,941","8,194","107,519"
E07000061,Eastbourne,"17,939","58,400","6,678","5,987","6,712","4,968","7,905","90,650"
E07000086,Eastleigh,"26,015","77,204","8,406","7,138","7,186","5,212","7,549","112,695"
E07000207,Elmbridge,"31,806","88,848","8,573","6,770","6,683","5,002","7,885","123,761"
E07000208,Epsom and Ewell,"16,631","50,375","4,690","3,830","4,131","2,982","4,318","70,326"
E07000087,Fareham,"18,997","64,274","8,135","6,721","7,469","5,827","8,331","100,757"
E07000112,Folkestone and Hythe,"18,841","60,679","7,738","7,060","7,907","5,630","7,336","96,350"
E07000088,Gosport,"14,913","45,928","5,524","4,662","4,913","3,520","4,832","69,379"
E07000109,Gravesham,"23,590","66,230","6,052","5,076","5,036","3,730","5,392","91,516"
E07000209,Guildford,"25,182","93,680","8,283","6,704","6,827","4,984","7,497","127,975"
E07000089,Hart,"19,164","59,345","5,976","4,832","5,322","4,185","5,669","85,329"
E07000062,Hastings,"17,131","54,417","6,127","5,429","5,286","3,622","4,632","79,513"
E07000090,Havant,"21,832","67,708","8,907","7,628","8,033","6,137","8,871","107,284"
E07000227,Horsham,"26,343","82,496","10,039","8,554","9,103","6,827","9,645","126,664"
E06000046,Isle of Wight,"21,625","72,944","10,797","10,601","11,400","8,812","10,866","125,420"
E07000063,Lewes,"17,095","54,633","7,028","6,574","7,128","5,363","7,866","88,592"
E07000110,Maidstone,"34,191","101,512","10,217","8,694","9,414","6,759","9,144","145,740"
E06000035,Medway,"58,932","169,424","16,252","13,350","13,329","9,145","11,441","232,941"
E07000228,Mid Sussex,"29,475","87,350","9,216","8,101","8,373","6,513","9,123","128,676"
E06000042,Milton Keynes,"63,481","185,571","15,391","12,868","11,566","7,460","9,203","242,059"
E07000210,Mole Valley,"15,323","51,139","6,247","5,355","5,325","4,258","6,463","78,787"
E07000091,New Forest,"27,389","91,501","13,217","12,432","13,813","10,572","15,811","157,346"
E07000178,Oxford,"27,733","153,894","7,240","5,749","5,230","3,806","5,527","181,446"
E06000044,Portsmouth,"38,631","149,778","11,350","8,817","8,477","6,100","8,617","193,139"
E06000038,Reading,"35,614","132,135","8,260","6,303","5,672","4,224","6,176","162,770"
E07000211,Reigate and Banstead,"31,186","92,195","8,897","7,111","7,355","5,247","8,048","128,853"
E07000064,Rother,"14,042","45,820","7,307","7,060","8,434","6,362","8,946","83,929"
E07000212,Runnymede,"16,083","58,210","5,176","4,064","4,023","3,085","4,803","79,361"
E07000092,Rushmoor,"19,193","65,199","5,370","4,300","4,357","3,216","3,980","86,422"
E07000111,Sevenoaks,"24,469","67,408","7,637","6,551","7,042","5,310","7,590","101,538"
E06000039,Slough,"41,420","109,613","7,359","5,560","4,113","2,643","4,209","133,497"
E07000179,South Oxfordshire,"27,521","87,437","9,362","7,858","8,044","6,450","8,833","127,984"
E06000045,Southampton,"46,829","182,588","12,628","10,195","9,312","6,840","9,223","230,786"
E07000213,Spelthorne,"20,171","64,411","6,205","4,897","4,888","3,770","5,882","90,053"
E07000214,Surrey Heath,"16,998","55,162","5,805","4,645","4,709","3,662","5,388","79,371"
E07000113,Swale,"30,211","89,786","9,219","7,838","8,481","5,912","7,148","128,384"
E07000215,Tandridge,"17,160","51,000","5,826","4,848","4,887","3,766","5,468","75,795"
E07000093,Test Valley,"23,781","73,160","8,376","7,001","7,678","5,738","7,601","109,554"
E07000114,Thanet,"26,618","78,017","9,372","8,745","9,449","6,885","8,864","121,332"
E07000115,Tonbridge and Malling,"26,893","75,552","7,892","6,494","6,992","5,240","7,091","109,261"
E07000116,Tunbridge Wells,"23,334","68,931","7,045","5,717","6,102","4,608","6,698","99,101"
E07000180,Vale of White Horse,"27,021","82,604","8,706","7,231","7,469","5,562","7,981","119,553"
E07000216,Waverley,"24,956","74,838","8,150","6,845","7,241","5,823","8,962","111,859"
E07000065,Wealden,"26,782","84,247","11,785","10,549","11,694","9,000","11,957","139,232"
E06000037,West Berkshire,"31,188","95,690","10,318","8,706","8,775","6,440","8,288","138,217"
E07000181,West Oxfordshire,"20,465","66,560","7,427","6,344","6,571","5,082","7,136","99,120"
E07000094,Winchester,"22,736","76,581","8,010","6,702","7,069","5,414","7,987","111,763"
E06000040,Windsor and Maidenhead,"30,728","96,404","9,478","7,563","7,575","5,744","8,528","135,292"
E07000217,Woking,"22,164","67,722","5,866","4,796","4,646","3,373","5,229","91,632"
E06000041,Wokingham,"37,010","107,715","10,342","8,135","8,303","6,247","8,821","149,563"
E07000229,Worthing,"19,304","63,867","6,964","5,985","6,694","4,944","7,754","96,208"
E06000022,Bath and North East Somerset,"32,421","122,773","11,381","9,817","10,140","7,555","11,161","172,827"
E06000058,"Bournemouth, Christchurch and Poole","67,419","248,310","24,807","21,791","23,255","17,572","26,803","362,538"
E06000023,"Bristol, City of","88,291","343,928","22,288","18,146","16,745","11,819","17,163","430,089"
E07000078,Cheltenham,"21,242","73,942","7,046","5,911","5,965","4,555","7,236","104,655"
E06000052,Cornwall,"94,620","311,746","41,398","38,156","41,021","29,921","37,578","499,820"
E07000079,Cotswold,"14,665","49,431","6,719","6,146","6,402","4,921","6,629","80,248"
E06000059,Dorset,"58,537","194,440","29,398","27,476","30,837","23,204","32,556","337,911"
E07000040,East Devon,"23,116","74,042","10,618","10,471","11,988","9,478","13,741","130,338"
E07000041,Exeter,"20,162","91,745","6,583","5,749","5,807","4,321","6,439","120,644"
E07000080,Forest of Dean,"14,101","46,874","6,340","5,875","6,117","4,502","5,637","75,345"
E07000081,Gloucester,"26,267","79,586","7,760","6,122","5,864","4,533","6,116","109,981"
E06000053,Isles of Scilly,312,"1,417",133,125,142,133,166,"2,116"
E07000187,Mendip,"20,699","66,290","8,192","7,421","7,758","5,604","7,559","102,824"
E07000042,Mid Devon,"14,904","44,989","5,796","5,286","5,483","4,078","5,378","71,010"
E07000043,North Devon,"16,921","53,870","7,348","6,437","7,033","5,410","7,091","87,189"
E06000024,North Somerset,"39,355","121,706","13,983","12,873","14,189","10,945","14,956","188,652"
E06000026,Plymouth,"47,448","166,583","15,894","13,282","13,453","9,955","13,460","232,627"
E07000188,Sedgemoor,"21,862","69,038","8,615","7,784","8,421","6,152","8,084","108,094"
E07000246,Somerset West and Taunton,"26,527","85,494","11,057","10,368","10,799","8,279","11,662","137,659"
E06000025,South Gloucestershire,"53,822","179,240","16,671","13,890","14,384","11,538","15,654","251,377"
E07000044,South Hams,"13,688","45,533","7,264","6,610","7,099","5,102","6,598","78,206"
E07000189,South Somerset,"29,402","93,730","12,015","11,210","12,304","9,070","11,979","150,308"
E07000082,Stroud,"21,006","66,733","8,711","7,576","7,875","5,658","7,638","104,191"
E06000030,Swindon,"47,692","142,696","13,612","10,897","10,089","7,168","9,963","194,425"
E07000045,Teignbridge,"21,632","71,338","10,092","9,560","10,088","7,639","9,989","118,706"
E07000083,Tewkesbury,"17,942","53,194","6,100","5,603","5,772","4,402","5,874","80,945"
E06000027,Torbay,"22,780","74,228","10,089","9,419","10,124","7,705","10,547","122,112"
E07000046,Torridge,"10,820","34,746","5,568","5,160","5,543","4,044","4,973","60,034"
E07000047,West Devon,"8,652","28,457","4,563","4,204","4,481","3,398","4,367","49,470"
E06000054,Wiltshire,"92,063","292,537","34,045","29,466","30,433","22,735","30,986","440,202"
E08000025,Birmingham,"273,768","797,352","57,619","45,543","39,345","29,204","44,267","1,013,330"
E07000234,Bromsgrove,"18,168","55,596","6,458","5,817","5,873","4,703","6,636","85,083"
E07000192,Cannock Chase,"18,038","57,985","6,260","5,441","5,461","4,086","4,981","84,214"
E08000026,Coventry,"74,258","255,202","17,835","14,346","13,243","10,374","15,069","326,069"
E08000027,Dudley,"61,355","184,570","19,057","17,052","17,259","14,010","18,810","270,758"
E07000193,East Staffordshire,"24,120","74,337","7,841","6,349","6,350","4,793","6,228","105,898"
E06000019,"Herefordshire, County of","30,518","101,806","13,931","12,758","13,227","9,884","13,520","165,126"
E07000194,Lichfield,"17,691","58,078","6,832","6,241","6,997","5,831","6,670","90,649"
E07000235,Malvern Hills,"12,379","40,967","6,081","5,521","6,082","4,516","6,326","69,493"
E07000195,Newcastle-under-Lyme,"20,684","73,770","8,208","7,074","7,442","5,438","7,449","109,381"
E07000218,North Warwickshire,"11,233","36,963","4,579","3,864","4,048","3,013","3,702","56,169"
E07000219,Nuneaton and Bedworth,"26,052","79,509","8,169","7,079","7,128","5,404","6,593","113,882"
E07000236,Redditch,"17,028","51,670","5,275","5,009","4,817","3,217","3,607","73,595"
E07000220,Rugby,"22,360","69,993","6,531","5,304","5,544","4,549","5,856","97,777"
E08000028,Sandwell,"78,165","217,714","18,287","14,646","13,177","10,073","14,013","287,910"
E06000051,Shropshire,"51,149","173,438","23,090","21,108","22,052","17,159","22,371","279,218"
E08000029,Solihull,"42,666","126,518","13,611","11,241","12,320","9,665","13,503","186,858"
E07000196,South Staffordshire,"17,215","60,919","8,067","6,990","7,390","6,052","7,651","97,069"
E07000197,Stafford,"23,433","78,601","9,137","8,059","8,492","6,786","8,545","119,620"
E07000198,Staffordshire Moorlands,"15,196","51,234","6,984","6,399","7,078","5,304","6,594","83,593"
E06000021,Stoke-on-Trent,"55,065","160,345","15,124","12,871","12,269","8,958","11,702","221,269"
E07000221,Stratford-on-Avon,"22,235","76,232","9,784","8,538","9,165","7,368","9,599","120,686"
E07000199,Tamworth,"14,920","46,563","4,829","4,436","4,337","3,059","3,424","66,648"
E06000020,Telford and Wrekin,"37,764","111,403","10,752","9,500","9,282","6,674","8,025","155,636"
E08000030,Walsall,"63,043","170,508","16,142","13,366","12,837","10,121","14,640","237,614"
E07000222,Warwick,"25,780","92,333","8,438","7,380","7,418","5,827","8,122","129,518"
E08000031,Wolverhampton,"59,534","171,952","15,128","12,597","11,198","8,497","13,198","232,570"
E07000237,Worcester,"18,640","64,852","5,939","5,151","4,992","3,635","4,924","89,493"
E07000238,Wychavon,"21,975","72,336","9,265","8,597","9,122","6,791","8,914","115,025"
E07000239,Wyre Forest,"17,282","55,451","6,570","6,432","7,312","5,713","6,647","88,125"
E08000016,Barnsley,"46,041","145,035","16,084","13,681","13,313","9,728","11,892","209,733"
E08000032,Bradford,"130,719","348,465","30,391","25,245","22,976","14,680","22,631","464,388"
E08000033,Calderdale,"41,562","126,228","13,611","11,296","11,426","7,857","9,933","180,351"
E07000163,Craven,"8,684","30,070","4,576","4,210","4,287","3,217","4,228","50,588"
E08000017,Doncaster,"59,854","185,509","20,413","17,047","16,697","11,770","15,992","267,428"
E06000011,East Riding of Yorkshire,"54,399","182,867","25,377","23,528","25,803","18,169","24,349","300,093"
E07000164,Hambleton,"13,720","47,346","7,015","6,288","6,756","4,956","6,740","79,101"
E07000165,Harrogate,"27,704","96,040","11,767","9,849","10,477","7,601","11,099","146,833"
E06000010,"Kingston upon Hull, City of","54,139","170,353","15,590","12,598","11,621","7,273","10,310","227,745"
E08000034,Kirklees,"88,307","266,925","25,473","21,624","21,721","15,124","19,872","370,739"
E08000035,Leeds,"161,897","554,255","43,139","35,154","35,308","24,577","35,688","728,121"
E06000012,North East Lincolnshire,"30,441","91,083","10,533","8,959","9,016","6,330","9,177","135,098"
