LTLA Code,LTLA Name,Under 16,16-59,60-64,65-69,70-74,75-79,80+,16+
E07000032,Amber Valley,"21,294","71,065","8,667","7,640","8,255","5,944","7,086","108,657"
E07000170,Ashfield,"23,923","73,248","7,890","6,749","6,786","5,373","6,369","106,415"
E07000171,Bassetlaw,"21,125","68,409","8,103","6,998","7,380","5,432","6,701","103,023"
E07000129,Blaby,"19,150","57,762","6,527","5,461","5,804","4,299","5,838","85,691"
E07000033,Bolsover,"14,336","46,930","5,371","4,502","4,462","3,505","3,983","68,753"
E07000136,Boston,"14,229","46,346","4,694","4,073","4,023","2,951","4,046","66,133"
E07000172,Broxtowe,"19,084","68,734","7,132","6,218","6,905","5,002","6,678","100,669"
E07000130,Charnwood,"31,160","115,264","10,810","9,542","9,468","6,999","9,222","161,305"
E07000034,Chesterfield,"17,769","59,231","7,085","6,132","6,115","4,560","5,893","89,016"
E07000150,Corby,"16,730","48,634","4,460","3,510","2,939","2,066","2,548","64,157"
E07000151,Daventry,"16,180","52,459","5,863","5,090","5,258","3,691","4,395","76,756"
E06000015,Derby,"55,060","171,062","14,270","11,827","11,421","8,311","12,513","229,404"
E07000035,Derbyshire Dales,"10,512","37,825","5,800","5,198","5,606","4,198","5,330","63,957"
E07000137,East Lindsey,"21,398","71,782","11,731","11,355","12,491","9,359","11,006","127,724"
E07000152,East Northamptonshire,"17,622","53,221","6,010","5,367","5,776","4,033","4,965","79,372"
E07000036,Erewash,"19,750","66,053","7,284","6,243","6,514","4,894","6,311","97,299"
E07000173,Gedling,"21,142","67,269","7,619","6,769","7,074","4,993","7,012","100,736"
E07000131,Harborough,"16,757","52,828","6,390","5,603","5,896","4,409","5,683","80,809"
E07000037,High Peak,"15,422","52,921","6,898","5,673","5,672","4,052","4,869","80,085"
E07000132,Hinckley and Bosworth,"19,840","63,553","7,507","6,770","7,266","5,271","6,533","96,900"
E07000153,Kettering,"21,161","63,121","6,004","5,310","5,535","4,043","4,905","88,918"
E06000016,Leicester,"81,457","263,938","18,705","14,986","11,854","7,664","11,491","328,638"
E07000138,Lincoln,"17,168","68,976","5,266","4,311","4,145","2,900","4,217","89,815"
E07000174,Mansfield,"20,989","65,818","7,221","6,094","5,817","4,410","5,448","94,808"
E07000133,Melton,"8,777","28,236","3,688","3,338","3,480","2,463","3,124","44,329"
E07000175,Newark and Sherwood,"21,659","69,902","8,468","7,366","7,804","5,747","7,224","106,511"
E07000038,North East Derbyshire,"16,575","54,593","7,245","6,527","6,917","5,538","6,650","87,470"
E07000139,North Kesteven,"20,218","66,077","7,737","6,781","7,645","5,896","7,578","101,714"
E07000134,North West Leicestershire,"18,537","59,329","6,562","5,785","6,110","4,403","5,059","87,248"
E07000154,Northampton,"50,801","159,683","12,667","10,371","10,182","6,979","9,476","209,358"
E06000018,Nottingham,"64,573","249,378","14,998","11,624","10,241","7,151","10,770","304,162"
E07000135,Oadby and Wigston,"10,784","34,113","3,698","3,063","3,122","2,426","4,005","50,427"
E07000176,Rushcliffe,"21,484","68,091","7,424","6,570","6,962","5,208","7,301","101,556"
E06000017,Rutland,"6,658","21,981","2,719","2,510","2,869","2,142","2,950","35,171"
E07000039,South Derbyshire,"20,336","62,592","6,492","5,813","5,699","4,046","4,771","89,413"
E07000140,South Holland,"16,677","53,548","6,330","5,765","6,329","4,614","6,371","82,957"
E07000141,South Kesteven,"25,715","79,468","9,898","8,779","9,255","6,953","8,687","123,040"
E07000155,South Northamptonshire,"17,571","56,045","6,512","5,356","5,807","4,107","4,815","82,642"
E07000156,Wellingborough,"16,532","50,725","4,993","4,420","4,523","3,253","3,935","71,849"
E07000142,West Lindsey,"16,217","50,128","7,039","6,407","6,777","5,122","6,018","81,491"
E07000200,Babergh,"14,889","48,386","6,378","6,020","6,832","5,188","6,700","79,504"
E07000066,Basildon,"40,538","114,398","10,983","8,757","9,133","6,316","8,846","158,433"
E06000055,Bedford,"38,016","115,341","10,493","8,703","8,621","5,996","8,713","157,867"
E07000067,Braintree,"28,553","87,141","9,483","8,480","9,045","6,396","8,012","128,557"
E07000143,Breckland,"23,977","77,866","9,573","8,962","9,833","7,331","9,672","123,237"
E07000068,Brentwood,"14,529","46,033","4,767","3,937","4,076","3,020","4,938","66,771"
E07000144,Broadland,"21,250","70,225","8,981","8,281","9,319","6,969","9,893","113,668"
E07000095,Broxbourne,"19,924","60,748","5,835","4,488","4,689","3,518","5,237","84,515"
E07000008,Cambridge,"22,794","134,540","6,000","5,084","4,461","3,288","4,971","158,344"
E07000069,Castle Point,"15,530","49,689","5,990","5,456","6,586","4,955","6,267","78,943"
E06000056,Central Bedfordshire,"57,680","172,550","18,058","14,785","14,996","10,813","13,521","244,723"
E07000070,Chelmsford,"34,222","108,912","10,541","9,067","9,852","7,116","9,921","155,409"
E07000071,Colchester,"37,219","125,564","10,357","8,909","9,940","7,107","9,227","171,104"
E07000096,Dacorum,"31,692","95,431","9,622","7,665","7,267","5,178","7,793","132,956"
E07000009,East Cambridgeshire,"16,547","54,840","5,600","4,912","5,123","3,665","5,063","79,203"
E07000242,East Hertfordshire,"29,275","92,227","9,320","7,463","7,717","5,355","7,735","129,817"
E07000244,East Suffolk,"40,243","131,015","18,139","16,936","18,959","14,215","19,351","218,615"
E07000072,Epping Forest,"25,661","81,005","8,528","7,056","7,247","5,318","7,633","116,787"
E07000010,Fenland,"18,509","60,527","6,986","6,383","6,466","4,826","6,353","91,541"
E07000145,Great Yarmouth,"18,003","59,019","6,965","6,401","6,817","5,116","6,337","90,655"
E07000073,Harlow,"20,698","58,561","5,231","4,192","3,567","2,504","3,887","77,942"
E07000098,Hertsmere,"22,180","68,824","6,502","5,219","5,223","3,877","5,984","95,629"
E07000011,Huntingdonshire,"33,072","108,502","11,791","10,020","10,537","7,717","9,478","158,045"
E07000202,Ipswich,"29,717","91,839","7,761","6,563","6,167","4,341","6,667","123,338"
E07000146,King's Lynn and West Norfolk,"25,530","84,146","10,719","9,976","10,873","8,350","11,168","135,232"
E06000032,Luton,"55,878","154,217","10,951","8,420","6,887","5,122","7,957","193,554"
E07000074,Maldon,"10,634","35,326","4,914","4,303","4,772","3,507","4,304","57,126"
E07000203,Mid Suffolk,"16,390","55,776","7,391","6,855","7,349","5,281","6,827","89,479"
E07000099,North Hertfordshire,"25,724","79,275","8,118","6,735","6,898","5,107","7,719","113,852"
E07000147,North Norfolk,"14,014","48,900","8,601","8,413","9,554","7,101","9,803","92,372"
E07000148,Norwich,"24,303","105,003","6,907","6,160","5,870","4,222","6,104","134,266"
E06000031,Peterborough,"52,073","149,707","11,504","9,389","8,528","5,887","8,589","193,604"
E07000075,Rochford,"14,937","48,346","5,694","4,897","5,661","4,196","5,768","74,562"
E07000012,South Cambridgeshire,"32,740","98,518","9,813","8,483","8,754","6,545","9,057","141,170"
E07000149,South Norfolk,"24,955","76,527","9,431","8,582","9,542","7,229","9,608","120,919"
E06000033,Southend-on-Sea,"35,755","109,944","11,040","9,268","9,582","7,042","10,109","156,985"
E07000240,St Albans,"32,849","93,879","8,573","6,818","6,822","5,073","7,833","128,998"
E07000243,Stevenage,"18,561","57,246","5,332","3,937","3,577","2,602","3,948","76,642"
E07000076,Tendring,"24,144","74,293","10,996","10,486","12,253","9,400","12,455","129,883"
E07000102,Three Rivers,"18,946","58,888","5,810","4,689","4,680","3,411","5,102","82,580"
E06000034,Thurrock,"40,693","108,862","8,774","7,044","7,055","4,579","6,067","142,381"
E07000077,Uttlesford,"17,909","52,739","5,958","4,952","5,099","3,762","5,046","77,556"
E07000103,Watford,"22,000","71,108","5,096","3,878","3,455","2,577","3,746","89,860"
E07000241,Welwyn Hatfield,"22,770","79,818","6,652","5,124","4,797","3,596","5,857","105,844"
E07000245,West Suffolk,"29,757","99,749","10,593","9,430","10,334","7,876","10,543","148,525"
E09000002,Barking and Dagenham,"61,191","152,620","9,544","6,681","5,199","3,556","5,437","183,037"
E09000003,Barnet,"85,286","276,173","20,922","16,998","15,580","11,195","16,919","357,787"
E09000004,Bexley,"51,306","148,972","14,248","11,125","10,874","8,053","12,347","205,619"
E09000005,Brent,"74,618","286,294","19,148","14,016","10,717","7,704","11,586","349,465"
E09000006,Bromley,"67,063","207,273","19,401","15,337","16,103","11,626","17,839","287,579"
E09000007,Camden,"37,338","208,735","10,893","8,265","7,377","5,352","6,909","247,531"
